Federal Data Reporting and Analysis Bureau,,,,,,,,,,,,,,,,,,,
CY2015 Q4 (October - December) Churn Statewide Summary Report,,,,,,,,,,,,,,,,,,,
Report Run on 09SEP2016,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
County,1.0,1a,1b,1c,1d,1e,2.0,3.0,3a,3b,4.0,4a,4b,4c,5.0,Percent,Percent,Percent,Percent
,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,of,of,of,of
,SNAP,Initital,Applicants,Applicants,Applicants,Applicants,Average,Cases,Recert,Recert,Cases-Do,Cases,Cases,Cases,Average,Reapplications,Reapplications,Recerts,Recerts
,Applications,Applications,Received,Received,Received,Received,Days,Scheduled,Cases-Received,Cases-Did,Not,Do,Do,Do,Days,CHURNING,CHURNING,CHURNING,CHURNING
,Received,,Benefits-Previous,Benefits-Previous,Benefits-Previous,Benefits-Break,to,for,SNAP,Not,Complete,Not,Not,Not,Between,,in,,in
,,,30.0,60.0,90.0,in,Approve,Recertification,in,Receive,Recerts-Do,Receive,Receive,Receive,Notice,,30-Days,,30-Days
,,,days,days,days,Aid,Benefits,,Following,SNAP,Not,Benefits,Benefits,Benefits,of,,,,
,,,,,,Over,,,Month,in,Receive,-,-,-,Expiration,,,,
,,,,,,90.0,,,,Following,Benefits-Reapply,Reapply,Reapply,Reapply,and,,,,
,,,,,,days,,,,Month,,in,in,in,Recertification,,,,
,,,,,,,,,,,,30.0,60.0,90.0,,,,,
,,,,,,,,,,,,days,days,days,,,,,
Nevada,965.0,538.0,89.0,47.0,27.0,264.0,12.7,1280.0,694.0,586.0,266.0,234.0,21.0,11.0,25.7,16.89,9.22,27.56,24.25
Orange,23218.0,12129.0,2551.0,1329.0,826.0,6383.0,6.0,27753.0,22159.0,5594.0,3204.0,2075.0,660.0,469.0,32.7,20.27,10.99,13.8,8.94
Placer,2897.0,1597.0,278.0,159.0,98.0,765.0,10.0,2667.0,1997.0,670.0,387.0,234.0,91.0,62.0,33.0,18.47,9.6,13.36,8.08
Plumas,354.0,197.0,27.0,17.0,14.0,99.0,17.0,363.0,207.0,156.0,80.0,70.0,4.0,6.0,28.7,16.38,7.63,22.6,19.77
Riverside,29705.0,13607.0,5152.0,1592.0,889.0,8465.0,10.7,34870.0,21592.0,13278.0,7950.0,6873.0,706.0,371.0,25.0,25.7,17.34,26.76,23.14
Sacramento,21830.0,10626.0,2755.0,1313.0,765.0,6371.0,7.0,24059.0,19071.0,4988.0,3344.0,2176.0,689.0,479.0,36.3,22.14,12.62,15.32,9.97
San Benito,706.0,283.0,129.0,44.0,23.0,227.0,14.7,973.0,546.0,427.0,299.0,257.0,30.0,12.0,26.3,27.76,18.27,42.35,36.4
San Bernardino,34616.0,13599.0,8197.0,1972.0,1133.0,9715.0,8.0,48147.0,30516.0,17631.0,11976.0,10634.0,924.0,418.0,29.3,32.65,23.68,34.6,30.72
San Diego,36818.0,16885.0,5186.0,2282.0,1351.0,11114.0,10.3,32851.0,25394.0,7457.0,4938.0,3124.0,1086.0,728.0,35.0,23.95,14.09,13.41,8.48
San Francisco,7747.0,4095.0,790.0,456.0,262.0,2144.0,8.0,6479.0,4873.0,1606.0,1012.0,711.0,180.0,121.0,35.3,19.47,10.2,13.06,9.18
San Joaquin,9697.0,4491.0,1741.0,547.0,330.0,2588.0,13.7,15350.0,10205.0,5145.0,3003.0,2619.0,260.0,124.0,24.7,27.0,17.95,30.97,27.01
San Luis Obispo,2546.0,1228.0,221.0,143.0,85.0,869.0,12.0,2311.0,1768.0,543.0,276.0,160.0,67.0,49.0,34.0,17.64,8.68,10.84,6.28
San Mateo,4215.0,2217.0,406.0,268.0,174.0,1150.0,10.3,3375.0,2549.0,826.0,484.0,291.0,114.0,79.0,39.0,20.12,9.63,11.48,6.9
Santa Barbara,5690.0,2590.0,416.0,303.0,211.0,2170.0,15.3,5029.0,4182.0,847.0,605.0,357.0,168.0,80.0,36.7,16.34,7.31,10.63,6.27
Santa Clara,9151.0,4958.0,230.0,534.0,379.0,3050.0,8.0,12278.0,9757.0,2521.0,631.0,111.0,302.0,218.0,37.7,12.49,2.51,6.9,1.21
Santa Cruz,3353.0,1664.0,71.0,164.0,147.0,1307.0,12.0,3434.0,2828.0,606.0,171.0,35.0,77.0,59.0,38.7,11.39,2.12,5.1,1.04
Shasta,3039.0,1388.0,465.0,170.0,115.0,901.0,14.7,3896.0,2184.0,1712.0,1042.0,904.0,93.0,45.0,26.3,24.68,15.3,34.29,29.75
Sierra,31.0,20.0,3.0,0.0,3.0,5.0,11.7,57.0,24.0,33.0,3.0,3.0,0.0,0.0,27.3,19.35,9.68,9.68,9.68
Siskiyou,871.0,455.0,118.0,46.0,17.0,235.0,18.7,979.0,601.0,378.0,271.0,242.0,21.0,8.0,26.0,20.78,13.55,31.11,27.78
Solano,4365.0,2325.0,62.0,319.0,170.0,1489.0,12.0,5693.0,4261.0,1432.0,326.0,28.0,174.0,124.0,40.3,12.62,1.42,7.47,0.64
Sonoma,4375.0,1964.0,549.0,240.0,158.0,1464.0,14.7,4634.0,3570.0,1064.0,647.0,349.0,173.0,125.0,37.7,21.65,12.55,14.79,7.98
Stanislaus,9492.0,3673.0,1632.0,658.0,437.0,3092.0,9.0,12548.0,7519.0,5029.0,3153.0,2628.0,357.0,168.0,25.7,28.73,17.19,33.22,27.69
Sutter,1536.0,704.0,298.0,80.0,50.0,404.0,15.7,1849.0,1110.0,739.0,444.0,402.0,32.0,10.0,27.7,27.86,19.4,28.91,26.17
Tehama,1119.0,530.0,187.0,63.0,41.0,298.0,13.3,1511.0,860.0,651.0,368.0,325.0,31.0,12.0,19.7,26.01,16.71,32.89,29.04
Trinity,218.0,130.0,17.0,7.0,8.0,56.0,12.3,292.0,145.0,147.0,58.0,52.0,5.0,1.0,24.3,14.68,7.8,26.61,23.85
Tulare,9471.0,3018.0,2193.0,694.0,446.0,3120.0,6.0,14768.0,12729.0,2039.0,2443.0,1826.0,387.0,230.0,36.7,35.19,23.15,25.79,19.28
Tuolumne,750.0,338.0,122.0,45.0,26.0,219.0,13.7,974.0,560.0,414.0,242.0,219.0,17.0,6.0,27.7,25.73,16.27,32.27,29.2
Ventura,8815.0,3658.0,1297.0,585.0,366.0,2909.0,9.3,9149.0,7091.0,2058.0,1684.0,1141.0,326.0,217.0,37.0,25.5,14.71,19.1,12.94
Yolo,2502.0,1355.0,209.0,136.0,97.0,705.0,8.3,2599.0,2088.0,511.0,273.0,171.0,57.0,45.0,35.3,17.67,8.35,10.91,6.83
Yuba,1548.0,685.0,352.0,78.0,47.0,386.0,12.3,1903.0,1143.0,760.0,692.0,638.0,39.0,15.0,22.7,30.81,22.74,44.7,41.21
