Federal Data Reporting and Analysis Bureau,,,,,,,,,,,,,,,,,,,
CY2015 Q2 (April - June) Churn Statewide Summary Report,,,,,,,,,,,,,,,,,,,
Report Run on 05JAN2016,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
County,1.0,1a,1b,1c,1d,1e,2.0,3.0,3a,3b,4.0,4a,4b,4c,5.0,Percent,Percent,Percent,Percent
,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,of,of,of,of
,SNAP,Initital,Applicants,Applicants,Applicants,Applicants,Average,Cases,Recert,Recert,Cases-Do,Cases,Cases,Cases,Average,Reapplications,Reapplications,Recerts,Recerts
,Applications,Applications,Received,Received,Received,Received,Days,Scheduled,Cases-Received,Cases-Did,Not,Do,Do,Do,Days,CHURNING,CHURNING,CHURNING,CHURNING
,Received,,Benefits-Previous,Benefits-Previous,Benefits-Previous,Benefits-Break,to,for,SNAP,Not,Complete,Not,Not,Not,Between,,in,,in
,,,30.0,60.0,90.0,in,Approve,Recertification,in,Receive,Recerts-Do,Receive,Receive,Receive,Notice,,30-Days,,30-Days
,,,days,days,days,Aid,Benefits,,Following,SNAP,Not,Benefits,Benefits,Benefits,of,,,,
,,,,,,Over,,,Month,in,Receive,-,-,-,Expiration,,,,
,,,,,,90.0,,,,Following,Benefits-Reapply,Reapply,Reapply,Reapply,and,,,,
,,,,,,days,,,,Month,,in,in,in,Recertification,,,,
,,,,,,,,,,,,30.0,60.0,90.0,,,,,
,,,,,,,,,,,,days,days,days,,,,,
Napa,973.0,545.0,107.0,20.0,36.0,265.0,12.3,977.0,574.0,403.0,193.0,161.0,22.0,10.0,25.0,16.75,11.0,19.84,16.55
Nevada,1061.0,581.0,118.0,51.0,48.0,263.0,17.3,1277.0,704.0,573.0,305.0,265.0,24.0,16.0,26.0,20.45,11.12,28.75,24.98
Orange,24519.0,12948.0,2659.0,1390.0,833.0,6689.0,5.7,28415.0,22947.0,5468.0,3275.0,2101.0,711.0,463.0,34.3,19.91,10.84,13.36,8.57
Placer,3125.0,1653.0,347.0,169.0,113.0,843.0,9.7,2614.0,1979.0,635.0,403.0,250.0,83.0,70.0,34.7,20.13,11.1,12.9,8.0
Plumas,245.0,150.0,29.0,7.0,5.0,54.0,16.3,257.0,134.0,123.0,52.0,47.0,3.0,2.0,32.0,16.73,11.84,21.22,19.18
Riverside,33401.0,15410.0,5677.0,1716.0,1176.0,9422.0,10.0,38221.0,23548.0,14673.0,8783.0,7656.0,762.0,365.0,25.3,25.65,17.0,26.3,22.92
Sacramento,24308.0,12177.0,2964.0,1277.0,797.0,7093.0,7.0,26414.0,21522.0,4892.0,3525.0,2304.0,710.0,511.0,36.3,20.73,12.19,14.5,9.48
San Benito,640.0,283.0,77.0,39.0,21.0,220.0,12.7,727.0,422.0,305.0,185.0,159.0,14.0,12.0,27.3,21.41,12.03,28.91,24.84
San Bernardino,39490.0,16518.0,8434.0,1986.0,1270.0,11282.0,8.0,50377.0,32502.0,17875.0,12769.0,11494.0,867.0,408.0,30.0,29.6,21.36,32.33,29.11
San Diego,38727.0,18508.0,4952.0,2109.0,1335.0,11823.0,11.3,32218.0,25485.0,6733.0,4577.0,2890.0,1016.0,671.0,34.3,21.68,12.79,11.82,7.46
San Francisco,8174.0,4125.0,844.0,438.0,300.0,2467.0,7.3,7352.0,5579.0,1773.0,1102.0,743.0,213.0,146.0,35.0,19.35,10.33,13.48,9.09
San Joaquin,10129.0,5119.0,1542.0,454.0,321.0,2693.0,12.7,14755.0,10114.0,4641.0,2785.0,2444.0,233.0,108.0,23.7,22.87,15.22,27.5,24.13
San Luis Obispo,2575.0,1294.0,195.0,132.0,84.0,870.0,12.0,2135.0,1671.0,464.0,256.0,146.0,68.0,42.0,36.0,15.96,7.57,9.94,5.67
San Mateo,4463.0,2351.0,415.0,252.0,168.0,1277.0,9.0,3631.0,2823.0,808.0,502.0,286.0,111.0,105.0,37.3,18.71,9.3,11.25,6.41
Santa Barbara,4313.0,2315.0,369.0,215.0,144.0,1270.0,11.3,4025.0,3179.0,846.0,449.0,245.0,128.0,76.0,38.3,16.88,8.56,10.41,5.68
Santa Clara,10661.0,5844.0,264.0,555.0,408.0,3590.0,9.7,12756.0,10329.0,2427.0,598.0,107.0,276.0,215.0,38.7,11.51,2.48,5.61,1.0
Santa Cruz,2825.0,1626.0,39.0,96.0,85.0,979.0,12.0,3174.0,2561.0,613.0,110.0,18.0,51.0,41.0,37.7,7.79,1.38,3.89,0.64
Shasta,3397.0,1645.0,491.0,171.0,96.0,994.0,15.7,4104.0,2372.0,1732.0,1152.0,1040.0,72.0,40.0,25.7,22.31,14.45,33.91,30.62
Sierra,26.0,10.0,2.0,2.0,3.0,9.0,12.0,48.0,34.0,14.0,6.0,6.0,0.0,0.0,29.0,26.92,7.69,23.08,23.08
Siskiyou,836.0,476.0,102.0,30.0,22.0,206.0,16.3,911.0,571.0,340.0,214.0,199.0,11.0,4.0,27.0,18.42,12.2,25.6,23.8
Solano,4887.0,2599.0,61.0,295.0,209.0,1723.0,10.0,4761.0,3863.0,898.0,193.0,17.0,109.0,67.0,37.7,11.56,1.25,3.95,0.35
Sonoma,4442.0,2133.0,451.0,228.0,160.0,1470.0,9.7,4554.0,3598.0,956.0,536.0,312.0,153.0,71.0,35.3,18.89,10.15,12.07,7.02
Stanislaus,9704.0,3957.0,1799.0,540.0,374.0,3034.0,9.0,12659.0,8035.0,4624.0,3333.0,2884.0,319.0,130.0,26.7,27.96,18.54,34.35,29.72
Sutter,1553.0,794.0,280.0,64.0,34.0,381.0,15.3,1685.0,919.0,766.0,443.0,404.0,25.0,14.0,27.0,24.34,18.03,28.53,26.01
Tehama,1322.0,673.0,183.0,54.0,42.0,370.0,13.3,1733.0,939.0,794.0,388.0,356.0,21.0,11.0,20.7,21.1,13.84,29.35,26.93
Trinity,245.0,147.0,25.0,15.0,2.0,56.0,10.7,326.0,152.0,174.0,84.0,74.0,8.0,2.0,27.0,17.14,10.2,34.29,30.2
Tulare,8977.0,3159.0,1852.0,647.0,381.0,2938.0,4.7,13791.0,11828.0,1963.0,2158.0,1574.0,369.0,215.0,35.7,32.08,20.63,24.04,17.53
Tuolumne,846.0,416.0,119.0,47.0,30.0,234.0,15.3,880.0,502.0,378.0,214.0,186.0,25.0,3.0,27.3,23.17,14.07,25.3,21.99
Ventura,8851.0,3909.0,1205.0,567.0,316.0,2854.0,8.7,8919.0,6926.0,1993.0,1687.0,1114.0,348.0,225.0,38.3,23.59,13.61,19.06,12.59
Yolo,2721.0,1469.0,302.0,143.0,75.0,732.0,9.0,2487.0,1972.0,515.0,348.0,211.0,82.0,55.0,36.0,19.11,11.1,12.79,7.75
Yuba,1670.0,836.0,291.0,63.0,51.0,429.0,11.7,1805.0,1106.0,699.0,602.0,553.0,38.0,11.0,23.7,24.25,17.43,36.05,33.11
