Federal Data Reporting and Analysis Bureau,,,,,,,,,,,,,,,,,,,
CY2016 Q1 (January - March) Churn Statewide Summary Report,,,,,,,,,,,,,,,,,,,
Report Run on 09SEP2016,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
County,1.0,1a,1b,1c,1d,1e,2.0,3.0,3a,3b,4.0,4a,4b,4c,5.0,Percent,Percent,Percent,Percent
,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,of,of,of,of
,SNAP,Initital,Applicants,Applicants,Applicants,Applicants,Average,Cases,Recert,Recert,Cases-Do,Cases,Cases,Cases,Average,Reapplications,Reapplications,Recerts,Recerts
,Applications,Applications,Received,Received,Received,Received,Days,Scheduled,Cases-Received,Cases-Did,Not,Do,Do,Do,Days,CHURNING,CHURNING,CHURNING,CHURNING
,Received,,Benefits-Previous,Benefits-Previous,Benefits-Previous,Benefits-Break,to,for,SNAP,Not,Complete,Not,Not,Not,Between,,in,,in
,,,30.0,60.0,90.0,in,Approve,Recertification,in,Receive,Recerts-Do,Receive,Receive,Receive,Notice,,30-Days,,30-Days
,,,days,days,days,Aid,Benefits,,Following,SNAP,Not,Benefits,Benefits,Benefits,of,,,,
,,,,,,Over,,,Month,in,Receive,-,-,-,Expiration,,,,
,,,,,,90.0,,,,Following,Benefits-Reapply,Reapply,Reapply,Reapply,and,,,,
,,,,,,days,,,,Month,,in,in,in,Recertification,,,,
,,,,,,,,,,,,30.0,60.0,90.0,,,,,
,,,,,,,,,,,,days,days,days,,,,,
Napa,1062.0,542.0,110.0,59.0,24.0,327.0,14.3,1071.0,590.0,481.0,220.0,185.0,27.0,8.0,25.7,18.17,10.36,20.72,17.42
Nevada,1086.0,587.0,119.0,47.0,31.0,302.0,12.3,1279.0,728.0,551.0,323.0,295.0,13.0,15.0,25.0,18.14,10.96,29.74,27.16
Orange,24223.0,12576.0,2602.0,1474.0,955.0,6616.0,5.7,26955.0,21596.0,5359.0,2831.0,1733.0,670.0,428.0,33.3,20.77,10.74,11.69,7.15
Placer,2936.0,1540.0,301.0,166.0,91.0,838.0,9.0,2265.0,1748.0,517.0,312.0,198.0,74.0,40.0,33.3,19.01,10.25,10.63,6.74
Plumas,333.0,181.0,38.0,13.0,12.0,89.0,16.0,333.0,192.0,141.0,63.0,61.0,2.0,0.0,29.7,18.92,11.41,18.92,18.32
Riverside,30815.0,13905.0,5444.0,1816.0,1145.0,8505.0,9.7,34772.0,21259.0,13513.0,7282.0,6256.0,664.0,362.0,25.3,27.28,17.67,23.63,20.3
Sacramento,22618.0,10960.0,2893.0,1312.0,822.0,6631.0,6.7,23535.0,18739.0,4796.0,3406.0,2257.0,694.0,455.0,35.3,22.23,12.79,15.06,9.98
San Benito,671.0,288.0,107.0,40.0,27.0,209.0,12.7,741.0,430.0,311.0,218.0,186.0,25.0,7.0,26.3,25.93,15.95,32.49,27.72
San Bernardino,37664.0,14793.0,8662.0,2296.0,1362.0,10551.0,8.3,48277.0,30565.0,17712.0,10600.0,9323.0,809.0,468.0,29.3,32.71,23.0,28.14,24.75
San Diego,38512.0,18060.0,5157.0,2374.0,1455.0,11466.0,11.3,31388.0,24435.0,6953.0,4392.0,2633.0,1017.0,742.0,34.7,23.33,13.39,11.4,6.84
San Francisco,8582.0,4590.0,862.0,447.0,276.0,2407.0,7.7,7306.0,5505.0,1801.0,1067.0,726.0,202.0,139.0,34.7,18.47,10.04,12.43,8.46
San Joaquin,10258.0,4768.0,1869.0,551.0,357.0,2713.0,12.3,15007.0,9973.0,5034.0,2986.0,2639.0,229.0,118.0,24.3,27.07,18.22,29.11,25.73
San Luis Obispo,2638.0,1295.0,205.0,133.0,106.0,899.0,11.3,2162.0,1691.0,471.0,217.0,119.0,55.0,43.0,34.3,16.83,7.77,8.23,4.51
San Mateo,4287.0,2163.0,487.0,261.0,178.0,1198.0,9.7,3510.0,2630.0,880.0,492.0,285.0,122.0,85.0,40.0,21.6,11.36,11.48,6.65
Santa Barbara,4596.0,2557.0,446.0,260.0,135.0,1198.0,11.3,3768.0,2973.0,795.0,490.0,322.0,96.0,72.0,36.0,16.99,9.01,9.9,6.51
Santa Clara,9941.0,5269.0,232.0,618.0,421.0,3401.0,7.7,12214.0,9954.0,2260.0,451.0,46.0,231.0,174.0,36.0,12.79,2.33,4.54,0.46
Santa Cruz,3311.0,1871.0,45.0,134.0,103.0,1158.0,12.0,3215.0,2628.0,587.0,123.0,22.0,56.0,45.0,36.0,8.52,1.36,3.71,0.66
Shasta,3366.0,1456.0,532.0,185.0,152.0,1041.0,14.0,3847.0,2127.0,1720.0,1045.0,903.0,101.0,41.0,27.7,25.82,15.81,31.05,26.83
Sierra,31.0,14.0,2.0,1.0,2.0,12.0,4.7,59.0,31.0,28.0,3.0,1.0,2.0,0.0,34.0,16.13,6.45,9.68,3.23
Siskiyou,834.0,395.0,120.0,40.0,28.0,251.0,19.3,903.0,537.0,366.0,238.0,213.0,17.0,8.0,26.7,22.54,14.39,28.54,25.54
Solano,4803.0,2571.0,62.0,313.0,208.0,1649.0,11.7,5419.0,4116.0,1303.0,266.0,21.0,150.0,95.0,38.7,12.14,1.29,5.54,0.44
Sonoma,4880.0,2120.0,622.0,285.0,204.0,1649.0,18.0,4301.0,3306.0,995.0,584.0,353.0,134.0,97.0,36.3,22.77,12.75,11.97,7.23
Stanislaus,10053.0,4014.0,1869.0,629.0,418.0,3123.0,8.0,12344.0,7475.0,4869.0,2684.0,2254.0,283.0,147.0,27.3,29.01,18.59,26.7,22.42
Sutter,1521.0,704.0,260.0,71.0,46.0,440.0,15.7,1651.0,1010.0,641.0,426.0,392.0,20.0,14.0,28.3,24.79,17.09,28.01,25.77
Tehama,1220.0,577.0,183.0,70.0,51.0,339.0,14.3,1550.0,882.0,668.0,395.0,359.0,25.0,11.0,21.3,24.92,15.0,32.38,29.43
Trinity,241.0,135.0,31.0,15.0,9.0,51.0,12.7,296.0,144.0,152.0,84.0,74.0,7.0,3.0,26.7,22.82,12.86,34.85,30.71
Tulare,9416.0,3254.0,2012.0,670.0,424.0,3056.0,5.3,12967.0,11072.0,1895.0,1810.0,1297.0,293.0,220.0,35.0,32.99,21.37,19.22,13.77
Tuolumne,848.0,397.0,113.0,53.0,23.0,262.0,13.3,970.0,543.0,427.0,177.0,151.0,16.0,10.0,28.0,22.29,13.33,20.87,17.81
Ventura,8992.0,3680.0,1444.0,653.0,372.0,2843.0,9.0,8194.0,6245.0,1949.0,1495.0,1032.0,282.0,181.0,37.3,27.46,16.06,16.63,11.48
Yolo,2559.0,1422.0,242.0,132.0,85.0,678.0,8.0,2566.0,2052.0,514.0,315.0,185.0,82.0,48.0,33.0,17.94,9.46,12.31,7.23
Yuba,1621.0,741.0,326.0,88.0,53.0,413.0,10.7,1846.0,1092.0,754.0,602.0,555.0,34.0,13.0,24.0,28.81,20.11,37.14,34.24
