Federal Data Reporting and Analysis Bureau,,,,,,,,,,,,,,,,,,,
CY2013 Q3 (July - September) Churn Statewide Summary Report,,,,,,,,,,,,,,,,,,,
Report Run on 20JUN2014,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
County,1.0,1a,1b,1c,1d,1e,2.0,3.0,3a,3b,4.0,4a,4b,4c,5.0,Percent,Percent,Percent,Percent
,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,of,of,of,of
,SNAP,Initital,Applicants,Applicants,Applicants,Applicants,Average,Cases,Recert,Recert,Cases-Do,Cases,Cases,Cases,Average,Reapplications,Reapplications,Recerts,Recerts
,Applications,Applications,Received,Received,Received,Received,Days,Scheduled,Cases-Received,Cases-Did,Not,Do,Do,Do,Days,CHURNING,CHURNING,CHURNING,CHURNING
,Received,,Benefits-Previous,Benefits-Previous,Benefits-Previous,Benefits-Break,to,for,SNAP,Not,Complete,Not,Not,Not,Between,,in,,in
,,,30.0,60.0,90.0,in,Approve,Recertification,in,Receive,Recerts-Do,Receive,Receive,Receive,Notice,,30-Days,,30-Days
,,,days,days,days,Aid,Benefits,,Following,SNAP,Not,Benefits,Benefits,Benefits,of,,,,
,,,,,,Over,,,Month,in,Receive,-,-,-,Expiration,,,,
,,,,,,90.0,,,,Following,Benefits-Reapply,Reapply,Reapply,Reapply,and,,,,
,,,,,,days,,,,Month,,in,in,in,Recertification,,,,
,,,,,,,,,,,,30.0,60.0,90.0,,,,,
,,,,,,,,,,,,days,days,days,,,,,
Napa,1257.0,692.0,165.0,57.0,38.0,305.0,27.0,1068.0,560.0,508.0,326.0,289.0,23.0,14.0,17.7,20.68,13.13,25.93,22.99
Nevada,1400.0,848.0,177.0,60.0,38.0,277.0,16.3,1261.0,688.0,573.0,225.0,203.0,13.0,9.0,15.0,19.64,12.64,16.07,14.5
Orange,27639.0,15797.0,2299.0,1352.0,1049.0,7142.0,5.3,25168.0,21802.0,3366.0,1970.0,1286.0,408.0,276.0,34.7,17.0,8.32,7.13,4.65
Placer,3567.0,2182.0,255.0,151.0,123.0,856.0,10.3,2218.0,1805.0,413.0,244.0,145.0,64.0,35.0,36.3,14.83,7.15,6.84,4.07
Plumas,347.0,221.0,47.0,11.0,8.0,60.0,16.3,272.0,136.0,136.0,47.0,40.0,4.0,3.0,12.7,19.02,13.54,13.54,11.53
Riverside,42116.0,21320.0,7233.0,1883.0,1279.0,10401.0,12.3,39735.0,25142.0,14593.0,7310.0,6604.0,490.0,216.0,16.3,24.68,17.17,17.36,15.68
Sacramento,25859.0,14396.0,2225.0,1262.0,907.0,7069.0,11.0,24909.0,21854.0,3055.0,1985.0,1220.0,465.0,300.0,39.7,16.99,8.6,7.68,4.72
San Benito,903.0,454.0,163.0,43.0,35.0,208.0,18.3,843.0,487.0,356.0,194.0,174.0,13.0,7.0,16.0,26.69,18.05,21.48,19.27
San Bernardino,46917.0,22518.0,8988.0,1964.0,1306.0,12141.0,12.0,51028.0,34143.0,16885.0,9471.0,8744.0,514.0,213.0,15.3,26.13,19.16,20.19,18.64
San Diego,44148.0,22825.0,5202.0,2347.0,1798.0,11976.0,11.7,31474.0,25954.0,5520.0,4282.0,2720.0,1009.0,553.0,36.0,21.17,11.78,9.7,6.16
San Francisco,9204.0,4883.0,888.0,545.0,403.0,2485.0,9.3,7205.0,5479.0,1726.0,956.0,658.0,189.0,109.0,37.3,19.95,9.65,10.39,7.15
San Joaquin,12405.0,6684.0,2333.0,524.0,364.0,2500.0,19.3,14174.0,10113.0,4061.0,1927.0,1710.0,138.0,79.0,14.3,25.97,18.81,15.53,13.78
San Luis Obispo,3042.0,1681.0,201.0,168.0,126.0,866.0,12.7,2058.0,1680.0,378.0,223.0,120.0,61.0,42.0,41.0,16.27,6.61,7.33,3.94
San Mateo,5575.0,3352.0,382.0,264.0,211.0,1366.0,11.3,3321.0,2780.0,541.0,401.0,243.0,117.0,41.0,39.7,15.37,6.85,7.19,4.36
Santa Barbara,5113.0,2645.0,457.0,317.0,214.0,1480.0,16.0,3750.0,3017.0,733.0,454.0,255.0,123.0,76.0,39.7,19.32,8.94,8.88,4.99
Santa Clara,13273.0,7817.0,521.0,628.0,540.0,3767.0,16.7,12491.0,10745.0,1746.0,483.0,112.0,243.0,128.0,39.7,12.73,3.93,3.64,0.84
Santa Cruz,3512.0,1985.0,192.0,186.0,151.0,998.0,16.7,2546.0,1957.0,589.0,248.0,111.0,84.0,53.0,41.3,15.06,5.47,7.06,3.16
Shasta,4159.0,2170.0,620.0,181.0,138.0,1050.0,30.3,4028.0,2256.0,1772.0,683.0,595.0,59.0,29.0,13.0,22.58,14.91,16.42,14.31
Sierra,42.0,23.0,7.0,2.0,3.0,7.0,17.3,58.0,30.0,28.0,5.0,4.0,1.0,0.0,15.0,28.57,16.67,11.9,9.52
Siskiyou,1086.0,666.0,124.0,32.0,31.0,233.0,14.7,948.0,594.0,354.0,172.0,160.0,8.0,4.0,17.0,17.22,11.42,15.84,14.73
Solano,6476.0,3537.0,193.0,418.0,322.0,2006.0,13.7,5627.0,4510.0,1117.0,301.0,68.0,146.0,87.0,44.0,14.41,2.98,4.65,1.05
Sonoma,4951.0,2494.0,360.0,293.0,237.0,1567.0,19.7,4180.0,3303.0,877.0,386.0,198.0,119.0,69.0,36.3,17.98,7.27,7.8,4.0
Stanislaus,11846.0,5262.0,2270.0,599.0,375.0,3340.0,10.0,13458.0,8972.0,4486.0,2043.0,1774.0,192.0,77.0,13.7,27.38,19.16,17.25,14.98
Sutter,1797.0,916.0,337.0,80.0,54.0,410.0,15.0,1605.0,942.0,663.0,262.0,231.0,24.0,7.0,16.0,26.21,18.75,14.58,12.85
Tehama,1627.0,913.0,228.0,68.0,40.0,378.0,19.3,1284.0,832.0,452.0,204.0,193.0,5.0,6.0,15.7,20.65,14.01,12.54,11.86
Trinity,312.0,203.0,28.0,19.0,9.0,53.0,15.7,272.0,140.0,132.0,76.0,68.0,7.0,1.0,20.0,17.95,8.97,24.36,21.79
Tulare,10197.0,3832.0,1781.0,735.0,594.0,3255.0,9.3,12435.0,10990.0,1445.0,1571.0,1132.0,261.0,178.0,38.7,30.5,17.47,15.41,11.1
Tuolumne,956.0,488.0,161.0,56.0,30.0,221.0,15.3,916.0,500.0,416.0,192.0,171.0,12.0,9.0,16.7,25.84,16.84,20.08,17.89
Ventura,10707.0,4827.0,1058.0,778.0,605.0,3439.0,11.0,8035.0,6529.0,1506.0,1231.0,762.0,294.0,175.0,43.7,22.8,9.88,11.5,7.12
Yolo,2906.0,1576.0,288.0,155.0,101.0,786.0,14.3,2039.0,1657.0,382.0,233.0,139.0,63.0,31.0,36.7,18.72,9.91,8.02,4.78
Yuba,1870.0,976.0,281.0,100.0,69.0,444.0,18.3,1766.0,1009.0,757.0,448.0,410.0,24.0,14.0,13.7,24.06,15.03,23.96,21.93
