Federal Data Reporting and Analysis Bureau,,,,,,,,,,,,,,,,,,,
CY2012 Q4 (October - December) Churn Statewide Summary Report,,,,,,,,,,,,,,,,,,,
Report Run on 10APR2014,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
County,1.0,1a,1b,1c,1d,1e,2.0,3.0,3a,3b,4.0,4a,4b,4c,5.0,Percent,Percent,Percent,Percent
,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,of,of,of,of
,SNAP,Initital,Applicants,Applicants,Applicants,Applicants,Average,Cases,Recert,Recert,Cases-Do,Cases,Cases,Cases,Average,Reapplications,Reapplications,Recerts,Recerts
,Applications,Applications,Received,Received,Received,Received,Days,Scheduled,Cases-Received,Cases-Did,Not,Do,Do,Do,Days,CHURNING,CHURNING,CHURNING,CHURNING
,Received,,Benefits-Previous,Benefits-Previous,Benefits-Previous,Benefits-Break,to,for,SNAP,Not,Complete,Not,Not,Not,Between,,in,,in
,,,30.0,60.0,90.0,in,Approve,Recertification,in,Receive,Recerts-Do,Receive,Receive,Receive,Notice,,30-Days,,30-Days
,,,days,days,days,Aid,Benefits,,Following,SNAP,Not,Benefits,Benefits,Benefits,of,,,,
,,,,,,Over,,,Month,in,Receive,-,-,-,Expiration,,,,
,,,,,,90.0,,,,Following,Benefits-Reapply,Reapply,Reapply,Reapply,and,,,,
,,,,,,days,,,,Month,,in,in,in,Recertification,,,,
,,,,,,,,,,,,30.0,60.0,90.0,,,,,
,,,,,,,,,,,,days,days,days,,,,,
Napa,1301.0,733.0,48.0,45.0,41.0,434.0,28.3,1232.0,679.0,553.0,419.0,347.0,53.0,19.0,49.7,10.3,3.69,32.21,26.67
Nevada,1184.0,759.0,39.0,65.0,49.0,272.0,9.7,1117.0,787.0,330.0,220.0,191.0,16.0,13.0,33.3,12.92,3.29,18.58,16.13
Orange,23722.0,13786.0,2029.0,1236.0,801.0,5870.0,5.0,22367.0,19365.0,3002.0,1920.0,1203.0,444.0,273.0,36.7,17.14,8.55,8.09,5.07
Placer,3302.0,1977.0,288.0,163.0,126.0,748.0,8.7,1982.0,1606.0,376.0,217.0,129.0,46.0,42.0,41.7,17.47,8.72,6.57,3.91
Plumas,332.0,197.0,10.0,11.0,10.0,104.0,16.7,248.0,176.0,72.0,58.0,56.0,1.0,1.0,35.7,9.34,3.01,17.47,16.87
Riverside,33602.0,17738.0,1099.0,1634.0,1399.0,11732.0,11.3,31904.0,21898.0,10006.0,6833.0,6246.0,377.0,210.0,30.7,12.3,3.27,20.34,18.59
Sacramento,23055.0,12935.0,2075.0,1132.0,766.0,6147.0,9.7,23697.0,21010.0,2687.0,1946.0,1197.0,455.0,294.0,40.3,17.23,9.0,8.44,5.19
San Benito,921.0,427.0,40.0,43.0,56.0,355.0,17.7,912.0,646.0,266.0,189.0,159.0,19.0,11.0,37.7,15.09,4.34,20.52,17.26
San Bernardino,38674.0,18867.0,1692.0,1769.0,1672.0,14674.0,10.7,42311.0,29979.0,12332.0,9294.0,8646.0,423.0,225.0,30.3,13.27,4.38,24.03,22.36
San Diego,41317.0,20107.0,6988.0,2701.0,1708.0,9813.0,9.7,31667.0,25948.0,5719.0,5166.0,3226.0,1134.0,806.0,37.7,27.58,16.91,12.5,7.81
San Francisco,8403.0,4430.0,733.0,535.0,338.0,2367.0,7.3,6560.0,5013.0,1547.0,979.0,592.0,262.0,125.0,37.3,19.11,8.72,11.65,7.05
San Joaquin,10944.0,5748.0,614.0,487.0,501.0,3594.0,17.3,12736.0,9570.0,3166.0,2176.0,1973.0,128.0,75.0,28.0,14.64,5.61,19.88,18.03
San Luis Obispo,2707.0,1465.0,205.0,129.0,94.0,814.0,12.7,2019.0,1660.0,359.0,198.0,126.0,46.0,26.0,39.3,15.81,7.57,7.31,4.65
San Mateo,4811.0,2860.0,389.0,250.0,174.0,1138.0,17.0,2930.0,2490.0,440.0,384.0,217.0,102.0,65.0,39.0,16.9,8.09,7.98,4.51
Santa Barbara,5451.0,2304.0,608.0,337.0,256.0,1946.0,18.7,4295.0,3623.0,672.0,455.0,269.0,118.0,68.0,39.3,22.03,11.15,8.35,4.93
Santa Clara,11058.0,6457.0,716.0,513.0,348.0,3024.0,15.7,11840.0,10421.0,1419.0,463.0,126.0,183.0,154.0,38.0,14.26,6.47,4.19,1.14
Santa Cruz,3828.0,1861.0,209.0,275.0,188.0,1295.0,19.3,2743.0,2297.0,446.0,233.0,96.0,87.0,50.0,37.3,17.55,5.46,6.09,2.51
Shasta,3558.0,1867.0,140.0,181.0,183.0,1187.0,23.7,3769.0,2389.0,1380.0,1019.0,925.0,56.0,38.0,38.3,14.17,3.93,28.64,26.0
Sierra,49.0,27.0,0.0,4.0,4.0,14.0,13.7,43.0,34.0,9.0,6.0,6.0,0.0,0.0,32.3,16.33,0.0,12.24,12.24
Siskiyou,974.0,577.0,33.0,44.0,45.0,275.0,14.7,896.0,622.0,274.0,174.0,155.0,13.0,6.0,34.7,12.53,3.39,17.86,15.91
Solano,5493.0,2956.0,139.0,373.0,237.0,1788.0,12.3,5313.0,4262.0,1051.0,370.0,74.0,179.0,117.0,44.0,13.64,2.53,6.74,1.35
Sonoma,4968.0,2566.0,403.0,270.0,222.0,1507.0,12.7,3899.0,3260.0,639.0,351.0,198.0,86.0,67.0,35.0,18.02,8.11,7.07,3.99
Stanislaus,9872.0,4336.0,370.0,645.0,544.0,3977.0,9.3,11583.0,8295.0,3288.0,2400.0,2160.0,152.0,88.0,34.3,15.79,3.75,24.31,21.88
Sutter,1779.0,936.0,84.0,92.0,92.0,575.0,16.0,1734.0,1233.0,501.0,351.0,323.0,22.0,6.0,36.3,15.06,4.72,19.73,18.16
Tehama,1376.0,716.0,137.0,85.0,65.0,373.0,17.7,1414.0,955.0,459.0,335.0,305.0,19.0,11.0,30.0,20.86,9.96,24.35,22.17
Trinity,257.0,138.0,17.0,16.0,13.0,73.0,15.7,281.0,146.0,135.0,80.0,74.0,2.0,4.0,29.7,17.9,6.61,31.13,28.79
Tulare,9722.0,3389.0,1765.0,832.0,573.0,3163.0,5.3,12891.0,11579.0,1312.0,1714.0,1228.0,305.0,181.0,41.3,32.61,18.15,17.63,12.63
Tuolumne,844.0,423.0,30.0,43.0,47.0,301.0,14.7,897.0,684.0,213.0,152.0,134.0,14.0,4.0,34.0,14.22,3.55,18.01,15.88
Ventura,9400.0,4495.0,831.0,707.0,429.0,2938.0,10.0,7714.0,6288.0,1426.0,1102.0,643.0,268.0,191.0,40.7,20.93,8.84,11.72,6.84
Yolo,2424.0,1260.0,273.0,135.0,110.0,646.0,17.3,1945.0,1576.0,369.0,254.0,142.0,69.0,43.0,37.7,21.37,11.26,10.48,5.86
Yuba,1797.0,940.0,75.0,94.0,76.0,612.0,14.7,1857.0,1277.0,580.0,413.0,375.0,24.0,14.0,30.7,13.63,4.17,22.98,20.87
