County,PART A.  PARTICIPATION DURING THE MONTH,,,,,,,,,PART A.  PARTICIPATION DURING THE MONTH (Continued),,,,,,,,,PART A.  PARTICIPATION (Continued),,,PART B.  ISSUANCES DURING THE MONTH,,,,,,PART C.  VALUE OF BENEFIT ISSUANCES DURING THE MONTH,,
,Number of Households,,,,,,,,,Number of persons in federal only households,,,Number of federal and state persons in federal/state households,,,,,,Number of persons in state only households,,,,,,,,,,,
,A.  Public Assistance,,,B.  Non-Public Assistance,,,Total,,,,,,A. Public Assistance,,B. Non-Public Assistance,,Total,,,,,,,,,,,,,
,,,,,,,,,,A.,B.,,,,,,,,A.,B.,,,Contracted,Other,,,EBT,,,
,,Federal/,,,Federal/,,,Federal/,,Public,Non-Public,,,,,,,,Public,Non-Public,Total,,Over the,Over the,EBT,,Converted,Federal,State,TOTAL
,Federal,State,State,Federal,State,State,Federal,State,State,Assistance,Assistance,Total,Federal,State,Federal,State,Federal,State,Assistance,Assistance,,Mail,Counter,Counter,Issuances,Total,to Coupons,Only,Only,ISSUANCES
Lassen,251.0,0.0,0.0,1168.0,1.0,0.0,1419.0,1.0,0.0,673.0,2293.0,2966.0,0.0,0.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1543.0,1543.0,0.0,455150.0,120.0,455270.0
Los Angeles,87602.0,1856.0,72.0,464283.0,5637.0,3101.0,551885.0,7493.0,3173.0,197816.0,930114.0,1127930.0,3541.0,2564.0,13562.0,6995.0,17103.0,9559.0,156.0,3984.0,4140.0,0.0,0.0,0.0,1193970.0,1193970.0,0.0,183364203.0,1924081.0,185288284.0
Madera,1977.0,6.0,2.0,8493.0,40.0,4.0,10470.0,46.0,6.0,5228.0,21170.0,26398.0,14.0,6.0,130.0,49.0,144.0,55.0,2.0,5.0,7.0,0.0,0.0,0.0,7609.0,7609.0,0.0,3840753.0,6207.0,3846960.0
Marin,727.0,39.0,3.0,4858.0,130.0,29.0,5585.0,169.0,32.0,1548.0,7592.0,9140.0,84.0,41.0,282.0,157.0,366.0,198.0,3.0,40.0,43.0,0.0,0.0,0.0,6067.0,6067.0,0.0,1513082.0,25279.0,1538361.0
Mariposa,117.0,0.0,0.0,776.0,2.0,0.0,893.0,2.0,0.0,318.0,1474.0,1792.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,954.0,954.0,0.0,263497.0,159.0,263656.0
Mendocino,879.0,2.0,0.0,5920.0,26.0,10.0,6799.0,28.0,10.0,2220.0,10603.0,12823.0,5.0,2.0,80.0,31.0,85.0,33.0,0.0,13.0,13.0,0.0,0.0,0.0,7121.0,7121.0,0.0,1970305.0,6264.0,1976569.0
Merced,4653.0,21.0,1.0,17940.0,81.0,8.0,22593.0,102.0,9.0,12563.0,41719.0,54282.0,59.0,21.0,246.0,87.0,305.0,108.0,1.0,8.0,9.0,0.0,0.0,0.0,23918.0,23918.0,0.0,8035515.0,13244.0,8048759.0
Modoc,57.0,0.0,0.0,346.0,1.0,0.0,403.0,1.0,0.0,149.0,762.0,911.0,0.0,0.0,5.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,438.0,438.0,0.0,129633.0,0.0,129633.0
Mono,18.0,0.0,0.0,325.0,0.0,0.0,343.0,0.0,0.0,41.0,538.0,579.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380.0,380.0,0.0,85243.0,0.0,85243.0
Monterey,3107.0,16.0,2.0,15916.0,116.0,14.0,19023.0,132.0,16.0,7605.0,35339.0,42944.0,38.0,20.0,337.0,132.0,375.0,152.0,3.0,22.0,25.0,0.0,0.0,0.0,20251.0,20251.0,0.0,6299421.0,16268.0,6315689.0
Napa,369.0,6.0,1.0,2677.0,58.0,5.0,3046.0,64.0,6.0,881.0,5458.0,6339.0,14.0,7.0,165.0,64.0,179.0,71.0,1.0,6.0,7.0,0.0,0.0,0.0,3465.0,3465.0,0.0,945966.0,7711.0,953677.0
Nevada,418.0,0.0,0.0,3453.0,5.0,4.0,3871.0,5.0,4.0,1077.0,6302.0,7379.0,0.0,0.0,10.0,5.0,10.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,4077.0,4077.0,0.0,1122022.0,1504.0,1123526.0
Orange,12995.0,151.0,3.0,91932.0,1881.0,837.0,104927.0,2032.0,840.0,32850.0,195621.0,228471.0,330.0,197.0,4278.0,2407.0,4608.0,2604.0,6.0,1131.0,1137.0,0.0,0.0,0.0,115303.0,115303.0,0.0,34675667.0,456721.0,35132388.0
Placer,940.0,14.0,0.0,7697.0,35.0,16.0,8637.0,49.0,16.0,2426.0,15314.0,17740.0,24.0,19.0,84.0,43.0,108.0,62.0,0.0,19.0,19.0,0.0,0.0,0.0,9219.0,9219.0,0.0,2605493.52,9590.0,2615083.52
Plumas,90.0,0.0,0.0,686.0,0.0,1.0,776.0,0.0,1.0,236.0,1343.0,1579.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,835.0,835.0,0.0,227908.0,200.0,228108.0
Riverside,19153.0,116.0,5.0,97507.0,1041.0,267.0,116660.0,1157.0,272.0,51879.0,226135.0,278014.0,295.0,131.0,3018.0,1167.0,3313.0,1298.0,6.0,328.0,334.0,0.0,0.0,0.0,124815.0,124815.0,0.0,41367076.0,192666.0,41559742.0
Sacramento,16839.0,323.0,3.0,76539.0,899.0,416.0,93378.0,1222.0,419.0,42302.0,163315.0,205617.0,700.0,473.0,2154.0,1194.0,2854.0,1667.0,3.0,543.0,546.0,0.0,0.0,0.0,100142.0,100142.0,0.0,32296735.0,315113.0,32611848.0
San Benito,349.0,2.0,0.0,2176.0,20.0,4.0,2525.0,22.0,4.0,915.0,4930.0,5845.0,5.0,2.0,56.0,21.0,61.0,23.0,0.0,5.0,5.0,0.0,0.0,0.0,2690.0,2690.0,0.0,855328.0,2494.0,857822.0
San Bernardino,27481.0,158.0,8.0,132793.0,1008.0,284.0,160274.0,1166.0,292.0,73931.0,298578.0,372509.0,398.0,182.0,2790.0,1157.0,3188.0,1339.0,11.0,365.0,376.0,0.0,0.0,0.0,169583.0,169583.0,0.0,56172449.0,198870.0,56371319.0
San Diego,16629.0,283.0,6.0,105210.0,1611.0,530.0,121839.0,1894.0,536.0,44774.0,211586.0,256360.0,673.0,376.0,4103.0,1915.0,4776.0,2291.0,7.0,669.0,676.0,0.0,0.0,0.0,132927.0,132927.0,0.0,39485768.0,370487.0,39856255.0
San Francisco,2577.0,165.0,1.0,28026.0,569.0,518.0,30603.0,734.0,519.0,5671.0,41506.0,47177.0,287.0,184.0,1094.0,745.0,1381.0,929.0,1.0,689.0,690.0,0.0,0.0,0.0,33323.0,33323.0,0.0,7816495.0,212967.0,8029462.0
San Joaquin ,9357.0,62.0,1.0,37085.0,447.0,133.0,46442.0,509.0,134.0,23966.0,87056.0,111022.0,156.0,66.0,1251.0,547.0,1407.0,613.0,1.0,191.0,192.0,0.0,0.0,0.0,49669.0,49669.0,0.0,16739055.0,99986.0,16839041.0
San Luis Obispo,1118.0,6.0,0.0,7610.0,38.0,11.0,8728.0,44.0,11.0,2773.0,14094.0,16867.0,10.0,7.0,89.0,42.0,99.0,49.0,0.0,13.0,13.0,0.0,0.0,0.0,10168.0,10168.0,0.0,2503594.0,6508.0,2510102.0
San Mateo,1469.0,57.0,0.0,12884.0,410.0,161.0,14353.0,467.0,161.0,3539.0,24844.0,28383.0,124.0,57.0,1031.0,487.0,1155.0,544.0,0.0,214.0,214.0,0.0,0.0,0.0,16193.0,16193.0,0.0,4481433.97,88952.03,4570386.0
Santa Barbara,2369.0,6.0,0.0,11545.0,73.0,20.0,13914.0,79.0,20.0,5858.0,25321.0,31179.0,11.0,5.0,204.0,79.0,215.0,84.0,0.0,24.0,24.0,0.0,0.0,0.0,15481.0,15481.0,0.0,4634454.0,14039.0,4648493.0
Santa Clara,6666.0,91.0,1.0,44192.0,775.0,704.0,50858.0,866.0,705.0,15815.0,90958.0,106773.0,181.0,121.0,1627.0,1056.0,1808.0,1177.0,2.0,1054.0,1056.0,0.0,0.0,0.0,55880.0,55880.0,0.0,16426008.0,309148.0,16735156.0
Santa Cruz,1210.0,3.0,0.0,10116.0,45.0,9.0,11326.0,48.0,9.0,2961.0,18880.0,21841.0,3.0,5.0,113.0,52.0,116.0,57.0,0.0,9.0,9.0,0.0,0.0,0.0,12610.0,12610.0,0.0,3322223.0,6826.63,3329049.63
Shasta,1627.0,3.0,0.0,9782.0,13.0,13.0,11409.0,16.0,13.0,4112.0,18755.0,22867.0,4.0,3.0,31.0,16.0,35.0,19.0,0.0,20.0,20.0,0.0,0.0,0.0,12291.0,12291.0,0.0,3395173.0,4636.0,3399809.0
Sierra,14.0,0.0,0.0,145.0,0.0,0.0,159.0,0.0,0.0,39.0,261.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,169.0,0.0,43079.0,0.0,43079.0
Siskiyou ,423.0,0.0,0.0,2492.0,3.0,2.0,2915.0,3.0,2.0,1135.0,5323.0,6458.0,0.0,0.0,7.0,3.0,7.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,3122.0,3122.0,0.0,944812.0,827.0,945639.0
Solano,3274.0,23.0,0.0,17357.0,135.0,40.0,20631.0,158.0,40.0,7798.0,33026.0,40824.0,54.0,24.0,325.0,157.0,379.0,181.0,0.0,47.0,47.0,0.0,0.0,0.0,22424.0,22424.0,0.0,6391874.83,30451.47,6422326.3
Sonoma,1984.0,31.0,0.0,16335.0,192.0,45.0,18319.0,223.0,45.0,4758.0,28730.0,33488.0,76.0,32.0,448.0,222.0,524.0,254.0,0.0,59.0,59.0,0.0,0.0,0.0,19726.0,19726.0,0.0,5218562.0,37147.0,5255709.0
Stanislaus,6730.0,23.0,0.0,34987.0,105.0,25.0,41717.0,128.0,25.0,17772.0,73218.0,90990.0,52.0,28.0,277.0,116.0,329.0,144.0,0.0,35.0,35.0,0.0,0.0,0.0,43552.0,43552.0,0.0,13525238.0,22054.0,13547292.0
Sutter,782.0,10.0,0.0,4285.0,39.0,8.0,5067.0,49.0,8.0,2095.0,9885.0,11980.0,26.0,12.0,101.0,49.0,127.0,61.0,0.0,9.0,9.0,0.0,0.0,0.0,5358.0,5358.0,0.0,1750070.0,7501.0,1757571.0
Tehama,731.0,2.0,0.0,3628.0,11.0,4.0,4359.0,13.0,4.0,1950.0,8032.0,9982.0,5.0,2.0,33.0,12.0,38.0,14.0,0.0,5.0,5.0,0.0,0.0,0.0,4640.0,4640.0,0.0,1451402.0,2948.0,1454350.0
Trinity,80.0,0.0,0.0,721.0,0.0,1.0,801.0,0.0,1.0,195.0,1385.0,1580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,878.0,878.0,0.0,240952.0,286.0,241238.0
Tulare,8768.0,62.0,1.0,37069.0,495.0,162.0,45837.0,557.0,163.0,24063.0,88456.0,112519.0,149.0,67.0,1430.0,537.0,1579.0,604.0,1.0,203.0,204.0,0.0,0.0,0.0,49387.0,49387.0,0.0,16782255.0,103908.0,16886163.0
Tuolumne,369.0,0.0,0.0,2422.0,3.0,1.0,2791.0,3.0,1.0,970.0,4166.0,5136.0,0.0,0.0,9.0,3.0,9.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,2976.0,2976.0,0.0,769263.0,594.0,769857.0
Ventura,3383.0,11.0,0.0,28566.0,270.0,114.0,31949.0,281.0,114.0,8366.0,57784.0,66150.0,20.0,16.0,711.0,313.0,731.0,329.0,0.0,139.0,139.0,0.0,0.0,0.0,34656.0,34656.0,0.0,10107838.0,61197.0,10169035.0
Yolo,952.0,29.0,1.0,6742.0,122.0,74.0,7694.0,151.0,75.0,2415.0,13748.0,16163.0,74.0,45.0,285.0,174.0,359.0,219.0,2.0,102.0,104.0,0.0,0.0,0.0,8658.0,8658.0,0.0,2477405.53,42620.89,2520026.42
Yuba,958.0,6.0,0.0,4696.0,28.0,6.0,5654.0,34.0,6.0,2575.0,9986.0,12561.0,14.0,6.0,90.0,32.0,104.0,38.0,0.0,6.0,6.0,0.0,0.0,0.0,6063.0,6063.0,0.0,1894843.0,4634.0,1899477.0
