,PART A.  PARTICIPATION DURING THE MONTH,,,,,,,,,"PART A.  PARTICIPATION DURING THE MONTH, Cont'd",,,,,,,,,"PART A.  PARTICIPATION, Cont'd",,,PART B.  ISSUANCES DURING THE MONTH,,,,,,PART C.  VALUE OF BENEFIT ISSUANCES DURING THE MONTH,,
,Number of Households,,,,,,,,,Number of persons in federal only households,,,Number of federal and state persons in federal/state households,,,,,,Number of persons in state only households,,,,,,,,,,,
,A.  Public Assistance,,,B.  Non-Public Assistance,,,Total,,,,,,A. Public Assistance,,B. Non-Public Assistance,,Total,,,,,,,,,,,,,
,,,,,,,,,,A.,B.,,,,,,,,A.,B.,,,Contracted,Other,,,EBT,,,
,,Federal/,,,Federal/,,,Federal/,,Public,Non-Public,,,,,,,,Public,Non-Public,Total,,Over the,Over the,EBT,,Converted,Federal,State,TOTAL
County,Federal,State,State,Federal,State,State,Federal,State,State,Assistance,Assistance,Total,Federal,State,Federal,State,Federal,State,Assistance,Assistance,,Mail,Counter,Counter,Issuances,Total,to Coupons,Only,Only,ISSUANCES
Data Cell,1.0,2.0,3.0,4.0,5.0,6.0,15.0,16.0,17.0,7.0,8.0,18.0,9.0,10.0,11.0,12.0,19.0,20.0,13.0,14.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0
Statewide,276216.0,4247.0,61.0,755948.0,11810.0,4971.0,1032164.0,16057.0,5032.0,698961.0,1761315.0,2460276.0,9847.0,5299.0,32642.0,14081.0,42489.0,19380.0,88.0,6267.0,6355.0,0.0,0.0,0.0,1139228.0,1139228.0,0.0,317419096.65,2683092.26,320102188.91
Alameda,10907.0,295.0,2.0,26487.0,425.0,235.0,37394.0,720.0,237.0,25519.0,53441.0,78960.0,678.0,350.0,1065.0,527.0,1743.0,877.0,3.0,303.0,306.0,0.0,0.0,0.0,38351.0,38351.0,0.0,10403226.0,131303.0,10534529.0
Alpine,7.0,0.0,0.0,42.0,0.0,0.0,49.0,0.0,0.0,17.0,104.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,49.0,0.0,13174.0,0.0,13174.0
Amador,170.0,0.0,0.0,691.0,0.0,0.0,861.0,0.0,0.0,479.0,1335.0,1814.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,930.0,930.0,0.0,234659.0,0.0,234659.0
Butte,1761.0,0.0,0.0,7538.0,27.0,12.0,9299.0,27.0,12.0,4460.0,16285.0,20745.0,0.0,0.0,102.0,36.0,102.0,36.0,0.0,14.0,14.0,0.0,0.0,0.0,10123.0,10123.0,0.0,2610504.0,5331.0,2615835.0
Calaveras,288.0,0.0,0.0,980.0,0.0,0.0,1268.0,0.0,0.0,770.0,2037.0,2807.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1268.0,1268.0,0.0,347777.0,0.0,347777.0
Colusa,65.0,0.0,0.0,451.0,13.0,2.0,516.0,13.0,2.0,198.0,1297.0,1495.0,0.0,0.0,42.0,14.0,42.0,14.0,0.0,2.0,2.0,0.0,0.0,0.0,596.0,596.0,0.0,161486.0,1345.0,162831.0
Contra Costa,5675.0,54.0,0.0,12550.0,128.0,32.0,18225.0,182.0,32.0,13891.0,26880.0,40771.0,121.0,61.0,378.0,157.0,499.0,218.0,0.0,38.0,38.0,0.0,0.0,0.0,20568.0,20568.0,0.0,5346067.58,28309.96,5374377.54
Del Norte,447.0,1.0,0.0,1583.0,2.0,1.0,2030.0,3.0,1.0,1237.0,3187.0,4424.0,5.0,1.0,6.0,2.0,11.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,2034.0,2034.0,0.0,547121.0,272.0,547393.0
El Dorado,512.0,0.0,0.0,2332.0,6.0,5.0,2844.0,6.0,5.0,1378.0,4706.0,6084.0,0.0,0.0,17.0,7.0,17.0,7.0,0.0,6.0,6.0,0.0,0.0,0.0,3106.0,3106.0,0.0,780182.0,1553.0,781735.0
Fresno,16875.0,97.0,2.0,42486.0,438.0,67.0,59361.0,535.0,69.0,46067.0,108917.0,154984.0,261.0,112.0,1388.0,494.0,1649.0,606.0,3.0,80.0,83.0,0.0,0.0,0.0,66842.0,66842.0,0.0,19565002.79,69495.15,19634497.94
Glenn,236.0,0.0,0.0,739.0,3.0,0.0,975.0,3.0,0.0,652.0,1851.0,2503.0,0.0,0.0,6.0,4.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1066.0,1066.0,0.0,297456.0,352.0,297808.0
Humboldt,992.0,3.0,0.0,4221.0,5.0,5.0,5213.0,8.0,5.0,2497.0,8060.0,10557.0,10.0,6.0,8.0,7.0,18.0,13.0,0.0,7.0,7.0,0.0,0.0,0.0,5758.0,5758.0,0.0,1334783.0,1965.0,1336748.0
Imperial,1778.0,0.0,1.0,6600.0,191.0,27.0,8378.0,191.0,28.0,5416.0,17251.0,22667.0,0.0,0.0,535.0,200.0,535.0,200.0,1.0,27.0,28.0,0.0,0.0,0.0,8597.0,8597.0,0.0,2923955.0,20062.0,2944017.0
Inyo,109.0,0.0,0.0,483.0,0.0,0.0,592.0,0.0,0.0,330.0,960.0,1290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,628.0,628.0,0.0,146598.0,0.0,146598.0
Kern ,6749.0,7.0,0.0,29191.0,279.0,77.0,35940.0,286.0,77.0,18878.0,77212.0,96090.0,17.0,8.0,830.0,304.0,847.0,312.0,0.0,96.0,96.0,0.0,0.0,0.0,39045.0,39045.0,0.0,11750869.0,49563.0,11800432.0
Kings,1124.0,0.0,1.0,5198.0,50.0,45.0,6322.0,50.0,46.0,3126.0,12630.0,15756.0,0.0,0.0,136.0,53.0,136.0,53.0,1.0,45.0,46.0,0.0,0.0,0.0,6853.0,6853.0,0.0,1872744.0,9912.0,1882656.0
Lake,993.0,0.0,0.0,2097.0,16.0,1.0,3090.0,16.0,1.0,1743.0,5135.0,6878.0,0.0,0.0,42.0,16.0,42.0,16.0,0.0,1.0,1.0,0.0,0.0,0.0,3417.0,3417.0,0.0,863951.0,951.0,864902.0
Lassen,234.0,1.0,0.0,754.0,2.0,1.0,988.0,3.0,1.0,673.0,1698.0,2371.0,1.0,1.0,4.0,2.0,5.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1136.0,1136.0,0.0,299917.0,417.0,300334.0
Los Angeles,75969.0,1618.0,34.0,234345.0,4018.0,1873.0,310314.0,5636.0,1907.0,173897.0,513888.0,687785.0,3346.0,2004.0,11016.0,4781.0,14362.0,6785.0,48.0,2263.0,2311.0,0.0,0.0,0.0,361708.0,361708.0,0.0,93177353.0,1030454.0,94207807.0
Madera,987.0,0.0,0.0,5408.0,7.0,3.0,6395.0,7.0,3.0,2843.0,13949.0,16792.0,0.0,0.0,33.0,7.0,33.0,7.0,0.0,4.0,4.0,0.0,0.0,0.0,7029.0,7029.0,0.0,2067643.0,1042.0,2068685.0
Marin,483.0,0.0,0.0,2634.0,46.0,79.0,3117.0,46.0,79.0,1124.0,4170.0,5294.0,0.0,0.0,89.0,48.0,89.0,48.0,0.0,83.0,83.0,0.0,0.0,0.0,3359.0,3359.0,0.0,717248.0,7566.0,724814.0
Mariposa,102.0,0.0,0.0,368.0,0.0,0.0,470.0,0.0,0.0,270.0,763.0,1033.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514.0,514.0,0.0,130498.0,0.0,130498.0
Mendocino,679.0,0.0,0.0,3974.0,18.0,8.0,4653.0,18.0,8.0,1707.0,7217.0,8924.0,0.0,0.0,54.0,19.0,54.0,19.0,0.0,10.0,10.0,0.0,0.0,0.0,4941.0,4941.0,0.0,1160940.0,2856.0,1163796.0
Merced,4769.0,14.0,0.0,8852.0,50.0,0.0,13621.0,64.0,0.0,12966.0,23438.0,36404.0,46.0,14.0,171.0,57.0,217.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,14984.0,14984.0,0.0,4479956.0,6838.0,4486794.0
Modoc,78.0,0.0,0.0,285.0,0.0,0.0,363.0,0.0,0.0,223.0,652.0,875.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363.0,363.0,0.0,99565.0,0.0,99565.0
Mono,15.0,0.0,0.0,189.0,1.0,0.0,204.0,1.0,0.0,37.0,310.0,347.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,226.0,0.0,47893.0,163.0,48056.0
