,PART A.  PARTICIPATION DURING THE MONTH,,,,,,,,,"PART A.  PARTICIPATION DURING THE MONTH, Cont'd",,,,,,,,,"PART A.  PARTICIPATION, Cont'd",,,PART B.  ISSUANCES DURING THE MONTH,,,,,,PART C.  VALUE OF BENEFIT ISSUANCES DURING THE MONTH,,
,Number of Households,,,,,,,,,Number of persons in federal only households,,,Number of federal and state persons in federal/state households,,,,,,Number of persons in state only households,,,,,,,,,,,
,A.  Public Assistance,,,B.  Non-Public Assistance,,,Total,,,,,,A. Public Assistance,,B. Non-Public Assistance,,Total,,,,,,,,,,,,,
,,,,,,,,,,A.,B.,,,,,,,,A.,B.,,,Contracted,Other,,,EBT,,,
,,Federal/,,,Federal/,,,Federal/,,Public,Non-Public,,,,,,,,Public,Non-Public,Total,,Over the,Over the,EBT,,Converted,Federal,State,TOTAL
County,Federal,State,State,Federal,State,State,Federal,State,State,Assistance,Assistance,Total,Federal,State,Federal,State,Federal,State,Assistance,Assistance,,Mail,Counter,Counter,Issuances,Total,to Coupons,Only,Only,ISSUANCES
Lassen,253.0,0.0,0.0,558.0,2.0,0.0,811.0,2.0,0.0,698.0,1275.0,1973.0,0.0,0.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,886.0,886.0,0.0,195524.0,198.0,195722.0
Los Angeles,83763.0,1850.0,24.0,195193.0,3771.0,2190.0,278956.0,5621.0,2214.0,190022.0,454412.0,644434.0,3853.0,2208.0,10310.0,4467.0,14163.0,6675.0,34.0,2675.0,2709.0,0.0,0.0,0.0,380562.0,380562.0,0.0,69916220.0,858272.0,70774492.0
Madera,1095.0,0.0,0.0,4168.0,20.0,3.0,5263.0,20.0,3.0,3190.0,10655.0,13845.0,0.0,0.0,60.0,20.0,60.0,20.0,0.0,3.0,3.0,0.0,0.0,0.0,5657.0,5657.0,0.0,1265631.0,1447.0,1267078.0
Marin  ,534.0,1.0,0.0,1877.0,23.0,10.0,2411.0,24.0,10.0,1267.0,3076.0,4343.0,1.0,1.0,50.0,30.0,51.0,31.0,0.0,10.0,10.0,0.0,0.0,0.0,2445.0,2445.0,0.0,450784.0,1910.0,452694.0
Mariposa,100.0,0.0,0.0,277.0,0.0,0.0,377.0,0.0,0.0,266.0,575.0,841.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428.0,428.0,0.0,82435.0,0.0,82435.0
Mendocino,863.0,0.0,0.0,2850.0,13.0,3.0,3713.0,13.0,3.0,2312.0,5582.0,7894.0,0.0,0.0,43.0,14.0,43.0,14.0,0.0,3.0,3.0,0.0,0.0,0.0,3944.0,3944.0,0.0,782750.0,1193.0,783943.0
Merced  ,4349.0,22.0,0.0,5956.0,48.0,2.0,10305.0,70.0,2.0,12391.0,16941.0,29332.0,60.0,22.0,177.0,54.0,237.0,76.0,0.0,2.0,2.0,0.0,0.0,0.0,11114.0,11114.0,0.0,2726118.0,5494.0,2731612.0
Modoc,119.0,0.0,0.0,199.0,0.0,0.0,318.0,0.0,0.0,331.0,460.0,791.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,318.0,318.0,0.0,71227.0,0.0,71227.0
Mono,40.0,0.0,0.0,111.0,0.0,0.0,151.0,0.0,0.0,112.0,187.0,299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0,183.0,0.0,28194.0,0.0,28194.0
Monterey  ,1705.0,2.0,0.0,4963.0,68.0,6.0,6668.0,70.0,6.0,4692.0,12114.0,16806.0,5.0,2.0,205.0,73.0,210.0,75.0,0.0,9.0,9.0,0.0,0.0,0.0,7719.0,7719.0,0.0,1598316.0,2212.0,1600528.0
Napa,236.0,0.0,0.0,864.0,6.0,3.0,1100.0,6.0,3.0,611.0,2029.0,2640.0,0.0,0.0,21.0,14.0,21.0,14.0,0.0,3.0,3.0,0.0,0.0,0.0,1109.0,1109.0,0.0,251236.0,1661.0,252897.0
Nevada,277.0,0.0,0.0,725.0,0.0,0.0,1002.0,0.0,0.0,695.0,1590.0,2285.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1118.0,1118.0,0.0,234973.0,0.0,234973.0
Orange,9628.0,69.0,1.0,20407.0,346.0,153.0,30035.0,415.0,154.0,24644.0,55867.0,80511.0,152.0,75.0,823.0,425.0,975.0,500.0,1.0,202.0,203.0,0.0,0.0,0.0,32100.0,32100.0,0.0,7249559.0,56255.0,7305814.0
Placer ,968.0,11.0,0.0,1385.0,10.0,1.0,2353.0,21.0,1.0,2273.0,3013.0,5286.0,32.0,15.0,32.0,15.0,64.0,30.0,0.0,1.0,1.0,0.0,0.0,0.0,2992.0,2992.0,0.0,591472.0,2669.0,594141.0
Plumas,89.0,0.0,0.0,198.0,0.0,0.0,287.0,0.0,0.0,205.0,465.0,670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.0,312.0,0.0,62081.0,0.0,62081.0
Riverside,11926.0,102.0,7.0,16329.0,287.0,61.0,28255.0,389.0,68.0,32911.0,47788.0,80699.0,284.0,108.0,954.0,311.0,1238.0,419.0,11.0,85.0,96.0,0.0,0.0,0.0,31136.0,31136.0,0.0,7730824.0,32982.0,7763806.0
Sacramento,24688.0,468.0,70.0,14684.0,127.0,148.0,39372.0,595.0,218.0,76654.0,32536.0,109190.0,999.0,761.0,267.0,172.0,1266.0,933.0,220.0,207.0,427.0,0.0,0.0,0.0,56900.0,56900.0,0.0,12070213.0,100190.0,12170403.0
San Benito,338.0,0.0,0.0,794.0,6.0,0.0,1132.0,6.0,0.0,990.0,1840.0,2830.0,0.0,0.0,18.0,8.0,18.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1138.0,1138.0,0.0,269345.0,72.0,269417.0
San Bernardino,19195.0,167.0,3.0,28878.0,452.0,189.0,48073.0,619.0,192.0,53807.0,85061.0,138868.0,440.0,178.0,1362.0,510.0,1802.0,688.0,4.0,242.0,246.0,0.0,0.0,0.0,54343.0,54343.0,0.0,13823399.0,84648.0,13908047.0
San Diego,14360.0,211.0,2.0,17147.0,275.0,180.0,31507.0,486.0,182.0,38870.0,45750.0,84620.0,454.0,232.0,723.0,309.0,1177.0,541.0,2.0,232.0,234.0,0.0,0.0,190.0,35493.0,35683.0,0.0,8192071.0,72837.0,8264908.0
San Francisco,3732.0,78.0,0.0,15520.0,188.0,361.0,19252.0,266.0,361.0,8680.0,22430.0,31110.0,138.0,97.0,328.0,257.0,466.0,354.0,0.0,504.0,504.0,0.0,0.0,0.0,21384.0,21384.0,0.0,3289092.0,77215.0,3366307.0
San Joaquin,5925.0,5.0,1.0,13483.0,203.0,68.0,19408.0,208.0,69.0,16424.0,36606.0,53030.0,9.0,7.0,642.0,257.0,651.0,264.0,3.0,98.0,101.0,0.0,0.0,0.0,21237.0,21237.0,0.0,5210363.0,13250.0,5223613.0
San Luis Obispo ,1583.0,3.0,0.0,1813.0,12.0,7.0,3396.0,15.0,7.0,3435.0,2932.0,6367.0,9.0,3.0,25.0,13.0,34.0,16.0,0.0,9.0,9.0,0.0,0.0,0.0,3702.0,3702.0,0.0,704403.0,1953.0,706356.0
San Mateo ,1706.0,8.0,0.0,2471.0,30.0,8.0,4177.0,38.0,8.0,4221.0,5420.0,9641.0,18.0,10.0,77.0,34.0,95.0,44.0,0.0,10.0,10.0,0.0,0.0,0.0,4328.0,4328.0,0.0,856413.0,2073.0,858486.0
Santa Barbara,3262.0,20.0,0.0,4496.0,61.0,14.0,7758.0,81.0,14.0,5322.0,11982.0,17304.0,20.0,20.0,166.0,97.0,186.0,117.0,0.0,18.0,18.0,0.0,0.0,0.0,8455.0,8455.0,0.0,1769162.0,6501.0,1775663.0
Santa Clara  ,10018.0,300.0,129.0,13416.0,306.0,483.0,23434.0,606.0,612.0,25869.0,29891.0,55760.0,518.0,617.0,692.0,404.0,1210.0,1021.0,455.0,706.0,1161.0,0.0,0.0,0.0,31652.0,31652.0,0.0,5726300.0,242162.0,5968462.0
Santa Cruz  ,1522.0,4.0,0.0,2994.0,37.0,12.0,4516.0,41.0,12.0,3643.0,6224.0,9867.0,9.0,5.0,112.0,38.0,121.0,43.0,0.0,18.0,18.0,0.0,0.0,0.0,5781.0,5781.0,0.0,995718.36,6965.0,1002683.36
Shasta,1665.0,0.0,0.0,3872.0,4.0,2.0,5537.0,4.0,2.0,4187.0,8957.0,13144.0,0.0,0.0,8.0,4.0,8.0,4.0,0.0,3.0,3.0,0.0,0.0,0.0,6120.0,6120.0,0.0,1275807.0,956.0,1276763.0
Sierra,23.0,0.0,0.0,48.0,0.0,0.0,71.0,0.0,0.0,58.0,109.0,167.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,74.0,0.0,15947.0,0.0,15947.0
