,PART A.  PARTICIPATION DURING THE MONTH,,,,,,,,,"PART A.  PARTICIPATION DURING THE MONTH, Cont'd",,,,,,,,,"PART A.  PARTICIPATION, Cont'd",,,PART B.  ISSUANCES DURING THE MONTH,,,,,,PART C.  VALUE OF BENEFIT ISSUANCES DURING THE MONTH,,
,Number of Households,,,,,,,,,Number of persons in federal only households,,,Number of federal and state persons in federal/state households,,,,,,Number of persons in state only households,,,,,,,,,,,
,A.  Public Assistance,,,B.  Non-Public Assistance,,,Total,,,,,,A. Public Assistance,,B. Non-Public Assistance,,Total,,,,,,,,,,,,,
,,,,,,,,,,A.,B.,,,,,,,,A.,B.,,,Contracted,Other,,,EBT,,,
,,Federal/,,,Federal/,,,Federal/,,Public,Non-Public,,,,,,,,Public,Non-Public,Total,,Over the,Over the,EBT,,Converted,Federal,State,TOTAL
County,Federal,State,State,Federal,State,State,Federal,State,State,Assistance,Assistance,Total,Federal,State,Federal,State,Federal,State,Assistance,Assistance,,Mail,Counter,Counter,Issuances,Total,to Coupons,Only,Only,ISSUANCES
Data Cell,1.0,2.0,3.0,4.0,5.0,6.0,15.0,16.0,17.0,7.0,8.0,18.0,9.0,10.0,11.0,12.0,19.0,20.0,13.0,14.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0
Statewide,262048.0,3880.0,386.0,535631.0,8069.0,4364.0,797679.0,11949.0,4750.0,675507.0,1324581.0,2000088.0,8367.0,5640.0,22447.0,9578.0,30814.0,15218.0,1404.0,5875.0,7279.0,0.0,0.0,0.0,912979.0,912979.0,0.0,203429890.34,2106123.65,205536013.99
Alameda ,11741.0,178.0,16.0,18243.0,238.0,157.0,29984.0,416.0,173.0,28737.0,37418.0,66155.0,390.0,204.0,550.0,296.0,940.0,500.0,45.0,239.0,284.0,0.0,0.0,0.0,30573.0,30573.0,0.0,6928093.0,72690.0,7000783.0
Alpine,5.0,0.0,0.0,32.0,0.0,0.0,37.0,0.0,0.0,11.0,74.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,37.0,0.0,8680.0,0.0,8680.0
Amador,130.0,0.0,0.0,401.0,0.0,0.0,531.0,0.0,0.0,324.0,873.0,1197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,578.0,578.0,0.0,125383.0,0.0,125383.0
Butte  ,1879.0,0.0,0.0,5817.0,6.0,6.0,7696.0,6.0,6.0,4943.0,13517.0,18460.0,0.0,0.0,14.0,7.0,14.0,7.0,0.0,10.0,10.0,0.0,0.0,0.0,8397.0,8397.0,0.0,1849089.0,1672.0,1850761.0
Calaveras,211.0,0.0,0.0,572.0,0.0,0.0,783.0,0.0,0.0,560.0,1174.0,1734.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,783.0,783.0,0.0,184332.0,0.0,184332.0
Colusa,81.0,0.0,0.0,369.0,4.0,6.0,450.0,4.0,6.0,243.0,1008.0,1251.0,0.0,0.0,17.0,5.0,17.0,5.0,0.0,7.0,7.0,0.0,0.0,0.0,493.0,493.0,0.0,103664.0,1072.0,104736.0
Contra Costa  ,5394.0,29.0,0.0,7881.0,75.0,32.0,13275.0,104.0,32.0,13087.0,17951.0,31038.0,58.0,33.0,198.0,99.0,256.0,132.0,0.0,41.0,41.0,0.0,0.0,0.0,15938.0,15938.0,0.0,3285720.0,19338.0,3305058.0
Del Norte,479.0,0.0,0.0,1254.0,4.0,3.0,1733.0,4.0,3.0,1370.0,2593.0,3963.0,0.0,0.0,12.0,5.0,12.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,1740.0,1740.0,0.0,397753.0,184.0,397937.0
El Dorado,547.0,0.0,0.0,1392.0,6.0,5.0,1939.0,6.0,5.0,1421.0,2980.0,4401.0,0.0,0.0,15.0,8.0,15.0,8.0,0.0,8.0,8.0,0.0,0.0,0.0,2151.0,2151.0,0.0,455529.0,860.0,456389.0
Fresno  ,18679.0,30.0,6.0,22895.0,171.0,10.0,41574.0,201.0,16.0,66780.0,97553.0,164333.0,56.0,30.0,603.0,178.0,659.0,208.0,25.0,12.0,37.0,0.0,0.0,0.0,47263.0,47263.0,0.0,11870347.0,17094.0,11887441.0
Glenn  ,219.0,0.0,0.0,611.0,1.0,0.0,830.0,1.0,0.0,629.0,1634.0,2263.0,0.0,0.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,914.0,914.0,0.0,203295.0,80.0,203375.0
Humboldt,1023.0,3.0,0.0,4029.0,8.0,4.0,5052.0,11.0,4.0,2530.0,8209.0,10739.0,5.0,3.0,9.0,19.0,14.0,22.0,0.0,6.0,6.0,0.0,0.0,0.0,5642.0,5642.0,0.0,1135610.0,1751.0,1137361.0
Imperial,1405.0,3.0,0.0,4688.0,89.0,13.0,6093.0,92.0,13.0,4159.0,12870.0,17029.0,7.0,3.0,252.0,93.0,259.0,96.0,0.0,13.0,13.0,0.0,0.0,0.0,6198.0,6198.0,0.0,1714531.0,6576.0,1721107.0
Inyo,69.0,0.0,0.0,372.0,0.0,0.0,441.0,0.0,0.0,186.0,783.0,969.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,459.0,459.0,0.0,92552.0,0.0,92552.0
Kern ,6175.0,4.0,0.0,21670.0,213.0,57.0,27845.0,217.0,57.0,17269.0,59894.0,77163.0,13.0,4.0,645.0,228.0,658.0,232.0,0.0,72.0,72.0,0.0,0.0,0.0,29940.0,29940.0,0.0,7452923.0,30683.0,7483606.0
Kings,1085.0,1.0,2.0,4243.0,32.0,17.0,5328.0,33.0,19.0,3048.0,10691.0,13739.0,4.0,1.0,83.0,35.0,87.0,36.0,2.0,17.0,19.0,0.0,0.0,0.0,5750.0,5750.0,0.0,1296137.0,2993.0,1299130.0
Lake,835.0,0.0,0.0,1421.0,3.0,2.0,2256.0,3.0,2.0,1512.0,3644.0,5156.0,0.0,0.0,7.0,3.0,7.0,3.0,0.0,4.0,4.0,0.0,0.0,0.0,2513.0,2513.0,0.0,526105.0,649.0,526754.0
Lassen ,267.0,0.0,0.0,590.0,2.0,1.0,857.0,2.0,1.0,757.0,1390.0,2147.0,0.0,0.0,3.0,2.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,955.0,955.0,0.0,217699.0,396.0,218095.0
Los Angeles,78291.0,1731.0,23.0,190530.0,3510.0,1859.0,268821.0,5241.0,1882.0,176677.0,437445.0,614122.0,3591.0,2067.0,9849.0,4134.0,13440.0,6201.0,30.0,2277.0,2307.0,0.0,0.0,0.0,315910.0,315910.0,0.0,67610375.0,816445.0,68426820.0
Madera,1003.0,0.0,0.0,4340.0,30.0,2.0,5343.0,30.0,2.0,2896.0,11257.0,14153.0,0.0,0.0,104.0,30.0,104.0,30.0,0.0,2.0,2.0,0.0,0.0,0.0,5779.0,5779.0,0.0,1379553.0,1980.0,1381533.0
Marin,496.0,0.0,0.0,2014.0,23.0,19.0,2510.0,23.0,19.0,1133.0,3291.0,4424.0,0.0,0.0,48.0,24.0,48.0,24.0,0.0,19.0,19.0,0.0,0.0,0.0,2743.0,2743.0,0.0,477838.0,5312.0,483150.0
Mariposa,86.0,0.0,0.0,292.0,0.0,0.0,378.0,0.0,0.0,227.0,600.0,827.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411.0,411.0,0.0,83651.0,0.0,83651.0
Mendocino,720.0,2.0,0.0,2840.0,11.0,2.0,3560.0,13.0,2.0,1835.0,5330.0,7165.0,6.0,2.0,41.0,12.0,47.0,14.0,0.0,2.0,2.0,0.0,0.0,0.0,4048.0,4048.0,0.0,821828.0,865.0,822693.0
Merced,4313.0,26.0,0.0,6355.0,47.0,5.0,10668.0,73.0,5.0,12041.0,18090.0,30131.0,69.0,26.0,159.0,52.0,228.0,78.0,0.0,6.0,6.0,0.0,0.0,0.0,11760.0,11760.0,0.0,2901319.0,5757.0,2907076.0
Modoc,106.0,0.0,0.0,199.0,0.0,0.0,305.0,0.0,0.0,303.0,471.0,774.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.0,305.0,0.0,71142.0,0.0,71142.0
Mono,8.0,0.0,0.0,96.0,0.0,0.0,104.0,0.0,0.0,14.0,170.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,126.0,0.0,19192.0,0.0,19192.0
