,PART A.  PARTICIPATION DURING THE MONTH,,,,,,,,,"PART A.  PARTICIPATION DURING THE MONTH, Cont'd",,,,,,,,,"PART A.  PARTICIPATION, Cont'd",,,PART B.  ISSUANCES DURING THE MONTH,,,,,,PART C.  VALUE OF BENEFIT ISSUANCES DURING THE MONTH,,
,Number of Households,,,,,,,,,Number of persons in federal only households,,,Number of federal and state persons in federal/state households,,,,,,Number of persons in state only households,,,,,,,,,,,
,A.  Public Assistance,,,B.  Non-Public Assistance,,,Total,,,,,,A. Public Assistance,,B. Non-Public Assistance,,Total,,,,,,,,,,,,,
,,,,,,,,,,A.,B.,,,,,,,,A.,B.,,,Contracted,Other,,,EBT,,,
,,Federal/,,,Federal/,,,Federal/,,Public,Non-Public,,,,,,,,Public,Non-Public,Total,,Over the,Over the,EBT,,Converted,Federal,State,TOTAL
County,Federal,State,State,Federal,State,State,Federal,State,State,Assistance,Assistance,Total,Federal,State,Federal,State,Federal,State,Assistance,Assistance,,Mail,Counter,Counter,Issuances,Total,to Coupons,Only,Only,ISSUANCES
Data Cell,1.0,2.0,3.0,4.0,5.0,6.0,15.0,16.0,17.0,7.0,8.0,18.0,9.0,10.0,11.0,12.0,19.0,20.0,13.0,14.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0
Statewide,278023.0,4214.0,219.0,518598.0,7967.0,4210.0,796621.0,12181.0,4429.0,701973.0,1266573.0,1968546.0,9999.0,4711.0,22666.0,9598.0,32665.0,14309.0,482.0,5668.0,6150.0,0.0,0.0,159.0,910195.0,910354.0,0.0,199905061.07,1788181.32,201693242.39
Alameda  ,17202.0,710.0,148.0,15501.0,89.0,26.0,32703.0,799.0,174.0,41632.0,29210.0,70842.0,2161.0,353.0,388.0,26.0,2549.0,379.0,341.0,30.0,371.0,0.0,0.0,0.0,33676.0,33676.0,0.0,6483622.0,53856.0,6537478.0
Alpine,2.0,0.0,0.0,32.0,0.0,0.0,34.0,0.0,0.0,4.0,74.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,34.0,0.0,6183.0,0.0,6183.0
Amador,163.0,0.0,0.0,372.0,0.0,0.0,535.0,0.0,0.0,446.0,777.0,1223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,580.0,580.0,0.0,127152.0,0.0,127152.0
Butte  a/,1957.0,1.0,2.0,5304.0,8.0,6.0,7261.0,9.0,8.0,5131.0,12385.0,17516.0,2.0,1.0,16.0,9.0,18.0,10.0,2.0,8.0,10.0,0.0,0.0,0.0,7948.0,7948.0,0.0,1724360.0,1279.0,1725639.0
Calaveras,208.0,0.0,0.0,572.0,0.0,0.0,780.0,0.0,0.0,567.0,1160.0,1727.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.0,780.0,0.0,176260.0,0.0,176260.0
Colusa,87.0,0.0,0.0,398.0,10.0,5.0,485.0,10.0,5.0,256.0,1084.0,1340.0,0.0,0.0,33.0,14.0,33.0,14.0,0.0,7.0,7.0,0.0,0.0,0.0,531.0,531.0,0.0,111611.0,1387.0,112998.0
Contra Costa  ,5696.0,26.0,4.0,7139.0,74.0,29.0,12835.0,100.0,33.0,14014.0,16645.0,30659.0,55.0,27.0,171.0,112.0,226.0,139.0,13.0,53.0,66.0,0.0,0.0,0.0,15773.0,15773.0,0.0,3108408.0,22651.0,3131059.0
Del Norte,511.0,1.0,0.0,1179.0,4.0,1.0,1690.0,5.0,1.0,1448.0,2427.0,3875.0,2.0,1.0,13.0,5.0,15.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,1696.0,1696.0,0.0,386961.0,457.0,387418.0
El Dorado,565.0,0.0,0.0,1281.0,6.0,5.0,1846.0,6.0,5.0,1474.0,2633.0,4107.0,0.0,0.0,19.0,7.0,19.0,7.0,0.0,7.0,7.0,0.0,0.0,0.0,2040.0,2040.0,0.0,420425.0,1071.0,421496.0
Fresno,14617.0,51.0,0.0,25461.0,198.0,10.0,40078.0,249.0,10.0,40997.0,76507.0,117504.0,144.0,59.0,692.0,209.0,836.0,268.0,0.0,12.0,12.0,0.0,0.0,0.0,44469.0,44469.0,0.0,11297336.0,16287.0,11313623.0
Glenn  ,238.0,0.0,0.0,655.0,2.0,0.0,893.0,2.0,0.0,628.0,1747.0,2375.0,0.0,0.0,7.0,2.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,987.0,987.0,0.0,218218.65,142.35,218361.0
Humboldt,1191.0,1.0,0.0,3735.0,7.0,3.0,4926.0,8.0,3.0,2977.0,7645.0,10622.0,5.0,1.0,13.0,7.0,18.0,8.0,0.0,3.0,3.0,0.0,0.0,0.0,4750.0,4750.0,0.0,1105345.0,679.0,1106024.0
Imperial,1305.0,1.0,0.0,4413.0,109.0,16.0,5718.0,110.0,16.0,3836.0,12452.0,16288.0,4.0,1.0,309.0,114.0,313.0,115.0,0.0,17.0,17.0,0.0,0.0,0.0,5844.0,5844.0,0.0,1589700.0,7881.0,1597581.0
Inyo,87.0,0.0,0.0,344.0,0.0,0.0,431.0,0.0,0.0,262.0,706.0,968.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456.0,456.0,0.0,85878.0,0.0,85878.0
Kern ,6450.0,1.0,0.0,20890.0,217.0,73.0,27340.0,218.0,73.0,18402.0,58681.0,77083.0,1.0,1.0,667.0,233.0,668.0,234.0,0.0,198.0,198.0,0.0,0.0,0.0,29591.0,29591.0,0.0,7320967.0,33999.0,7354966.0
Kings,1168.0,2.0,1.0,4163.0,26.0,11.0,5331.0,28.0,12.0,3282.0,10491.0,13773.0,7.0,2.0,71.0,28.0,78.0,30.0,1.0,11.0,12.0,0.0,0.0,0.0,5732.0,5732.0,0.0,1285479.0,2716.0,1288195.0
Lake,893.0,1.0,0.0,1415.0,1.0,1.0,2308.0,2.0,1.0,1758.0,3549.0,5307.0,2.0,1.0,2.0,1.0,4.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2516.0,2516.0,0.0,527341.0,420.0,527761.0
Lassen,267.0,0.0,0.0,590.0,3.0,0.0,857.0,3.0,0.0,773.0,1368.0,2141.0,0.0,0.0,4.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,921.0,921.0,0.0,208070.0,351.0,208421.0
Los Angeles,81855.0,1834.0,23.0,190939.0,3652.0,1877.0,272794.0,5486.0,1900.0,185156.0,442034.0,627190.0,3845.0,2182.0,10116.0,4307.0,13961.0,6489.0,38.0,2280.0,2318.0,0.0,0.0,0.0,326022.0,326022.0,0.0,68228413.0,834119.0,69062532.0
Madera,1011.0,0.0,0.0,4388.0,22.0,3.0,5399.0,22.0,3.0,2975.0,11225.0,14200.0,0.0,0.0,65.0,22.0,65.0,22.0,0.0,3.0,3.0,0.0,0.0,0.0,5796.0,5796.0,0.0,1362601.0,1717.0,1364318.0
Marin,501.0,0.0,0.0,1868.0,21.0,15.0,2369.0,21.0,15.0,1186.0,3054.0,4240.0,0.0,0.0,38.0,24.0,38.0,24.0,0.0,15.0,15.0,0.0,0.0,0.0,2384.0,2384.0,0.0,435789.0,2248.0,438037.0
Mariposa,103.0,0.0,0.0,281.0,0.0,0.0,384.0,0.0,0.0,277.0,581.0,858.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412.0,412.0,0.0,83473.0,0.0,83473.0
Mendocino,780.0,1.0,0.0,2979.0,10.0,2.0,3759.0,11.0,2.0,2070.0,5793.0,7863.0,3.0,1.0,30.0,11.0,33.0,12.0,0.0,2.0,2.0,0.0,0.0,0.0,3971.0,3971.0,0.0,799511.0,1071.0,800582.0
Merced,4673.0,26.0,0.0,5818.0,46.0,5.0,10491.0,72.0,5.0,13133.0,16605.0,29738.0,79.0,26.0,164.0,52.0,243.0,78.0,0.0,6.0,6.0,0.0,0.0,0.0,11236.0,11236.0,0.0,2783782.0,5561.0,2789343.0
Modoc,105.0,0.0,0.0,246.0,1.0,0.0,351.0,1.0,0.0,306.0,556.0,862.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,351.0,351.0,0.0,80157.0,3.0,80160.0
Mono,24.0,0.0,0.0,105.0,0.0,0.0,129.0,0.0,0.0,57.0,192.0,249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,138.0,0.0,25407.0,0.0,25407.0
