,PART A.  PARTICIPATION DURING THE MONTH,,,,,,,,,PART A.  PARTICIPATION DURING THE MONTH (Continued),,,,,,,,,PART A.  PARTICIPATION (Continued),,,PART B.  ISSUANCES DURING THE MONTH,,,,,,PART C.  VALUE OF BENEFIT ISSUANCES DURING THE MONTH,,
,Number of Households,,,,,,,,,Number of persons in federal only households,,,Number of federal and state persons in federal/state households,,,,,,Number of persons in state only households,,,,,,,,,,,
,A.  Public Assistance,,,B.  Non-Public Assistance,,,Total,,,,,,A. Public Assistance,,B. Non-Public Assistance,,Total,,,,,,,,,,,,,
,,,,,,,,,,A.,B.,,,,,,,,A.,B.,,,Contracted,Other,,,EBT,,,
,,Federal/,,,Federal/,,,Federal/,,Public,Non-Public,,,,,,,,Public,Non-Public,Total,,Over the,Over the,EBT,,Converted,Federal,State,TOTAL
County,Federal,State,State,Federal,State,State,Federal,State,State,Assistance,Assistance,Total,Federal,State,Federal,State,Federal,State,Assistance,Assistance,,Mail,Counter,Counter,Issuances,Total,to Coupons,Only,Only,ISSUANCES
Data Cell,1.0,2.0,3.0,4.0,5.0,6.0,15.0,16.0,17.0,7.0,8.0,18.0,9.0,10.0,11.0,12.0,19.0,20.0,13.0,14.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0
Statewide,303128.0,4296.0,137.0,1647529.0,19442.0,8497.0,1950657.0,23738.0,8634.0,759478.0,3448096.0,4207574.0,8981.0,5570.0,48261.0,23720.0,57242.0,29290.0,242.0,11208.0,11450.0,0.0,0.0,0.0,2099933.0,2099933.0,0.0,610820985.78,4998346.31,615819332.09
Alameda,9856.0,249.0,8.0,52954.0,1080.0,442.0,62810.0,1329.0,450.0,22777.0,101339.0,124116.0,540.0,291.0,2537.0,1351.0,3077.0,1642.0,8.0,579.0,587.0,0.0,0.0,0.0,64589.0,64589.0,0.0,18638231.0,267070.0,18905301.0
Alpine,3.0,0.0,0.0,92.0,0.0,0.0,95.0,0.0,0.0,7.0,153.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,102.0,0.0,21139.0,0.0,21139.0
Amador,182.0,1.0,0.0,1484.0,2.0,1.0,1666.0,3.0,1.0,460.0,2773.0,3233.0,1.0,2.0,3.0,3.0,4.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,1761.0,1761.0,0.0,459382.0,533.0,459915.0
Butte,1976.0,6.0,0.0,12697.0,37.0,23.0,14673.0,43.0,23.0,4891.0,24942.0,29833.0,11.0,9.0,94.0,41.0,105.0,50.0,0.0,28.0,28.0,0.0,0.0,0.0,15554.0,15554.0,0.0,4225939.0,8674.0,4234613.0
Calaveras,272.0,0.0,0.0,2314.0,7.0,1.0,2586.0,7.0,1.0,689.0,4223.0,4912.0,0.0,0.0,16.0,8.0,16.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,2694.0,2694.0,0.0,690553.0,672.0,691225.0
Colusa,97.0,0.0,0.0,602.0,3.0,1.0,699.0,3.0,1.0,254.0,1402.0,1656.0,0.0,0.0,11.0,4.0,11.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,758.0,758.0,0.0,223522.0,867.0,224389.0
Contra Costa,5515.0,69.0,0.0,27956.0,258.0,101.0,33471.0,327.0,101.0,13137.0,56097.0,69234.0,156.0,78.0,642.0,310.0,798.0,388.0,0.0,143.0,143.0,0.0,0.0,0.0,36332.0,36332.0,0.0,10337880.0,66636.0,10404516.0
Del Norte,424.0,1.0,0.0,2059.0,6.0,3.0,2483.0,7.0,3.0,1116.0,3933.0,5049.0,2.0,1.0,21.0,7.0,23.0,8.0,0.0,3.0,3.0,0.0,0.0,0.0,2594.0,2594.0,0.0,706970.9,952.0,707922.9
El Dorado,563.0,0.0,0.0,5703.0,24.0,10.0,6266.0,24.0,10.0,1395.0,10064.0,11459.0,0.0,0.0,66.0,27.0,66.0,27.0,0.0,13.0,13.0,0.0,0.0,0.0,6689.0,6689.0,0.0,1664246.0,4599.0,1668845.0
Fresno,15154.0,157.0,5.0,77292.0,511.0,125.0,92446.0,668.0,130.0,40837.0,180136.0,220973.0,405.0,171.0,1447.0,577.0,1852.0,748.0,7.0,151.0,158.0,0.0,0.0,0.0,98259.0,98259.0,0.0,31401932.0,118674.0,31520606.0
Glenn,219.0,2.0,0.0,1182.0,6.0,0.0,1401.0,8.0,0.0,585.0,2830.0,3415.0,14.0,2.0,20.0,8.0,34.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1510.0,1510.0,0.0,444878.0,563.0,445441.0
Humboldt,1002.0,2.0,1.0,7931.0,10.0,4.0,8933.0,12.0,5.0,2429.0,14186.0,16615.0,3.0,3.0,29.0,11.0,32.0,14.0,1.0,5.0,6.0,0.0,0.0,0.0,9804.0,9804.0,0.0,2422958.0,1973.0,2424931.0
Imperial,2175.0,21.0,0.0,12540.0,319.0,35.0,14715.0,340.0,35.0,6007.0,31177.0,37184.0,44.0,22.0,902.0,338.0,946.0,360.0,0.0,40.0,40.0,0.0,0.0,0.0,15906.0,15906.0,0.0,5109351.0,48122.0,5157473.0
Inyo,108.0,0.0,0.0,896.0,5.0,1.0,1004.0,5.0,1.0,306.0,1716.0,2022.0,0.0,0.0,14.0,8.0,14.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,1048.0,1048.0,0.0,264490.0,823.0,265313.0
Kern ,11140.0,42.0,2.0,47756.0,359.0,144.0,58896.0,401.0,146.0,30402.0,112015.0,142417.0,98.0,47.0,1054.0,401.0,1152.0,448.0,2.0,181.0,183.0,0.0,0.0,0.0,62682.0,62682.0,0.0,19959915.0,91836.0,20051751.0
Kings,1539.0,11.0,0.0,8150.0,77.0,19.0,9689.0,88.0,19.0,4129.0,18646.0,22775.0,24.0,11.0,242.0,83.0,266.0,94.0,0.0,25.0,25.0,0.0,0.0,0.0,10345.0,10345.0,0.0,3094888.0,15015.0,3109903.0
Lake,627.0,4.0,0.0,4511.0,11.0,11.0,5138.0,15.0,11.0,1588.0,8736.0,10324.0,13.0,4.0,24.0,12.0,37.0,16.0,0.0,12.0,12.0,0.0,0.0,0.0,5561.0,5561.0,0.0,1505525.0,3576.0,1509101.0
Lassen,273.0,1.0,0.0,1180.0,0.0,0.0,1453.0,1.0,0.0,707.0,2343.0,3050.0,4.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1550.0,1550.0,0.0,445941.0,106.0,446047.0
Los Angeles,87647.0,1940.0,80.0,466748.0,5751.0,3172.0,554395.0,7691.0,3252.0,199320.0,937644.0,1136964.0,3711.0,2684.0,13786.0,7120.0,17497.0,9804.0,173.0,4064.0,4237.0,0.0,0.0,0.0,613584.0,613584.0,0.0,172671079.0,1811492.0,174482571.0
Madera,1910.0,7.0,1.0,8716.0,51.0,3.0,10626.0,58.0,4.0,5107.0,21670.0,26777.0,16.0,7.0,159.0,60.0,175.0,67.0,1.0,3.0,4.0,0.0,0.0,0.0,7973.0,7973.0,0.0,3687856.0,6426.0,3694282.0
Marin,715.0,45.0,2.0,4908.0,136.0,24.0,5623.0,181.0,26.0,1536.0,7676.0,9212.0,98.0,48.0,297.0,163.0,395.0,211.0,2.0,33.0,35.0,0.0,0.0,0.0,6078.0,6078.0,0.0,1446993.0,24365.0,1471358.0
Mariposa,132.0,0.0,0.0,851.0,3.0,0.0,983.0,3.0,0.0,375.0,1605.0,1980.0,0.0,0.0,6.0,3.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1056.0,1056.0,0.0,275597.0,225.0,275822.0
Mendocino,859.0,4.0,0.0,6217.0,23.0,11.0,7076.0,27.0,11.0,2135.0,10910.0,13045.0,10.0,4.0,68.0,27.0,78.0,31.0,0.0,13.0,13.0,0.0,0.0,0.0,7397.0,7397.0,0.0,1919761.0,5970.0,1925731.0
Merced,4636.0,18.0,1.0,18051.0,75.0,8.0,22687.0,93.0,9.0,12663.0,41583.0,54246.0,47.0,18.0,230.0,84.0,277.0,102.0,1.0,9.0,10.0,0.0,0.0,0.0,23860.0,23860.0,0.0,7597954.0,10473.0,7608427.0
Modoc,60.0,0.0,0.0,357.0,1.0,0.0,417.0,1.0,0.0,160.0,781.0,941.0,0.0,0.0,5.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,449.0,449.0,0.0,122439.0,158.0,122597.0
Mono,20.0,0.0,0.0,388.0,0.0,0.0,408.0,0.0,0.0,46.0,621.0,667.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,464.0,464.0,0.0,96135.0,0.0,96135.0
