,PART A.  PARTICIPATION DURING THE MONTH,,,,,,,,,"PART A.  PARTICIPATION DURING THE MONTH, Cont'd",,,,,,,,,"PART A.  PARTICIPATION, Cont'd",,,PART B.  ISSUANCES DURING THE MONTH,,,,,,PART C.  VALUE OF BENEFIT ISSUANCES DURING THE MONTH,,
,Number of Households,,,,,,,,,Number of persons in federal only households,,,Number of federal and state persons in federal/state households,,,,,,Number of persons in state only households,,,,,,,,,,,
,A.  Public Assistance,,,B.  Non-Public Assistance,,,Total,,,,,,A. Public Assistance,,B. Non-Public Assistance,,Total,,,,,,,,,,,,,
,,,,,,,,,,A.,B.,,,,,,,,A.,B.,,,Contracted,Other,,,EBT,,,
,,Federal/,,,Federal/,,,Federal/,,Public,Non-Public,,,,,,,,Public,Non-Public,Total,,Over the,Over the,EBT,,Converted,Federal,State,TOTAL
County,Federal,State,State,Federal,State,State,Federal,State,State,Assistance,Assistance,Total,Federal,State,Federal,State,Federal,State,Assistance,Assistance,,Mail,Counter,Counter,Issuances,Total,to Coupons,Only,Only,ISSUANCES
Data Cell,1.0,2.0,3.0,4.0,5.0,6.0,15.0,16.0,17.0,7.0,8.0,18.0,9.0,10.0,11.0,12.0,19.0,20.0,13.0,14.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0
Statewide,343856.0,5276.0,75.0,1161272.0,17042.0,6897.0,1505128.0,22318.0,6972.0,879553.0,2564431.0,3443984.0,11901.0,6587.0,45888.0,20126.0,57789.0,26713.0,105.0,8965.0,9070.0,0.0,0.0,0.0,2223365.0,2223365.0,0.0,517266172.56,4368537.17,521634709.73
Alameda,11882.0,314.0,2.0,37708.0,790.0,326.0,49590.0,1104.0,328.0,28011.0,75102.0,103113.0,697.0,363.0,1988.0,997.0,2685.0,1360.0,2.0,426.0,428.0,0.0,0.0,0.0,51022.0,51022.0,0.0,16009739.0,222439.0,16232178.0
Alpine,5.0,0.0,0.0,73.0,0.0,0.0,78.0,0.0,0.0,10.0,139.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,101.0,0.0,20141.0,0.0,20141.0
Amador,278.0,0.0,0.0,1007.0,1.0,0.0,1285.0,1.0,0.0,736.0,1922.0,2658.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1627.0,1627.0,0.0,399648.0,0.0,399648.0
Butte,2194.0,6.0,0.0,9550.0,48.0,25.0,11744.0,54.0,25.0,5626.0,19686.0,25312.0,15.0,6.0,138.0,48.0,153.0,54.0,0.0,51.0,51.0,0.0,0.0,0.0,15206.0,15206.0,0.0,3788945.0,12342.0,3801287.0
Calaveras,400.0,1.0,0.0,1621.0,5.0,0.0,2021.0,6.0,0.0,1119.0,3171.0,4290.0,1.0,1.0,14.0,7.0,15.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2561.0,2561.0,0.0,636805.0,717.0,637522.0
Colusa,112.0,3.0,0.0,418.0,7.0,2.0,530.0,10.0,2.0,309.0,1083.0,1392.0,9.0,3.0,22.0,8.0,31.0,11.0,0.0,2.0,2.0,0.0,0.0,0.0,747.0,747.0,0.0,202145.0,811.0,202956.0
Contra Costa,6673.0,78.0,1.0,21067.0,247.0,70.0,27740.0,325.0,71.0,16179.0,43554.0,59733.0,175.0,91.0,638.0,317.0,813.0,408.0,2.0,96.0,98.0,0.0,0.0,0.0,30989.0,30989.0,0.0,9128502.96,58089.94,9186592.9
Del Norte,545.0,0.0,0.0,1783.0,5.0,20.0,2328.0,5.0,20.0,1486.0,3448.0,4934.0,0.0,0.0,10.0,5.0,10.0,5.0,0.0,52.0,52.0,0.0,0.0,0.0,2971.0,2971.0,0.0,723793.0,2601.0,726394.0
El Dorado,762.0,8.0,0.0,4156.0,18.0,4.0,4918.0,26.0,4.0,1982.0,8080.0,10062.0,18.0,8.0,43.0,21.0,61.0,29.0,0.0,5.0,5.0,0.0,0.0,0.0,6296.0,6296.0,0.0,1506370.0,4678.0,1511048.0
Fresno,17549.0,81.0,0.0,60970.0,421.0,97.0,78519.0,502.0,97.0,47548.0,146101.0,193649.0,206.0,89.0,1210.0,461.0,1416.0,550.0,0.0,121.0,121.0,0.0,0.0,0.0,86161.0,86161.0,0.0,28514776.0,80574.43,28595350.43
Glenn,318.0,2.0,0.0,860.0,8.0,1.0,1178.0,10.0,1.0,868.0,2177.0,3045.0,7.0,2.0,23.0,8.0,30.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,1621.0,1621.0,0.0,427465.0,939.0,428404.0
Humboldt,1249.0,2.0,0.0,6295.0,8.0,3.0,7544.0,10.0,3.0,3105.0,11308.0,14413.0,3.0,3.0,18.0,9.0,21.0,12.0,0.0,3.0,3.0,0.0,0.0,0.0,9003.0,9003.0,0.0,2070603.0,2700.0,2073303.0
Imperial,2793.0,46.0,0.0,9439.0,243.0,40.0,12232.0,289.0,40.0,8156.0,24217.0,32373.0,111.0,47.0,703.0,258.0,814.0,305.0,0.0,43.0,43.0,0.0,0.0,0.0,17177.0,17177.0,0.0,4648023.0,41305.0,4689328.0
Inyo,152.0,0.0,0.0,682.0,4.0,0.0,834.0,4.0,0.0,435.0,1288.0,1723.0,0.0,0.0,19.0,5.0,19.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1092.0,1092.0,0.0,240920.0,392.0,241312.0
Kern ,12679.0,66.0,1.0,36761.0,285.0,98.0,49440.0,351.0,99.0,35177.0,90567.0,125744.0,163.0,73.0,824.0,311.0,987.0,384.0,1.0,179.0,180.0,0.0,0.0,0.0,63456.0,63456.0,0.0,18159148.0,70743.0,18229891.0
Kings,1873.0,12.0,0.0,6484.0,69.0,30.0,8357.0,81.0,30.0,5149.0,15372.0,20521.0,38.0,12.0,214.0,77.0,252.0,89.0,0.0,30.0,30.0,0.0,0.0,0.0,11105.0,11105.0,0.0,2893286.0,15244.0,2908530.0
Lake,825.0,4.0,0.0,3189.0,17.0,6.0,4014.0,21.0,6.0,2234.0,6340.0,8574.0,10.0,4.0,47.0,17.0,57.0,21.0,0.0,7.0,7.0,0.0,0.0,0.0,5268.0,5268.0,0.0,1308464.0,3390.0,1311854.0
Lassen,313.0,2.0,0.0,1011.0,4.0,1.0,1324.0,6.0,1.0,849.0,2066.0,2915.0,4.0,2.0,12.0,4.0,16.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,1711.0,1711.0,0.0,433111.0,697.0,433808.0
Los Angeles  a/,94818.0,1915.0,29.0,337053.0,5430.0,2440.0,431871.0,7345.0,2469.0,221093.0,709872.0,930965.0,3932.0,2478.0,14313.0,6467.0,18245.0,8945.0,33.0,3021.0,3054.0,0.0,0.0,0.0,955356.0,955356.0,0.0,145077864.0,1526291.0,146604155.0
Madera,2043.0,5.0,0.0,6699.0,62.0,5.0,8742.0,67.0,5.0,5561.0,17231.0,22792.0,10.0,5.0,197.0,67.0,207.0,72.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,3305594.0,8872.0,3314466.0
Marin,926.0,22.0,2.0,3748.0,39.0,23.0,4674.0,61.0,25.0,2016.0,5862.0,7878.0,50.0,25.0,86.0,43.0,136.0,68.0,2.0,29.0,31.0,0.0,0.0,0.0,5892.0,5892.0,0.0,1247965.0,12429.0,1260394.0
Mariposa,164.0,0.0,0.0,516.0,1.0,0.0,680.0,1.0,0.0,476.0,1022.0,1498.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,958.0,958.0,0.0,218918.0,200.0,219118.0
Mendocino,987.0,3.0,0.0,5005.0,26.0,7.0,5992.0,29.0,7.0,2514.0,9411.0,11925.0,8.0,3.0,67.0,29.0,75.0,32.0,0.0,11.0,11.0,0.0,0.0,0.0,7458.0,7458.0,0.0,1747112.0,5058.0,1752170.0
Merced,5172.0,17.0,1.0,13063.0,89.0,3.0,18235.0,106.0,4.0,14318.0,32453.0,46771.0,48.0,18.0,293.0,99.0,341.0,117.0,1.0,3.0,4.0,0.0,0.0,0.0,23465.0,23465.0,0.0,6696721.0,12558.0,6709279.0
Modoc,92.0,0.0,0.0,335.0,0.0,0.0,427.0,0.0,0.0,251.0,793.0,1044.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,427.0,427.0,0.0,142277.0,0.0,142277.0
Mono,31.0,0.0,0.0,296.0,0.0,0.0,327.0,0.0,0.0,75.0,444.0,519.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444.0,444.0,0.0,79963.0,0.0,79963.0
