,PART A.  PARTICIPATION DURING THE MONTH,,,,,,,,,PART A.  PARTICIPATION DURING THE MONTH (Continued),,,,,,,,,PART A.  PARTICIPATION (Continued),,,PART B.  ISSUANCES DURING THE MONTH,,,,,,PART C.  VALUE OF BENEFIT ISSUANCES DURING THE MONTH,,,CDSS Use Only:
,Number of Households,,,,,,,,,Number of persons in federal only households,,,Number of federal and state persons in federal/state households,,,,,,Number of persons in state only households,,,,,,,,,,,,1272961456.0
,A.  Public Assistance,,,B.  Non-Public Assistance,,,Total,,,,,,A. Public Assistance,,B. Non-Public Assistance,,Total,,,,,,,,,,,,,,
,,,,,,,,,,A.,B.,,,,,,,,A.,B.,,,Contracted,Other,,,EBT,,,,
,,Federal/,,,Federal/,,,Federal/,,Public,Non-Public,,,,,,,,Public,Non-Public,Total,,Over the,Over the,EBT,,Converted,Federal,State,TOTAL,
County,Federal,State,State,Federal,State,State,Federal,State,State,Assistance,Assistance,Total,Federal,State,Federal,State,Federal,State,Assistance,Assistance,,Mail,Counter,Counter,Issuances,Total,to Coupons,Only,Only,ISSUANCES,
Lassen,318.0,1.0,0.0,1217.0,0.0,0.0,1535.0,1.0,0.0,810.0,2353.0,3163.0,4.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1646.0,1646.0,0.0,447149.0,53.0,447202.0,
Los Angeles,84814.0,2041.0,73.0,489174.0,6025.0,3569.0,573988.0,8066.0,3642.0,192950.0,967342.0,1160292.0,3918.0,2808.0,14136.0,7564.0,18054.0,10372.0,149.0,4586.0,4735.0,0.0,0.0,0.0,661717.0,661717.0,0.0,176497690.0,2257238.0,178754928.0,
Madera,1994.0,5.0,1.0,9455.0,47.0,5.0,11449.0,52.0,6.0,5427.0,23228.0,28655.0,13.0,5.0,151.0,54.0,164.0,59.0,1.0,6.0,7.0,0.0,0.0,0.0,8573.0,8573.0,0.0,3855220.0,5649.0,3860869.0,
Marin,724.0,40.0,0.0,5222.0,179.0,51.0,5946.0,219.0,51.0,1560.0,8052.0,9612.0,77.0,42.0,374.0,223.0,451.0,265.0,0.0,69.0,69.0,0.0,0.0,0.0,6538.0,6538.0,0.0,1492909.0,30760.0,1523669.0,
Mariposa,134.0,0.0,0.0,870.0,1.0,0.0,1004.0,1.0,0.0,351.0,1620.0,1971.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1086.0,1086.0,0.0,277432.0,150.0,277582.0,
Mendocino,846.0,4.0,0.0,6680.0,28.0,11.0,7526.0,32.0,11.0,2103.0,11761.0,13864.0,13.0,4.0,82.0,32.0,95.0,36.0,0.0,12.0,12.0,0.0,0.0,0.0,7958.0,7958.0,0.0,2002059.0,5853.0,2007912.0,
Merced,4688.0,23.0,0.0,19582.0,71.0,6.0,24270.0,94.0,6.0,12890.0,44492.0,57382.0,55.0,23.0,188.0,78.0,243.0,101.0,0.0,7.0,7.0,0.0,0.0,0.0,25675.0,25675.0,0.0,7854889.0,11824.0,7866713.0,
Modoc,69.0,0.0,0.0,398.0,0.0,0.0,467.0,0.0,0.0,175.0,826.0,1001.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485.0,485.0,0.0,129427.0,0.0,129427.0,
Mono,15.0,0.0,0.0,504.0,3.0,0.0,519.0,3.0,0.0,35.0,811.0,846.0,0.0,0.0,6.0,3.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,551.0,551.0,0.0,120880.0,218.0,121098.0,
Monterey,3075.0,25.0,1.0,18482.0,151.0,24.0,21557.0,176.0,25.0,7757.0,40654.0,48411.0,60.0,30.0,416.0,182.0,476.0,212.0,1.0,32.0,33.0,0.0,0.0,0.0,23021.0,23021.0,0.0,6572658.0,21632.0,6594290.0,
