,PART A.  PARTICIPATION DURING THE MONTH,,,,,,,,,PART A.  PARTICIPATION DURING THE MONTH (Continued),,,,,,,,,PART A.  PARTICIPATION (Continued),,,PART B.  ISSUANCES DURING THE MONTH,,,,,,PART C.  VALUE OF BENEFIT ISSUANCES DURING THE MONTH,,
,Number of Households,,,,,,,,,Number of persons in federal only households,,,Number of federal and state persons in federal/state households,,,,,,Number of persons in state only households,,,,,,,,,,,
,A.  Public Assistance,,,B.  Non-Public Assistance,,,Total,,,,,,A. Public Assistance,,B. Non-Public Assistance,,Total,,,,,,,,,,,,,
,,,,,,,,,,A.,B.,,,,,,,,A.,B.,,,Contracted,Other,,,EBT,,,
,,Federal/,,,Federal/,,,Federal/,,Public,Non-Public,,,,,,,,Public,Non-Public,Total,,Over the,Over the,EBT,,Converted,Federal,State,TOTAL
County,Federal,State,State,Federal,State,State,Federal,State,State,Assistance,Assistance,Total,Federal,State,Federal,State,Federal,State,Assistance,Assistance,,Mail,Counter,Counter,Issuances,Total,to Coupons,Only,Only,ISSUANCES
Data Cell,1.0,2.0,3.0,4.0,5.0,6.0,15.0,16.0,17.0,7.0,8.0,18.0,9.0,10.0,11.0,12.0,19.0,20.0,13.0,14.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0
Statewide,307850.0,4170.0,111.0,1591788.0,18783.0,8071.0,1899638.0,22953.0,8182.0,767995.0,3343514.0,4111509.0,8835.0,5392.0,47158.0,22931.0,55993.0,28323.0,208.0,10636.0,10844.0,0.0,0.0,0.0,2636903.0,2636903.0,0.0,637095544.16,5096725.28,642192269.44
Alameda,9937.0,257.0,3.0,51267.0,1026.0,418.0,61204.0,1283.0,421.0,22948.0,97962.0,120910.0,560.0,297.0,2462.0,1299.0,3022.0,1596.0,3.0,541.0,544.0,0.0,0.0,0.0,62908.0,62908.0,0.0,19547328.0,272339.0,19819667.0
Alpine,5.0,0.0,0.0,87.0,0.0,0.0,92.0,0.0,0.0,13.0,157.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,99.0,0.0,24827.0,0.0,24827.0
Amador,167.0,0.0,0.0,1547.0,5.0,1.0,1714.0,5.0,1.0,426.0,2875.0,3301.0,0.0,0.0,6.0,6.0,6.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,1804.0,1804.0,0.0,496735.0,658.0,497393.0
Butte,2064.0,10.0,0.0,12432.0,42.0,15.0,14496.0,52.0,15.0,5147.0,24579.0,29726.0,25.0,10.0,111.0,46.0,136.0,56.0,0.0,16.0,16.0,0.0,0.0,0.0,15409.0,15409.0,0.0,4429227.0,8710.0,4437937.0
Calaveras,302.0,0.0,0.0,2240.0,6.0,1.0,2542.0,6.0,1.0,791.0,4131.0,4922.0,0.0,0.0,19.0,6.0,19.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,2663.0,2663.0,0.0,744653.0,623.0,745276.0
Colusa,107.0,1.0,0.0,598.0,6.0,3.0,705.0,7.0,3.0,287.0,1433.0,1720.0,4.0,1.0,17.0,7.0,21.0,8.0,0.0,5.0,5.0,0.0,0.0,0.0,760.0,760.0,0.0,235620.0,1591.0,237211.0
Contra Costa,5711.0,64.0,0.0,26706.0,261.0,93.0,32417.0,325.0,93.0,13540.0,53383.0,66923.0,162.0,77.0,636.0,318.0,798.0,395.0,0.0,130.0,130.0,0.0,0.0,0.0,35447.0,35447.0,0.0,10648070.0,66054.0,10714124.0
Del Norte,433.0,0.0,0.0,2074.0,2.0,6.0,2507.0,2.0,6.0,1120.0,3976.0,5096.0,0.0,0.0,7.0,2.0,7.0,2.0,0.0,7.0,7.0,0.0,0.0,0.0,2657.0,2657.0,0.0,760433.25,1623.0,762056.25
El Dorado,592.0,0.0,0.0,5772.0,23.0,14.0,6364.0,23.0,14.0,1490.0,10178.0,11668.0,0.0,0.0,67.0,24.0,67.0,24.0,0.0,18.0,18.0,0.0,0.0,0.0,6800.0,6800.0,0.0,1805555.0,5861.0,1811416.0
Fresno,15733.0,123.0,1.0,74599.0,513.0,104.0,90332.0,636.0,105.0,42080.0,174133.0,216213.0,316.0,131.0,1489.0,590.0,1805.0,721.0,1.0,137.0,138.0,0.0,0.0,0.0,96309.0,96309.0,0.0,32622588.0,107572.0,32730160.0
Glenn,244.0,2.0,0.0,1199.0,13.0,0.0,1443.0,15.0,0.0,659.0,2861.0,3520.0,14.0,2.0,42.0,16.0,56.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,1583.0,1583.0,0.0,495291.0,1306.0,496597.0
Humboldt,1005.0,2.0,0.0,7584.0,12.0,7.0,8589.0,14.0,7.0,2461.0,13630.0,16091.0,4.0,3.0,29.0,15.0,33.0,18.0,0.0,10.0,10.0,0.0,0.0,0.0,9219.0,9219.0,0.0,2461747.0,3191.0,2464938.0
Imperial,2093.0,18.0,1.0,11910.0,282.0,32.0,14003.0,300.0,33.0,5852.0,29649.0,35501.0,41.0,18.0,814.0,305.0,855.0,323.0,1.0,38.0,39.0,0.0,0.0,0.0,15163.0,15163.0,0.0,5127940.0,38997.0,5166937.0
Inyo,124.0,1.0,0.0,920.0,9.0,0.0,1044.0,10.0,0.0,340.0,1736.0,2076.0,2.0,2.0,23.0,11.0,25.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1101.0,1101.0,0.0,291678.0,1236.0,292914.0
Kern ,11617.0,27.0,5.0,47327.0,368.0,139.0,58944.0,395.0,144.0,31519.0,111405.0,142924.0,70.0,32.0,1076.0,417.0,1146.0,449.0,6.0,175.0,181.0,0.0,0.0,0.0,62898.0,62898.0,0.0,21364567.0,92204.0,21456771.0
Kings,1609.0,9.0,0.0,8271.0,86.0,27.0,9880.0,95.0,27.0,4327.0,18991.0,23318.0,26.0,9.0,242.0,97.0,268.0,106.0,0.0,35.0,35.0,0.0,0.0,0.0,10558.0,10558.0,0.0,3330783.0,17303.0,3348086.0
Lake,639.0,1.0,0.0,4562.0,12.0,8.0,5201.0,13.0,8.0,1641.0,8731.0,10372.0,2.0,1.0,31.0,12.0,33.0,13.0,0.0,10.0,10.0,0.0,0.0,0.0,5650.0,5650.0,0.0,1588652.0,3370.0,1592022.0
Lassen,261.0,0.0,0.0,1171.0,1.0,0.0,1432.0,1.0,0.0,720.0,2253.0,2973.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1509.0,1509.0,0.0,453665.0,0.0,453665.0
Los Angeles,88852.0,1841.0,65.0,451050.0,5421.0,2891.0,539902.0,7262.0,2956.0,200744.0,905224.0,1105968.0,3532.0,2539.0,13025.0,6754.0,16557.0,9293.0,150.0,3716.0,3866.0,0.0,0.0,0.0,1163107.0,1163107.0,0.0,179472976.0,1828152.0,181301128.0
Madera,2118.0,6.0,1.0,8455.0,45.0,5.0,10573.0,51.0,6.0,5545.0,21210.0,26755.0,11.0,6.0,152.0,53.0,163.0,59.0,1.0,6.0,7.0,0.0,0.0,0.0,7037.0,7037.0,0.0,3920190.0,6274.0,3926464.0
Marin,751.0,47.0,2.0,4731.0,129.0,39.0,5482.0,176.0,41.0,1595.0,7426.0,9021.0,108.0,50.0,281.0,156.0,389.0,206.0,2.0,56.0,58.0,0.0,0.0,0.0,6062.0,6062.0,0.0,1498004.0,29217.0,1527221.0
Mariposa,121.0,0.0,0.0,789.0,1.0,0.0,910.0,1.0,0.0,326.0,1498.0,1824.0,0.0,0.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,969.0,969.0,0.0,273771.0,0.0,273771.0
Mendocino,867.0,2.0,1.0,6011.0,28.0,11.0,6878.0,30.0,12.0,2210.0,10843.0,13053.0,6.0,2.0,88.0,33.0,94.0,35.0,1.0,15.0,16.0,0.0,0.0,0.0,7312.0,7312.0,0.0,2028246.0,6596.0,2034842.0
Merced,4920.0,18.0,1.0,17913.0,85.0,11.0,22833.0,103.0,12.0,13344.0,41973.0,55317.0,39.0,19.0,269.0,94.0,308.0,113.0,1.0,14.0,15.0,0.0,0.0,0.0,23890.0,23890.0,0.0,8169040.0,13497.0,8182537.0
Modoc,73.0,0.0,0.0,338.0,0.0,0.0,411.0,0.0,0.0,197.0,726.0,923.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0,436.0,0.0,129408.0,227.0,129635.0
Mono,21.0,0.0,0.0,382.0,1.0,0.0,403.0,1.0,0.0,53.0,602.0,655.0,0.0,0.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,449.0,449.0,0.0,103017.0,0.0,103017.0
