,PART A.  PARTICIPATION DURING THE MONTH,,,,,,,,,PART A.  PARTICIPATION DURING THE MONTH (Continued),,,,,,,,,PART A.  PARTICIPATION (Continued),,,PART B.  ISSUANCES DURING THE MONTH,,,,,,PART C.  VALUE OF BENEFIT ISSUANCES DURING THE MONTH,,
,Number of Households,,,,,,,,,Number of persons in federal only households,,,Number of federal and state persons in federal/state households,,,,,,Number of persons in state only households,,,,,,,,,,,
,A.  Public Assistance,,,B.  Non-Public Assistance,,,Total,,,,,,A. Public Assistance,,B. Non-Public Assistance,,Total,,,,,,,,,,,,,
,,,,,,,,,,A.,B.,,,,,,,,A.,B.,,,Contracted,Other,,,EBT,,,
,,Federal/,,,Federal/,,,Federal/,,Public,Non-Public,,,,,,,,Public,Non-Public,Total,,Over the,Over the,EBT,,Converted,Federal,State,TOTAL
County,Federal,State,State,Federal,State,State,Federal,State,State,Assistance,Assistance,Total,Federal,State,Federal,State,Federal,State,Assistance,Assistance,,Mail,Counter,Counter,Issuances,Total,to Coupons,Only,Only,ISSUANCES
Lassen,259.0,0.0,0.0,1109.0,4.0,1.0,1368.0,4.0,1.0,668.0,2245.0,2913.0,0.0,0.0,13.0,4.0,13.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1492.0,1492.0,0.0,440587.0,693.0,441280.0
Los Angeles,94063.0,1712.0,39.0,391365.0,5180.0,2653.0,485428.0,6892.0,2692.0,215919.0,814504.0,1030423.0,3345.0,2308.0,13182.0,6235.0,16527.0,8543.0,60.0,3409.0,3469.0,0.0,0.0,0.0,1063468.0,1063468.0,0.0,162909671.0,1650283.0,164559954.0
Madera,2114.0,8.0,1.0,8108.0,51.0,2.0,10222.0,59.0,3.0,5624.0,20303.0,25927.0,14.0,9.0,159.0,59.0,173.0,68.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3782060.0,9463.0,3791523.0
Marin,830.0,35.0,6.0,4349.0,73.0,32.0,5179.0,108.0,38.0,1760.0,6784.0,8544.0,79.0,41.0,156.0,89.0,235.0,130.0,6.0,42.0,48.0,0.0,0.0,0.0,5604.0,5604.0,0.0,1385153.0,25132.0,1410285.0
Mariposa,130.0,0.0,0.0,695.0,1.0,0.0,825.0,1.0,0.0,343.0,1382.0,1725.0,0.0,0.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,889.0,889.0,0.0,257352.0,125.0,257477.0
Mendocino,875.0,5.0,0.0,5955.0,29.0,8.0,6830.0,34.0,8.0,2213.0,11096.0,13309.0,14.0,5.0,83.0,32.0,97.0,37.0,0.0,11.0,11.0,0.0,0.0,0.0,7223.0,7223.0,0.0,1967109.0,6473.0,1973582.0
Merced,5009.0,19.0,1.0,16132.0,82.0,9.0,21141.0,101.0,10.0,13732.0,38612.0,52344.0,49.0,20.0,258.0,90.0,307.0,110.0,1.0,9.0,10.0,0.0,0.0,0.0,22632.0,22632.0,0.0,7671554.0,15564.0,7687118.0
Modoc,78.0,0.0,0.0,347.0,0.0,0.0,425.0,0.0,0.0,205.0,816.0,1021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,459.0,459.0,0.0,138198.0,0.0,138198.0
Mono,22.0,0.0,0.0,402.0,2.0,0.0,424.0,2.0,0.0,52.0,636.0,688.0,0.0,0.0,8.0,2.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,457.0,457.0,0.0,104908.0,289.0,105197.0
Monterey,4680.0,17.0,0.0,14444.0,134.0,18.0,19124.0,151.0,18.0,11356.0,32820.0,44176.0,44.0,22.0,409.0,147.0,453.0,169.0,0.0,21.0,21.0,0.0,0.0,0.0,21499.0,21499.0,0.0,6620735.0,23919.0,6644654.0
Napa,514.0,7.0,2.0,2718.0,38.0,7.0,3232.0,45.0,9.0,1260.0,5626.0,6886.0,17.0,8.0,111.0,41.0,128.0,49.0,2.0,8.0,10.0,0.0,0.0,0.0,3665.0,3665.0,0.0,1031223.0,6827.0,1038050.0
Nevada,462.0,2.0,0.0,2852.0,9.0,2.0,3314.0,11.0,2.0,1182.0,5290.0,6472.0,4.0,2.0,19.0,10.0,23.0,12.0,0.0,2.0,2.0,0.0,0.0,0.0,3566.0,3566.0,0.0,996714.0,1902.0,998616.0
Orange,14154.0,182.0,2.0,76107.0,1799.0,654.0,90261.0,1981.0,656.0,35789.0,166094.0,201883.0,410.0,238.0,4266.0,2256.0,4676.0,2494.0,3.0,868.0,871.0,0.0,0.0,0.0,98970.0,98970.0,0.0,29716005.0,373225.0,30089230.0
Placer,1054.0,10.0,0.0,6849.0,49.0,27.0,7903.0,59.0,27.0,2775.0,14860.0,17635.0,28.0,15.0,127.0,61.0,155.0,76.0,0.0,34.0,34.0,0.0,0.0,0.0,8559.0,8559.0,0.0,2524786.47,13221.0,2538007.47
Plumas,119.0,0.0,0.0,569.0,0.0,0.0,688.0,0.0,0.0,304.0,1260.0,1564.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,729.0,729.0,0.0,228333.0,0.0,228333.0
Riverside,20334.0,201.0,4.0,82334.0,1325.0,267.0,102668.0,1526.0,271.0,55834.0,197414.0,253248.0,534.0,224.0,3995.0,1469.0,4529.0,1693.0,5.0,323.0,328.0,0.0,0.0,0.0,110790.0,110790.0,0.0,36866901.0,264443.0,37131344.0
Sacramento,17811.0,444.0,6.0,68046.0,926.0,369.0,85857.0,1370.0,375.0,44810.0,149420.0,194230.0,1004.0,669.0,2393.0,1210.0,3397.0,1879.0,6.0,499.0,505.0,0.0,0.0,0.0,93900.0,93900.0,0.0,30464883.88,312302.88,30777186.76
San Benito,494.0,5.0,0.0,2104.0,35.0,6.0,2598.0,40.0,6.0,1314.0,4725.0,6039.0,13.0,5.0,104.0,43.0,117.0,48.0,0.0,7.0,7.0,0.0,0.0,0.0,2833.0,2833.0,0.0,884350.0,5937.0,890287.0
San Bernardino,28762.0,167.0,4.0,112826.0,970.0,292.0,141588.0,1137.0,296.0,77668.0,264254.0,341922.0,436.0,188.0,2726.0,1090.0,3162.0,1278.0,5.0,377.0,382.0,0.0,0.0,0.0,151102.0,151102.0,0.0,50585079.0,215934.0,50801013.0
San Diego  a/,18536.0,427.0,3.0,86669.0,1763.0,681.0,105205.0,2190.0,684.0,50200.0,181552.0,231752.0,1009.0,567.0,4561.0,2029.0,5570.0,2596.0,3.0,850.0,853.0,0.0,0.0,0.0,117720.0,117720.0,0.0,35356761.33,425437.36,35782198.69
San Francisco,3026.0,174.0,3.0,28358.0,586.0,652.0,31384.0,760.0,655.0,6543.0,41037.0,47580.0,315.0,202.0,1092.0,817.0,1407.0,1019.0,3.0,896.0,899.0,0.0,0.0,0.0,34493.0,34493.0,0.0,7570917.04,245883.82,7816800.86
San Joaquin,9892.0,81.0,1.0,31362.0,482.0,101.0,41254.0,563.0,102.0,25362.0,76943.0,102305.0,211.0,90.0,1384.0,580.0,1595.0,670.0,2.0,153.0,155.0,0.0,0.0,0.0,44654.0,44654.0,0.0,15420961.0,108247.0,15529208.0
San Luis Obispo,1308.0,6.0,0.0,7622.0,51.0,16.0,8930.0,57.0,16.0,3269.0,14175.0,17444.0,14.0,6.0,140.0,56.0,154.0,62.0,0.0,19.0,19.0,0.0,0.0,0.0,10484.0,10484.0,0.0,2561076.0,7763.0,2568839.0
San Mateo,2083.0,55.0,0.0,9982.0,331.0,105.0,12065.0,386.0,105.0,5267.0,19497.0,24764.0,117.0,64.0,816.0,384.0,933.0,448.0,0.0,130.0,130.0,0.0,0.0,0.0,13957.0,13957.0,0.0,3813260.12,67097.88,3880358.0
