,1.  TOTAL PARTICIPATION,,,,,,,,,"1.  TOTAL PARTICIPATION, Cont'd",,,,,,,,,"1.  TOTAL PARTICIPATION, Cont'd",,,2. TOTAL ISSUANCES,,,,3.  VALUE OF DOCUMENTED COUPON ISSUANCES,,,,,,
,1.a. Number of households,,,,,,,,,1.b. Number of persons in federal ,,,1.c. Number of federal and state persons in Federal/State households,,,,,,1.d. Number of persons in state,,,,,,,,,,,,,
,,,,,,,,,,only households,,,,,,,,,only households,,,,,,,,,,,,,
,A. Public Assistance,,,B. Non-Public Assistance,,,C. Total (A+B),,,A.,B.,C.,A. Public Assistance,,B. Non-Public Assistance,,C. Total (A+B),,A.,B.,C.,A.,B.,C.,D.,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Contracted,Other,,,,,,Total,Total,
,,Federal/,,,Federal/,,,Federal/,,Public,Non-Public,,,,,,,,Public,Non-Public,Total             (A+B),,Over the,Over the,Total,Federal,Federal/State Combined,,State,Federal,State,TOTAL
County,Federal,State,State,Federal,State,State,Federal,State,State,Assistance,Assistance,Total,Federal,State,Federal,State,Federal,State,Assistance,Assistance,,Mail,Counter,Counter,(A+B+C),Only,Federal,State,Only,Issuances,Issuances,ISSUANCES
Lake,726.0,3.0,1.0,1038.0,7.0,4.0,1764.0,10.0,5.0,1984.0,2181.0,4165.0,9.0,3.0,22.0,8.0,31.0,11.0,6.0,7.0,13.0,409.0,0.0,1639.0,2048.0,369230.0,1853.0,576.0,1222.0,371083.0,1798.0,372881.0
Lassen,287.0,2.0,0.0,380.0,4.0,1.0,667.0,6.0,1.0,815.0,883.0,1698.0,2.0,2.0,5.0,4.0,7.0,6.0,0.0,1.0,1.0,277.0,0.0,451.0,728.0,139800.0,384.0,565.0,139.0,140184.0,704.0,140888.0
Los Angeles,95585.0,12296.0,793.0,133392.0,16009.0,9582.0,228977.0,28305.0,10375.0,230261.0,286898.0,517159.0,27600.0,13938.0,46921.0,19967.0,74521.0,33905.0,2286.0,11929.0,14215.0,0.0,288254.0,0.0,288254.0,47678063.0,6806293.0,1832639.0,1692270.0,54484356.0,3524909.0,58009265.0
Madera,1470.0,9.0,0.0,3357.0,14.0,3.0,4827.0,23.0,3.0,4604.0,8597.0,13201.0,32.0,9.0,49.0,14.0,81.0,23.0,0.0,3.0,3.0,81.0,5049.0,0.0,5130.0,1094292.0,4721.0,694.0,1638.0,1099013.0,2332.0,1101345.0
Marin,387.0,43.0,0.0,1077.0,41.0,36.0,1464.0,84.0,36.0,868.0,1619.0,2487.0,76.0,48.0,75.0,52.0,151.0,100.0,0.0,36.0,36.0,1829.0,0.0,0.0,1829.0,250283.0,14205.0,4892.0,4570.0,264488.0,9462.0,273950.0
Mariposa,99.0,0.0,0.0,218.0,0.0,0.0,317.0,0.0,0.0,281.0,455.0,736.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,324.0,333.0,59959.0,0.0,0.0,0.0,59959.0,0.0,59959.0
Mendocino,798.0,5.0,0.0,1768.0,20.0,11.0,2566.0,25.0,11.0,2182.0,3670.0,5852.0,12.0,6.0,36.0,21.0,48.0,27.0,0.0,14.0,14.0,998.0,0.0,1741.0,2739.0,480127.0,3600.0,2082.0,1498.0,483727.0,3580.0,487307.0
Merced,3010.0,163.0,3.0,3673.0,260.0,19.0,6683.0,423.0,22.0,8647.0,13038.0,21685.0,506.0,188.0,1135.0,348.0,1641.0,536.0,3.0,25.0,28.0,4.0,7124.0,0.0,7128.0,1654100.0,78249.0,63232.0,2653.0,1732349.0,65885.0,1798234.0
Modoc,105.0,0.0,0.0,181.0,1.0,1.0,286.0,1.0,1.0,304.0,428.0,732.0,0.0,0.0,8.0,2.0,8.0,2.0,0.0,1.0,1.0,288.0,0.0,0.0,288.0,59241.0,600.0,84.0,0.0,59841.0,84.0,59925.0
Mono,17.0,0.0,0.0,97.0,0.0,0.0,114.0,0.0,0.0,43.0,187.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,14.0,123.0,19683.0,0.0,0.0,0.0,19683.0,0.0,19683.0
