December 2014,PART A.  PARTICIPATION DURING THE MONTH,,,,,,,,,PART A.  PARTICIPATION DURING THE MONTH (Continued),,,,,,,,,PART A.  PARTICIPATION (Continued),,,PART B.  ISSUANCES DURING THE MONTH,,,,,,PART C.  VALUE OF BENEFIT ISSUANCES DURING THE MONTH,,,CDSS Use Only:
,Number of Households,,,,,,,,,Number of persons in federal only households,,,Number of federal and state persons in federal/state households,,,,,,Number of persons in state only households,,,,,,,,,,,,1313071609.62
,A.  Public Assistance,,,B.  Non-Public Assistance,,,Total,,,,,,A. Public Assistance,,B. Non-Public Assistance,,Total,,,,,,,,,,,,,,
,,,,,,,,,,A.,B.,,,,,,,,A.,B.,,,Contracted,Other,,,EBT,,,,
,,Federal/,,,Federal/,,,Federal/,,Public,Non-Public,,,,,,,,Public,Non-Public,Total,,Over the,Over the,EBT,,Converted,Federal,State,TOTAL,
,Federal,State,State,Federal,State,State,Federal,State,State,Assistance,Assistance,Total,Federal,State,Federal,State,Federal,State,Assistance,Assistance,,Mail,Counter,Counter,Issuances,Total,to Coupons,Only,Only,ISSUANCES,
Lassen,287.0,0.0,0.0,1258.0,1.0,0.0,1545.0,1.0,0.0,759.0,2391.0,3150.0,0.0,0.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1637.0,1637.0,0.0,452011.0,186.0,452197.0,
Los Angeles,82423.0,2054.0,75.0,493226.0,5943.0,3696.0,575649.0,7997.0,3771.0,187526.0,969201.0,1156727.0,3889.0,2852.0,13737.0,7454.0,17626.0,10306.0,149.0,4768.0,4917.0,0.0,0.0,0.0,668542.0,668542.0,0.0,179439241.0,2384564.0,181823805.0,
Madera,2014.0,11.0,1.0,9670.0,47.0,4.0,11684.0,58.0,5.0,5437.0,23440.0,28877.0,27.0,11.0,136.0,49.0,163.0,60.0,1.0,5.0,6.0,0.0,0.0,0.0,8539.0,8539.0,0.0,4113613.0,5713.0,4119326.0,
Marin,656.0,42.0,1.0,5420.0,187.0,57.0,6076.0,229.0,58.0,1429.0,8273.0,9702.0,77.0,46.0,390.0,235.0,467.0,281.0,1.0,71.0,72.0,0.0,0.0,0.0,6658.0,6658.0,0.0,1534447.0,32330.0,1566777.0,
Mariposa,144.0,0.0,0.0,912.0,3.0,0.0,1056.0,3.0,0.0,389.0,1611.0,2000.0,0.0,0.0,7.0,3.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1145.0,1145.0,0.0,289875.0,308.0,290183.0,
Mendocino,792.0,6.0,0.0,6402.0,29.0,10.0,7194.0,35.0,10.0,1997.0,11223.0,13220.0,20.0,6.0,86.0,34.0,106.0,40.0,0.0,11.0,11.0,0.0,0.0,0.0,7606.0,7606.0,0.0,1984896.0,5995.0,1990891.0,
Merced,4702.0,18.0,2.0,19702.0,69.0,6.0,24404.0,87.0,8.0,12786.0,44387.0,57173.0,45.0,18.0,202.0,72.0,247.0,90.0,2.0,8.0,10.0,0.0,0.0,0.0,25802.0,25802.0,0.0,8078213.0,8996.0,8087209.0,
Modoc,84.0,0.0,0.0,394.0,1.0,0.0,478.0,1.0,0.0,219.0,815.0,1034.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,524.0,524.0,0.0,141270.0,0.0,141270.0,
Mono,14.0,0.0,0.0,485.0,1.0,0.0,499.0,1.0,0.0,39.0,800.0,839.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,550.0,550.0,0.0,121873.0,90.0,121963.0,
Monterey,3247.0,39.0,0.0,18976.0,201.0,29.0,22223.0,240.0,29.0,8140.0,41434.0,49574.0,101.0,45.0,550.0,230.0,651.0,275.0,0.0,38.0,38.0,0.0,0.0,0.0,25308.0,25308.0,0.0,7266994.0,31607.0,7298601.0,
