,PART A.  PARTICIPATION DURING THE MONTH,,,,,,,,,"PART A.  PARTICIPATION DURING THE MONTH, Cont'd",,,,,,,,,"PART A.  PARTICIPATION, Cont'd",,,PART B.  ISSUANCES DURING THE MONTH,,,,,,PART C.  VALUE OF BENEFIT ISSUANCES DURING THE MONTH,,
,Number of Households,,,,,,,,,Number of persons in federal only households,,,Number of federal and state persons in federal/state households,,,,,,Number of persons in state only households,,,,,,,,,,,
,A.  Public Assistance,,,B.  Non-Public Assistance,,,Total,,,,,,A. Public Assistance,,B. Non-Public Assistance,,Total,,,,,,,,,,,,,
,,,,,,,,,,A.,B.,,,,,,,,A.,B.,,,Contracted,Other,,,EBT,,,
,,Federal/,,,Federal/,,,Federal/,,Public,Non-Public,,,,,,,,Public,Non-Public,Total,,Over the,Over the,EBT,,Converted,Federal,State,TOTAL
County,Federal,State,State,Federal,State,State,Federal,State,State,Assistance,Assistance,Total,Federal,State,Federal,State,Federal,State,Assistance,Assistance,,Mail,Counter,Counter,Issuances,Total,to Coupons,Only,Only,ISSUANCES
Data Cell,1.0,2.0,3.0,4.0,5.0,6.0,15.0,16.0,17.0,7.0,8.0,18.0,9.0,10.0,11.0,12.0,19.0,20.0,13.0,14.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0
Statewide,288714.0,4622.0,66.0,815213.0,13174.0,5294.0,1103927.0,17796.0,5360.0,727871.0,1878545.0,2606416.0,10721.0,5735.0,36904.0,15600.0,47625.0,21335.0,93.0,6708.0,6801.0,0.0,0.0,0.0,1261592.0,1261592.0,0.0,338145128.85,2950013.42,341095142.27
Alameda,10914.0,309.0,2.0,28068.0,477.0,258.0,38982.0,786.0,260.0,25387.0,55622.0,81009.0,720.0,375.0,1216.0,591.0,1936.0,966.0,2.0,325.0,327.0,0.0,0.0,0.0,40028.0,40028.0,0.0,10794928.0,142535.0,10937463.0
Alpine,6.0,0.0,0.0,37.0,0.0,0.0,43.0,0.0,0.0,13.0,84.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,47.0,0.0,11755.0,0.0,11755.0
Amador,175.0,0.0,0.0,767.0,0.0,0.0,942.0,0.0,0.0,496.0,1459.0,1955.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1020.0,1020.0,0.0,260908.0,0.0,260908.0
Butte,1784.0,0.0,0.0,7825.0,36.0,12.0,9609.0,36.0,12.0,4518.0,16870.0,21388.0,0.0,0.0,129.0,45.0,129.0,45.0,0.0,14.0,14.0,0.0,0.0,0.0,10638.0,10638.0,0.0,2720129.0,6198.0,2726327.0
Calaveras,311.0,0.0,0.0,1055.0,0.0,0.0,1366.0,0.0,0.0,884.0,2152.0,3036.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1366.0,1366.0,0.0,389148.0,0.0,389148.0
Colusa,80.0,0.0,0.0,472.0,13.0,2.0,552.0,13.0,2.0,237.0,1317.0,1554.0,0.0,0.0,58.0,17.0,58.0,17.0,0.0,2.0,2.0,0.0,0.0,0.0,609.0,609.0,0.0,170490.0,1038.0,171528.0
Contra Costa,6010.0,71.0,2.0,13574.0,127.0,35.0,19584.0,198.0,37.0,14655.0,28688.0,43343.0,156.0,81.0,365.0,151.0,521.0,232.0,2.0,42.0,44.0,0.0,0.0,0.0,22449.0,22449.0,0.0,5731138.23,30625.84,5761764.07
Del Norte,452.0,2.0,0.0,1610.0,5.0,4.0,2062.0,7.0,4.0,1271.0,3194.0,4465.0,3.0,2.0,13.0,13.0,16.0,15.0,0.0,5.0,5.0,0.0,0.0,0.0,2073.0,2073.0,0.0,553887.78,1737.0,555624.78
El Dorado,539.0,0.0,0.0,2519.0,8.0,7.0,3058.0,8.0,7.0,1431.0,5067.0,6498.0,0.0,0.0,21.0,9.0,21.0,9.0,0.0,8.0,8.0,0.0,0.0,0.0,3444.0,3444.0,0.0,861359.0,1622.0,862981.0
Fresno,17470.0,107.0,1.0,45350.0,497.0,73.0,62820.0,604.0,74.0,47420.0,115005.0,162425.0,285.0,123.0,1640.0,549.0,1925.0,672.0,2.0,87.0,89.0,0.0,0.0,0.0,70719.0,70719.0,0.0,20682040.0,115683.0,20797723.0
Glenn,236.0,0.0,0.0,790.0,5.0,0.0,1026.0,5.0,0.0,637.0,1999.0,2636.0,0.0,0.0,13.0,6.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1144.0,1144.0,0.0,313971.0,683.0,314654.0
Humboldt,1059.0,3.0,0.0,4377.0,7.0,6.0,5436.0,10.0,6.0,2682.0,8240.0,10922.0,11.0,5.0,14.0,7.0,25.0,12.0,0.0,8.0,8.0,0.0,0.0,0.0,6160.0,6160.0,0.0,1418457.0,2308.0,1420765.0
Imperial,1796.0,3.0,0.0,6896.0,179.0,26.0,8692.0,182.0,26.0,5466.0,18051.0,23517.0,8.0,3.0,492.0,184.0,500.0,187.0,0.0,30.0,30.0,0.0,0.0,0.0,8900.0,8900.0,0.0,2959248.0,18783.0,2978031.0
Inyo,112.0,0.0,0.0,506.0,0.0,0.0,618.0,0.0,0.0,349.0,964.0,1313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,640.0,640.0,0.0,152061.0,0.0,152061.0
Kern ,6688.0,7.0,0.0,31868.0,348.0,97.0,38556.0,355.0,97.0,18807.0,83538.0,102345.0,15.0,8.0,1006.0,383.0,1021.0,391.0,0.0,163.0,163.0,0.0,0.0,0.0,42051.0,42051.0,0.0,12619747.0,59569.0,12679316.0
Kings,1063.0,0.0,0.0,5472.0,61.0,37.0,6535.0,61.0,37.0,2991.0,13370.0,16361.0,0.0,0.0,159.0,66.0,159.0,66.0,0.0,37.0,37.0,0.0,0.0,0.0,7133.0,7133.0,0.0,1958832.0,11548.0,1970380.0
Lake,1003.0,0.0,0.0,2238.0,21.0,3.0,3241.0,21.0,3.0,1674.0,5531.0,7205.0,0.0,0.0,68.0,24.0,68.0,24.0,0.0,3.0,3.0,0.0,0.0,0.0,3598.0,3598.0,0.0,908396.0,2456.0,910852.0
Lassen,241.0,1.0,0.0,812.0,2.0,1.0,1053.0,3.0,1.0,679.0,1748.0,2427.0,1.0,1.0,5.0,2.0,6.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1170.0,1170.0,0.0,311032.0,476.0,311508.0
Los Angeles,78899.0,1763.0,32.0,247957.0,4354.0,1921.0,326856.0,6117.0,1953.0,180439.0,538051.0,718490.0,3677.0,2183.0,11975.0,5146.0,15652.0,7329.0,48.0,2314.0,2362.0,0.0,0.0,0.0,391890.0,391890.0,0.0,97699846.0,1073519.0,98773365.0
Madera,983.0,0.0,0.0,5839.0,14.0,2.0,6822.0,14.0,2.0,2769.0,15146.0,17915.0,0.0,0.0,55.0,14.0,55.0,14.0,0.0,3.0,3.0,0.0,0.0,0.0,7460.0,7460.0,0.0,2211921.0,1447.0,2213368.0
Marin,496.0,0.0,0.0,2903.0,47.0,77.0,3399.0,47.0,77.0,1178.0,4555.0,5733.0,0.0,0.0,90.0,49.0,90.0,49.0,0.0,82.0,82.0,0.0,0.0,0.0,3723.0,3723.0,0.0,790650.0,8218.0,798868.0
Mariposa,114.0,0.0,0.0,381.0,0.0,0.0,495.0,0.0,0.0,301.0,782.0,1083.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,551.0,551.0,0.0,138867.0,0.0,138867.0
Mendocino,681.0,0.0,0.0,4330.0,21.0,11.0,5011.0,21.0,11.0,1735.0,7868.0,9603.0,0.0,0.0,69.0,22.0,69.0,22.0,0.0,14.0,14.0,0.0,0.0,0.0,5335.0,5335.0,0.0,1259986.0,3642.0,1263628.0
Merced,5102.0,22.0,0.0,9546.0,63.0,1.0,14648.0,85.0,1.0,13828.0,25068.0,38896.0,68.0,23.0,221.0,67.0,289.0,90.0,0.0,1.0,1.0,0.0,0.0,0.0,15870.0,15870.0,0.0,4744684.0,8524.0,4753208.0
Modoc,89.0,0.0,0.0,296.0,0.0,0.0,385.0,0.0,0.0,250.0,668.0,918.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385.0,385.0,0.0,102075.0,0.0,102075.0
Mono,16.0,0.0,0.0,187.0,1.0,0.0,203.0,1.0,0.0,43.0,322.0,365.0,0.0,0.0,2.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,245.0,245.0,0.0,52859.0,394.0,53253.0
