,PART A.  PARTICIPATION DURING THE MONTH,,,,,,,,,"PART A.  PARTICIPATION DURING THE MONTH, Cont'd",,,,,,,,,"PART A.  PARTICIPATION, Cont'd",,,PART B.  ISSUANCES DURING THE MONTH,,,,,,PART C.  VALUE OF BENEFIT ISSUANCES DURING THE MONTH,,
,Number of Households,,,,,,,,,Number of persons in federal only households,,,Number of federal and state persons in federal/state households,,,,,,Number of persons in state only households,,,,,,,,,,,
,A.  Public Assistance,,,B.  Non-Public Assistance,,,Total,,,,,,A. Public Assistance,,B. Non-Public Assistance,,Total,,,,,,,,,,,,,
,,,,,,,,,,A.,B.,,,,,,,,A.,B.,,,Contracted,Other,,,EBT,,,
,,Federal/,,,Federal/,,,Federal/,,Public,Non-Public,,,,,,,,Public,Non-Public,Total,,Over the,Over the,EBT,,Converted,Federal,State,TOTAL
County,Federal,State,State,Federal,State,State,Federal,State,State,Assistance,Assistance,Total,Federal,State,Federal,State,Federal,State,Assistance,Assistance,,Mail,Counter,Counter,Issuances,Total,to Coupons,Only,Only,ISSUANCES
Data Cell,1.0,2.0,3.0,4.0,5.0,6.0,15.0,16.0,17.0,7.0,8.0,18.0,9.0,10.0,11.0,12.0,19.0,20.0,13.0,14.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0
Statewide,336477.0,5186.0,83.0,1083525.0,16743.0,6718.0,1420002.0,21929.0,6801.0,851436.0,2416023.0,3267459.0,11800.0,6909.0,45862.0,19755.0,57662.0,26664.0,102.0,8720.0,8822.0,0.0,0.0,0.0,1996659.0,1996659.0,0.0,484100289.34,4192736.55,488293025.89
Alameda,11771.0,322.0,3.0,34734.0,708.0,330.0,46505.0,1030.0,333.0,27708.0,69188.0,96896.0,777.0,378.0,1774.0,892.0,2551.0,1270.0,4.0,441.0,445.0,0.0,0.0,0.0,47868.0,47868.0,0.0,15064697.0,215582.0,15280279.0
Alpine,7.0,0.0,0.0,61.0,0.0,0.0,68.0,0.0,0.0,18.0,125.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,74.0,0.0,19604.0,0.0,19604.0
Amador,261.0,0.0,0.0,937.0,1.0,0.0,1198.0,1.0,0.0,696.0,1770.0,2466.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1312.0,1312.0,0.0,371621.0,0.0,371621.0
Butte,1829.0,1.0,0.0,9246.0,40.0,21.0,11075.0,41.0,21.0,4680.0,19211.0,23891.0,1.0,0.0,128.0,42.0,129.0,42.0,0.0,40.0,40.0,0.0,0.0,0.0,1982.0,1982.0,0.0,453075.0,1291.0,454366.0
Calaveras,376.0,1.0,0.0,1571.0,3.0,0.0,1947.0,4.0,0.0,1070.0,3103.0,4173.0,1.0,1.0,6.0,4.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2103.0,2103.0,0.0,613137.0,403.0,613540.0
Colusa,84.0,0.0,0.0,509.0,9.0,1.0,593.0,9.0,1.0,251.0,1460.0,1711.0,0.0,0.0,29.0,9.0,29.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,659.0,659.0,0.0,216397.0,1274.0,217671.0
Contra Costa,6622.0,73.0,2.0,19045.0,223.0,61.0,25667.0,296.0,63.0,15967.0,39490.0,55457.0,173.0,92.0,590.0,277.0,763.0,369.0,4.0,82.0,86.0,0.0,0.0,0.0,28884.0,28884.0,0.0,8504765.22,52187.54,8556952.76
Del Norte,505.0,1.0,0.0,1790.0,8.0,5.0,2295.0,9.0,5.0,1408.0,3430.0,4838.0,2.0,1.0,26.0,9.0,28.0,10.0,0.0,12.0,12.0,0.0,0.0,0.0,421.0,421.0,0.0,692801.0,1017.0,693818.0
El Dorado,737.0,10.0,0.0,3956.0,15.0,3.0,4693.0,25.0,3.0,1930.0,7632.0,9562.0,28.0,10.0,39.0,18.0,67.0,28.0,0.0,4.0,4.0,0.0,0.0,0.0,5122.0,5122.0,0.0,1414747.0,2787.0,1417534.0
Fresno,18060.0,80.0,0.0,58058.0,495.0,104.0,76118.0,575.0,104.0,48683.0,141042.0,189725.0,198.0,87.0,1496.0,556.0,1694.0,643.0,0.0,123.0,123.0,0.0,0.0,0.0,83999.0,83999.0,0.0,27756360.98,83505.6,27839866.58
Glenn,312.0,2.0,0.0,862.0,11.0,1.0,1174.0,13.0,1.0,841.0,2216.0,3057.0,7.0,2.0,38.0,12.0,45.0,14.0,0.0,1.0,1.0,0.0,0.0,0.0,1320.0,1320.0,0.0,425245.0,1734.0,426979.0
Humboldt,1131.0,0.0,0.0,5917.0,12.0,5.0,7048.0,12.0,5.0,2674.0,11115.0,13789.0,0.0,0.0,23.0,15.0,23.0,15.0,0.0,5.0,5.0,0.0,0.0,0.0,7351.0,7351.0,0.0,1949673.0,2347.0,1952020.0
Imperial,2602.0,43.0,0.0,8802.0,243.0,38.0,11404.0,286.0,38.0,7621.0,22919.0,30540.0,102.0,440.0,694.0,265.0,796.0,705.0,0.0,43.0,43.0,0.0,0.0,0.0,11738.0,11738.0,0.0,4255870.26,43584.0,4299454.26
Inyo,153.0,0.0,0.0,613.0,0.0,0.0,766.0,0.0,0.0,448.0,1118.0,1566.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,800.0,0.0,210677.0,0.0,210677.0
Kern,12446.0,82.0,0.0,35440.0,351.0,114.0,47886.0,433.0,114.0,33763.0,89385.0,123148.0,197.0,87.0,1011.0,392.0,1208.0,479.0,0.0,189.0,189.0,0.0,0.0,0.0,51758.0,51758.0,0.0,17553024.0,86629.0,17639653.0
Kings,1792.0,9.0,0.0,6335.0,78.0,35.0,8127.0,87.0,35.0,4869.0,15178.0,20047.0,24.0,9.0,260.0,85.0,284.0,94.0,0.0,35.0,35.0,0.0,0.0,0.0,8828.0,8828.0,0.0,2785302.0,9894.0,2795196.0
Lake,995.0,2.0,0.0,3003.0,21.0,6.0,3998.0,23.0,6.0,2799.0,5686.0,8485.0,7.0,2.0,62.0,23.0,69.0,25.0,0.0,7.0,7.0,0.0,0.0,0.0,4474.0,4474.0,0.0,1268068.0,3799.0,1271867.0
Lassen,265.0,1.0,0.0,1005.0,3.0,1.0,1270.0,4.0,1.0,721.0,2091.0,2812.0,1.0,1.0,9.0,3.0,10.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1476.0,1476.0,0.0,438987.0,539.0,439526.0
Los Angeles  a/,92443.0,1875.0,33.0,315145.0,5235.0,2350.0,407588.0,7110.0,2383.0,215173.0,666444.0,881617.0,3850.0,2414.0,13881.0,6185.0,17731.0,8599.0,40.0,2897.0,2937.0,0.0,0.0,0.0,904589.0,904589.0,0.0,137573405.0,1452292.0,139025697.0
Madera,2911.0,1.0,0.0,6606.0,72.0,3.0,9517.0,73.0,3.0,5466.0,17279.0,22745.0,2.0,1.0,264.0,77.0,266.0,78.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,3274864.0,7015.0,3281879.0
Marin,912.0,21.0,3.0,3557.0,35.0,25.0,4469.0,56.0,28.0,1975.0,5573.0,7548.0,43.0,24.0,81.0,38.0,124.0,62.0,3.0,29.0,32.0,0.0,0.0,0.0,4880.0,4880.0,0.0,1179511.0,12468.0,1191979.0
Mariposa,145.0,0.0,0.0,485.0,0.0,0.0,630.0,0.0,0.0,417.0,1013.0,1430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,726.0,726.0,0.0,215539.0,0.0,215539.0
Mendocino,963.0,4.0,0.0,4945.0,19.0,12.0,5908.0,23.0,12.0,2453.0,9431.0,11884.0,11.0,4.0,54.0,20.0,65.0,24.0,0.0,20.0,20.0,0.0,0.0,0.0,6337.0,6337.0,0.0,1712908.0,3819.0,1716727.0
Merced,5217.0,22.0,1.0,12545.0,92.0,6.0,17762.0,114.0,7.0,14443.0,31761.0,46204.0,71.0,25.0,305.0,99.0,376.0,124.0,1.0,6.0,7.0,0.0,0.0,0.0,18930.0,18930.0,0.0,6550116.0,13231.0,6563347.0
Modoc,74.0,0.0,0.0,373.0,0.0,0.0,447.0,0.0,0.0,208.0,984.0,1192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,447.0,447.0,0.0,140152.0,0.0,140152.0
Mono,30.0,0.0,0.0,321.0,1.0,1.0,351.0,1.0,1.0,73.0,473.0,546.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,425.0,425.0,0.0,88155.0,140.0,88295.0
