county,req_exped_service_pend_prev_qtr,req_exped_service_reported_pending_end_prev_qtr,req_exped_service_adjustment,req_exped_service_rcv_this_qtr,req_exped_service_tot_this_qtr,req_exped_service_tot_pacf_disposed_this_qtr,req_exped_service_tot_disposed_pacf_entitled_to_exped_service,req_exped_service_disposed_entitled_pacf_1_to_3_days,req_exped_service_disposed_entitled_pacf_4_to_7_days,req_exped_service_pacf_4_to_7_days_client_delay,req_exped_service_pacf_4_to_7_days_county_delay,req_exped_service_disposed_entitled_pacf_over_7_days,req_exped_service_pacf_over_7_days_client_delay,req_exped_service_pacf_over_7_days_county_delay,req_exped_service_tot_nacf_disposed_this_qtr,req_exped_service_tot_disposed_nacf_entitled_to_exped_service,req_exped_service_disposed_entitled_nacf_1_to_3_days,req_exped_service_disposed_entitled_nacf_4_to_7_days,req_exped_service_nacf_4_to_7_days_client_delay,req_exped_service_nacf_4_to_7_days_county_delay,req_exped_service_disposed_entitled_nacf_over_7_days,req_exped_service_nacf_over_7_days_client_delay,req_exped_service_nacf_over_7_days_county_delay,req_exped_service_tot_disposed_this_qtr,req_exped_service_tot_disposed_entitled_to_exped_service,req_exped_service_disposed_entitled_tot_1_to_3_days,req_exped_service_disposed_entitled_tot_4_to_7_days,req_exped_service_tot_4_to_7_days_client_delay,req_exped_service_tot_4_to_7_days_county_delay,req_exped_service_disposed_entitled_tot_over_7_days,req_exped_service_tot_over_7_days_client_delay,req_exped_service_tot_over_7_days_county_delay,req_exped_service_disposed_pacf_not_entitled,req_exped_service_disposed_nacf_not_entitled,req_exped_service_disposed_tot_not_entitled,req_exped_service_disposed_pending_end_qtr,app_compliance_info_pacf_fail_complete_app_process,app_compliance_info_nacf_fail_complete_app_process,app_compliance_info_tot_hh_fail_complete_app_process,year,month,quarter,fulldate
Fresno,125.0,122.0,3.0,9703.0,9828.0,128.0,58.0,56.0,2.0,0.0,2.0,0.0,0.0,0.0,9517.0,4156.0,4026.0,103.0,0.0,103.0,27.0,0.0,27.0,9645.0,4214.0,4082.0,105.0,0.0,105.0,27.0,0.0,27.0,70.0,5361.0,5431.0,183.0,0.0,76.0,76.0,2016,APR,2.0,2016-04-01
Glenn,22.0,23.0,-1.0,374.0,396.0,27.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,344.0,136.0,134.0,2.0,2.0,0.0,0.0,0.0,0.0,371.0,148.0,146.0,2.0,2.0,0.0,0.0,0.0,0.0,15.0,208.0,223.0,25.0,0.0,1.0,1.0,2016,APR,2.0,2016-04-01
Humboldt,227.0,243.0,-16.0,3069.0,3296.0,67.0,43.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,3021.0,1182.0,1164.0,11.0,3.0,8.0,7.0,2.0,5.0,3088.0,1225.0,1207.0,11.0,3.0,8.0,7.0,2.0,5.0,24.0,1839.0,1863.0,208.0,0.0,26.0,26.0,2016,APR,2.0,2016-04-01
Imperial,287.0,302.0,-15.0,3550.0,3837.0,153.0,72.0,63.0,8.0,3.0,5.0,1.0,1.0,0.0,3279.0,1234.0,1159.0,50.0,29.0,21.0,25.0,12.0,13.0,3432.0,1306.0,1222.0,58.0,32.0,26.0,26.0,13.0,13.0,81.0,2045.0,2126.0,405.0,0.0,4.0,4.0,2016,APR,2.0,2016-04-01
Inyo,19.0,19.0,0.0,240.0,259.0,8.0,6.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,231.0,114.0,102.0,9.0,8.0,1.0,3.0,2.0,1.0,239.0,120.0,107.0,10.0,9.0,1.0,3.0,2.0,1.0,2.0,117.0,119.0,20.0,0.0,0.0,0.0,2016,APR,2.0,2016-04-01
Kern,2307.0,2325.0,-18.0,16643.0,18950.0,583.0,362.0,346.0,13.0,5.0,8.0,3.0,2.0,1.0,15575.0,6350.0,5994.0,237.0,135.0,102.0,119.0,86.0,33.0,16158.0,6712.0,6340.0,250.0,140.0,110.0,122.0,88.0,34.0,221.0,9225.0,9446.0,2792.0,0.0,6.0,6.0,2016,APR,2.0,2016-04-01
Kings,340.0,342.0,-2.0,2365.0,2705.0,108.0,42.0,41.0,0.0,0.0,0.0,1.0,0.0,1.0,2218.0,884.0,854.0,14.0,6.0,8.0,16.0,4.0,12.0,2326.0,926.0,895.0,14.0,6.0,8.0,17.0,4.0,13.0,66.0,1334.0,1400.0,379.0,0.0,1.0,1.0,2016,APR,2.0,2016-04-01
Lake,118.0,119.0,-1.0,1123.0,1241.0,46.0,23.0,22.0,0.0,0.0,0.0,1.0,1.0,0.0,1060.0,521.0,486.0,24.0,5.0,19.0,11.0,4.0,7.0,1106.0,544.0,508.0,24.0,5.0,19.0,12.0,5.0,7.0,23.0,539.0,562.0,135.0,0.0,1.0,1.0,2016,APR,2.0,2016-04-01
Lassen,47.0,48.0,-1.0,344.0,391.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,303.0,153.0,116.0,18.0,2.0,16.0,19.0,2.0,17.0,308.0,154.0,116.0,18.0,2.0,16.0,20.0,3.0,17.0,4.0,150.0,154.0,83.0,0.0,0.0,0.0,2016,APR,2.0,2016-04-01
Los Angeles,8130.0,10180.0,-2050.0,63589.0,71719.0,5400.0,4010.0,2931.0,332.0,112.0,220.0,747.0,232.0,515.0,52097.0,25832.0,21921.0,1272.0,576.0,696.0,2639.0,921.0,1718.0,57497.0,29842.0,24852.0,1604.0,688.0,916.0,3386.0,1153.0,2233.0,1390.0,26265.0,27655.0,14222.0,26.0,214.0,240.0,2016,APR,2.0,2016-04-01
