county,req_exped_service_pend_prev_qtr,req_exped_service_reported_pending_end_prev_qtr,req_exped_service_adjustment,req_exped_service_rcv_this_qtr,req_exped_service_tot_this_qtr,req_exped_service_tot_pacf_disposed_this_qtr,req_exped_service_tot_disposed_pacf_entitled_to_exped_service,req_exped_service_disposed_entitled_pacf_1_to_3_days,req_exped_service_disposed_entitled_pacf_4_to_7_days,req_exped_service_pacf_4_to_7_days_client_delay,req_exped_service_pacf_4_to_7_days_county_delay,req_exped_service_disposed_entitled_pacf_over_7_days,req_exped_service_pacf_over_7_days_client_delay,req_exped_service_pacf_over_7_days_county_delay,req_exped_service_tot_nacf_disposed_this_qtr,req_exped_service_tot_disposed_nacf_entitled_to_exped_service,req_exped_service_disposed_entitled_nacf_1_to_3_days,req_exped_service_disposed_entitled_nacf_4_to_7_days,req_exped_service_nacf_4_to_7_days_client_delay,req_exped_service_nacf_4_to_7_days_county_delay,req_exped_service_disposed_entitled_nacf_over_7_days,req_exped_service_nacf_over_7_days_client_delay,req_exped_service_nacf_over_7_days_county_delay,req_exped_service_tot_disposed_this_qtr,req_exped_service_tot_disposed_entitled_to_exped_service,req_exped_service_disposed_entitled_tot_1_to_3_days,req_exped_service_disposed_entitled_tot_4_to_7_days,req_exped_service_tot_4_to_7_days_client_delay,req_exped_service_tot_4_to_7_days_county_delay,req_exped_service_disposed_entitled_tot_over_7_days,req_exped_service_tot_over_7_days_client_delay,req_exped_service_tot_over_7_days_county_delay,req_exped_service_disposed_pacf_not_entitled,req_exped_service_disposed_nacf_not_entitled,req_exped_service_disposed_tot_not_entitled,req_exped_service_disposed_pending_end_qtr,app_compliance_info_pacf_fail_complete_app_process,app_compliance_info_nacf_fail_complete_app_process,app_compliance_info_tot_hh_fail_complete_app_process,year,month,quarter,fulldate
California,39355.0,44361.0,-5006.0,353354.0,392709.0,14156.0,7966.0,7245.0,403.0,255.0,148.0,318.0,205.0,113.0,337615.0,138854.0,128481.0,5382.0,2340.0,3042.0,4991.0,2455.0,2536.0,351771.0,146820.0,135726.0,5785.0,2595.0,3190.0,5309.0,2660.0,2649.0,6190.0,198761.0,204951.0,40938.0,29.0,2047.0,2076.0,2014,APR,2.0,2014-04-01
Alameda,0.0,0.0,0.0,9816.0,9816.0,461.0,312.0,258.0,33.0,0.0,33.0,21.0,0.0,21.0,9355.0,4263.0,3853.0,252.0,0.0,252.0,158.0,0.0,158.0,9816.0,4575.0,4111.0,285.0,0.0,285.0,179.0,0.0,179.0,149.0,5092.0,5241.0,0.0,2.0,160.0,162.0,2014,APR,2.0,2014-04-01
Alpine,1.0,0.0,1.0,17.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,12.0,11.0,0.0,0.0,0.0,1.0,1.0,0.0,17.0,12.0,11.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,2014,APR,2.0,2014-04-01
Amador,62.0,62.0,0.0,438.0,500.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,459.0,206.0,197.0,4.0,1.0,3.0,5.0,4.0,1.0,464.0,209.0,200.0,4.0,1.0,3.0,5.0,4.0,1.0,2.0,253.0,255.0,36.0,0.0,5.0,5.0,2014,APR,2.0,2014-04-01
Butte,836.0,836.0,0.0,4053.0,4889.0,97.0,44.0,37.0,4.0,0.0,4.0,3.0,1.0,2.0,4172.0,1825.0,1645.0,108.0,13.0,95.0,72.0,14.0,58.0,4269.0,1869.0,1682.0,112.0,13.0,99.0,75.0,15.0,60.0,53.0,2347.0,2400.0,620.0,0.0,7.0,7.0,2014,APR,2.0,2014-04-01
Calaveras,26.0,26.0,0.0,573.0,599.0,18.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,553.0,244.0,236.0,5.0,5.0,0.0,3.0,2.0,1.0,571.0,248.0,239.0,6.0,6.0,0.0,3.0,2.0,1.0,14.0,309.0,323.0,28.0,0.0,0.0,0.0,2014,APR,2.0,2014-04-01
Colusa,68.0,68.0,0.0,240.0,308.0,9.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,225.0,67.0,64.0,1.0,1.0,0.0,2.0,1.0,1.0,234.0,74.0,71.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,158.0,160.0,74.0,0.0,0.0,0.0,2014,APR,2.0,2014-04-01
Contra Costa,309.0,274.0,35.0,5375.0,5684.0,142.0,87.0,66.0,15.0,0.0,15.0,6.0,0.0,6.0,5211.0,1674.0,1445.0,173.0,0.0,173.0,56.0,0.0,56.0,5353.0,1761.0,1511.0,188.0,0.0,188.0,62.0,0.0,62.0,55.0,3537.0,3592.0,331.0,0.0,4.0,4.0,2014,APR,2.0,2014-04-01
Del Norte,174.0,174.0,0.0,534.0,708.0,39.0,17.0,15.0,2.0,1.0,1.0,0.0,0.0,0.0,514.0,214.0,205.0,5.0,1.0,4.0,4.0,3.0,1.0,553.0,231.0,220.0,7.0,2.0,5.0,4.0,3.0,1.0,22.0,300.0,322.0,155.0,0.0,0.0,0.0,2014,APR,2.0,2014-04-01
El Dorado,350.0,353.0,-3.0,2016.0,2366.0,63.0,30.0,25.0,3.0,1.0,2.0,2.0,2.0,0.0,2027.0,851.0,702.0,98.0,22.0,76.0,51.0,41.0,10.0,2090.0,881.0,727.0,101.0,23.0,78.0,53.0,43.0,10.0,33.0,1176.0,1209.0,276.0,0.0,1.0,1.0,2014,APR,2.0,2014-04-01
Fresno,328.0,259.0,69.0,11072.0,11400.0,226.0,141.0,136.0,4.0,0.0,4.0,1.0,0.0,1.0,10889.0,4747.0,4603.0,89.0,0.0,89.0,55.0,0.0,55.0,11115.0,4888.0,4739.0,93.0,0.0,93.0,56.0,0.0,56.0,85.0,6142.0,6227.0,285.0,0.0,84.0,84.0,2014,APR,2.0,2014-04-01
Glenn,45.0,43.0,2.0,339.0,384.0,16.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,345.0,121.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,361.0,126.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,224.0,235.0,23.0,0.0,3.0,3.0,2014,APR,2.0,2014-04-01
Humboldt,598.0,589.0,9.0,3291.0,3889.0,77.0,48.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,3509.0,1178.0,1010.0,91.0,11.0,80.0,77.0,10.0,67.0,3586.0,1226.0,1058.0,91.0,11.0,80.0,77.0,10.0,67.0,29.0,2331.0,2360.0,303.0,0.0,9.0,9.0,2014,APR,2.0,2014-04-01
Imperial,617.0,618.0,-1.0,3963.0,4580.0,155.0,77.0,73.0,3.0,2.0,1.0,1.0,1.0,0.0,3630.0,1198.0,1053.0,105.0,28.0,77.0,40.0,20.0,20.0,3785.0,1275.0,1126.0,108.0,30.0,78.0,41.0,21.0,20.0,78.0,2432.0,2510.0,795.0,0.0,0.0,0.0,2014,APR,2.0,2014-04-01
Inyo,26.0,26.0,0.0,231.0,257.0,6.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,230.0,100.0,96.0,4.0,2.0,2.0,0.0,0.0,0.0,236.0,105.0,101.0,4.0,2.0,2.0,0.0,0.0,0.0,1.0,130.0,131.0,21.0,0.0,0.0,0.0,2014,APR,2.0,2014-04-01
Kern,3123.0,3123.0,0.0,15439.0,18562.0,675.0,359.0,332.0,12.0,6.0,6.0,15.0,9.0,6.0,15140.0,6055.0,5489.0,241.0,123.0,118.0,325.0,166.0,159.0,15815.0,6414.0,5821.0,253.0,129.0,124.0,340.0,175.0,165.0,316.0,9085.0,9401.0,2747.0,0.0,3.0,3.0,2014,APR,2.0,2014-04-01
Kings,616.0,616.0,0.0,2187.0,2803.0,113.0,51.0,43.0,6.0,3.0,3.0,2.0,2.0,0.0,2180.0,900.0,761.0,80.0,33.0,47.0,59.0,34.0,25.0,2293.0,951.0,804.0,86.0,36.0,50.0,61.0,36.0,25.0,62.0,1280.0,1342.0,510.0,0.0,1.0,1.0,2014,APR,2.0,2014-04-01
Lake,431.0,432.0,-1.0,1213.0,1644.0,26.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1278.0,556.0,452.0,35.0,9.0,26.0,69.0,16.0,53.0,1304.0,566.0,462.0,35.0,9.0,26.0,69.0,16.0,53.0,16.0,722.0,738.0,340.0,0.0,6.0,6.0,2014,APR,2.0,2014-04-01
Lassen,49.0,49.0,0.0,394.0,443.0,11.0,6.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,352.0,162.0,143.0,10.0,1.0,9.0,9.0,1.0,8.0,363.0,168.0,147.0,10.0,1.0,9.0,11.0,1.0,10.0,5.0,190.0,195.0,80.0,0.0,0.0,0.0,2014,APR,2.0,2014-04-01
Los Angeles,3845.0,9668.0,-5823.0,86249.0,90094.0,4629.0,2781.0,2464.0,183.0,183.0,0.0,134.0,134.0,0.0,76540.0,34048.0,32334.0,1010.0,1010.0,0.0,704.0,704.0,0.0,81169.0,36829.0,34798.0,1193.0,1193.0,0.0,838.0,838.0,0.0,1848.0,42492.0,44340.0,8925.0,20.0,1076.0,1096.0,2014,APR,2.0,2014-04-01
Madera,466.0,466.0,0.0,1977.0,2443.0,72.0,36.0,32.0,2.0,2.0,0.0,2.0,2.0,0.0,2088.0,862.0,788.0,31.0,17.0,14.0,43.0,22.0,21.0,2160.0,898.0,820.0,33.0,19.0,14.0,45.0,24.0,21.0,36.0,1226.0,1262.0,283.0,0.0,3.0,3.0,2014,APR,2.0,2014-04-01
Marin,290.0,252.0,38.0,1421.0,1711.0,48.0,27.0,22.0,4.0,3.0,1.0,1.0,0.0,1.0,1461.0,604.0,565.0,13.0,3.0,10.0,26.0,9.0,17.0,1509.0,631.0,587.0,17.0,6.0,11.0,27.0,9.0,18.0,21.0,857.0,878.0,202.0,0.0,0.0,0.0,2014,APR,2.0,2014-04-01
