county,req_exped_service_pend_prev_qtr,req_exped_service_reported_pending_end_prev_qtr,req_exped_service_adjustment,req_exped_service_rcv_this_qtr,req_exped_service_tot_this_qtr,req_exped_service_tot_pacf_disposed_this_qtr,req_exped_service_tot_disposed_pacf_entitled_to_exped_service,req_exped_service_disposed_entitled_pacf_1_to_3_days,req_exped_service_disposed_entitled_pacf_4_to_7_days,req_exped_service_disposed_entitled_pacf_over_7_days,req_exped_service_tot_nacf_disposed_this_qtr,req_exped_service_tot_disposed_nacf_entitled_to_exped_service,req_exped_service_disposed_entitled_nacf_1_to_3_days,req_exped_service_disposed_entitled_nacf_4_to_7_days,req_exped_service_disposed_entitled_nacf_over_7_days,req_exped_service_tot_disposed_this_qtr,req_exped_service_tot_disposed_entitled_to_exped_service,req_exped_service_disposed_entitled_tot_1_to_3_days,req_exped_service_disposed_entitled_tot_4_to_7_days,req_exped_service_disposed_entitled_tot_over_7_days,req_exped_service_disposed_pacf_not_entitled,req_exped_service_disposed_nacf_not_entitled,req_exped_service_disposed_tot_not_entitled,req_exped_service_disposed_pending_end_qtr,app_compliance_info_pacf_fail_complete_app_process,app_compliance_info_nacf_fail_complete_app_process,app_compliance_info_tot_hh_fail_complete_app_process,year,month,quarter,fulldate
Contra Costa,1.0,1.0,1.0,2.0,3.0,4.0,4.0,41.0,42.0,43.0,4.0,4.0,41.0,42.0,43.0,4.0,4.0,41.0,42.0,43.0,4.0,4.0,4.0,5.0,6.0,6.0,6.0,2012,OCT,4.0,2012-10-01
Imperial,\N,5.0,1.0,\N,\N,\N,414243.0,13.0,47.0,7.0,\N,414243.0,13.0,47.0,7.0,\N,414243.0,13.0,47.0,7.0,\N,\N,\N,\N,\N,\N,\N,2012,OCT,4.0,2012-10-01
Orange,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,2012,OCT,4.0,2012-10-01
Del Norte,1.0,2.0,3.0,4.0,5.0,6.0,9.0,12.0,15.0,18.0,7.0,10.0,13.0,16.0,19.0,8.0,11.0,14.0,17.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,2012,OCT,4.0,2012-10-01
California,32149.0,38907.0,-6758.0,351305.0,383454.0,20597.0,8834.0,8288.0,322.0,224.0,325495.0,127166.0,119451.0,5023.0,2692.0,346092.0,136000.0,127739.0,5345.0,2916.0,11763.0,198329.0,210092.0,37362.0,67.0,2537.0,2604.0,2012,OCT,4.0,2012-10-01
Alameda,0.0,0.0,0.0,9774.0,9774.0,367.0,207.0,144.0,30.0,33.0,9407.0,4147.0,3577.0,406.0,164.0,9774.0,4354.0,3721.0,436.0,197.0,160.0,5260.0,5420.0,0.0,2.0,79.0,81.0,2012,OCT,4.0,2012-10-01
Alpine,0.0,0.0,0.0,24.0,24.0,3.0,2.0,2.0,0.0,0.0,20.0,14.0,13.0,1.0,0.0,23.0,16.0,15.0,1.0,0.0,1.0,6.0,7.0,1.0,0.0,0.0,0.0,2012,OCT,4.0,2012-10-01
Amador,8.0,16.0,-8.0,511.0,519.0,26.0,9.0,9.0,0.0,0.0,482.0,195.0,182.0,6.0,7.0,508.0,204.0,191.0,6.0,7.0,17.0,287.0,304.0,11.0,0.0,0.0,0.0,2012,OCT,4.0,2012-10-01
Butte,31.0,107.0,-76.0,3452.0,3483.0,171.0,55.0,53.0,1.0,1.0,3250.0,1338.0,1278.0,46.0,14.0,3421.0,1393.0,1331.0,47.0,15.0,116.0,1912.0,2028.0,62.0,1.0,30.0,31.0,2012,OCT,4.0,2012-10-01
Calaveras,19.0,19.0,0.0,574.0,593.0,45.0,9.0,9.0,0.0,0.0,546.0,249.0,246.0,2.0,1.0,591.0,258.0,255.0,2.0,1.0,36.0,297.0,333.0,2.0,0.0,1.0,1.0,2012,OCT,4.0,2012-10-01
Colusa,2.0,2.0,0.0,203.0,205.0,16.0,10.0,10.0,0.0,0.0,184.0,80.0,80.0,0.0,0.0,200.0,90.0,90.0,0.0,0.0,6.0,104.0,110.0,5.0,0.0,2.0,2.0,2012,OCT,4.0,2012-10-01
Contra Costa,264.0,281.0,-17.0,4783.0,5047.0,139.0,79.0,60.0,8.0,11.0,4695.0,1415.0,1247.0,130.0,38.0,4834.0,1494.0,1307.0,138.0,49.0,60.0,3280.0,3340.0,213.0,0.0,8.0,8.0,2012,OCT,4.0,2012-10-01
Del Norte,83.0,83.0,0.0,391.0,474.0,23.0,16.0,16.0,0.0,0.0,373.0,257.0,251.0,3.0,3.0,396.0,273.0,267.0,3.0,3.0,7.0,116.0,123.0,78.0,0.0,1.0,1.0,2012,OCT,4.0,2012-10-01
El Dorado,6.0,34.0,-28.0,1702.0,1708.0,85.0,46.0,45.0,1.0,0.0,1603.0,900.0,875.0,21.0,4.0,1688.0,946.0,920.0,22.0,4.0,39.0,703.0,742.0,20.0,0.0,5.0,5.0,2012,OCT,4.0,2012-10-01
Fresno,260.0,257.0,3.0,13511.0,13771.0,238.0,123.0,116.0,5.0,2.0,13314.0,5618.0,5455.0,127.0,36.0,13552.0,5741.0,5571.0,132.0,38.0,115.0,7696.0,7811.0,219.0,2.0,35.0,37.0,2012,OCT,4.0,2012-10-01
Glenn,0.0,2.0,-2.0,265.0,265.0,18.0,8.0,8.0,0.0,0.0,246.0,115.0,114.0,0.0,1.0,264.0,123.0,122.0,0.0,1.0,10.0,131.0,141.0,1.0,0.0,5.0,5.0,2012,OCT,4.0,2012-10-01
Humboldt,12.0,124.0,-112.0,2981.0,2993.0,128.0,55.0,53.0,2.0,0.0,2747.0,1097.0,980.0,65.0,52.0,2875.0,1152.0,1033.0,67.0,52.0,73.0,1650.0,1723.0,118.0,0.0,5.0,5.0,2012,OCT,4.0,2012-10-01
Imperial,13.0,158.0,-145.0,2175.0,2188.0,174.0,86.0,86.0,0.0,0.0,1914.0,867.0,856.0,9.0,2.0,2088.0,953.0,942.0,9.0,2.0,88.0,1047.0,1135.0,100.0,0.0,3.0,3.0,2012,OCT,4.0,2012-10-01
Inyo,2.0,7.0,-5.0,178.0,180.0,12.0,6.0,6.0,0.0,0.0,160.0,97.0,96.0,1.0,0.0,172.0,103.0,102.0,1.0,0.0,6.0,63.0,69.0,8.0,1.0,2.0,3.0,2012,OCT,4.0,2012-10-01
Kern,148.0,495.0,-347.0,14640.0,14788.0,1387.0,517.0,510.0,4.0,3.0,13030.0,4905.0,4713.0,108.0,84.0,14417.0,5422.0,5223.0,112.0,87.0,870.0,8125.0,8995.0,371.0,0.0,2.0,2.0,2012,OCT,4.0,2012-10-01
Kings,257.0,238.0,19.0,2204.0,2461.0,172.0,74.0,66.0,6.0,2.0,1992.0,813.0,739.0,39.0,35.0,2164.0,887.0,805.0,45.0,37.0,98.0,1179.0,1277.0,297.0,0.0,3.0,3.0,2012,OCT,4.0,2012-10-01
Lake,5.0,114.0,-109.0,1155.0,1160.0,65.0,27.0,27.0,0.0,0.0,1014.0,436.0,415.0,14.0,7.0,1079.0,463.0,442.0,14.0,7.0,38.0,578.0,616.0,81.0,1.0,17.0,18.0,2012,OCT,4.0,2012-10-01
Lassen,5.0,24.0,-19.0,446.0,451.0,41.0,7.0,7.0,0.0,0.0,403.0,206.0,185.0,10.0,11.0,444.0,213.0,192.0,10.0,11.0,34.0,197.0,231.0,7.0,0.0,1.0,1.0,2012,OCT,4.0,2012-10-01
Los Angeles,2604.0,5044.0,-2440.0,83280.0,85884.0,5068.0,2756.0,2564.0,128.0,64.0,75465.0,29314.0,27883.0,996.0,435.0,80533.0,32070.0,30447.0,1124.0,499.0,2312.0,46151.0,48463.0,5351.0,39.0,1321.0,1360.0,2012,OCT,4.0,2012-10-01
Madera,10.0,47.0,-37.0,1232.0,1242.0,131.0,103.0,103.0,0.0,0.0,1096.0,823.0,809.0,10.0,4.0,1227.0,926.0,912.0,10.0,4.0,28.0,273.0,301.0,15.0,0.0,4.0,4.0,2012,OCT,4.0,2012-10-01
Marin,22.0,89.0,-67.0,1151.0,1173.0,57.0,19.0,19.0,0.0,0.0,1058.0,463.0,437.0,13.0,13.0,1115.0,482.0,456.0,13.0,13.0,38.0,595.0,633.0,58.0,0.0,2.0,2.0,2012,OCT,4.0,2012-10-01
