county,req_exped_service_pend_prev_qtr,req_exped_service_reported_pending_end_prev_qtr,req_exped_service_adjustment,req_exped_service_rcv_this_qtr,req_exped_service_tot_this_qtr,req_exped_service_tot_pacf_disposed_this_qtr,req_exped_service_tot_disposed_pacf_entitled_to_exped_service,req_exped_service_disposed_entitled_pacf_1_to_3_days,req_exped_service_disposed_entitled_pacf_4_to_7_days,req_exped_service_pacf_4_to_7_days_client_delay,req_exped_service_pacf_4_to_7_days_county_delay,req_exped_service_disposed_entitled_pacf_over_7_days,req_exped_service_pacf_over_7_days_client_delay,req_exped_service_pacf_over_7_days_county_delay,req_exped_service_tot_nacf_disposed_this_qtr,req_exped_service_tot_disposed_nacf_entitled_to_exped_service,req_exped_service_disposed_entitled_nacf_1_to_3_days,req_exped_service_disposed_entitled_nacf_4_to_7_days,req_exped_service_nacf_4_to_7_days_client_delay,req_exped_service_nacf_4_to_7_days_county_delay,req_exped_service_disposed_entitled_nacf_over_7_days,req_exped_service_nacf_over_7_days_client_delay,req_exped_service_nacf_over_7_days_county_delay,req_exped_service_tot_disposed_this_qtr,req_exped_service_tot_disposed_entitled_to_exped_service,req_exped_service_disposed_entitled_tot_1_to_3_days,req_exped_service_disposed_entitled_tot_4_to_7_days,req_exped_service_tot_4_to_7_days_client_delay,req_exped_service_tot_4_to_7_days_county_delay,req_exped_service_disposed_entitled_tot_over_7_days,req_exped_service_tot_over_7_days_client_delay,req_exped_service_tot_over_7_days_county_delay,req_exped_service_disposed_pacf_not_entitled,req_exped_service_disposed_nacf_not_entitled,req_exped_service_disposed_tot_not_entitled,req_exped_service_disposed_pending_end_qtr,app_compliance_info_pacf_fail_complete_app_process,app_compliance_info_nacf_fail_complete_app_process,app_compliance_info_tot_hh_fail_complete_app_process,year,month,quarter,fulldate
California,32329.0,36222.0,-3893.0,365746.0,398075.0,13341.0,7267.0,6645.0,330.0,199.0,131.0,292.0,196.0,96.0,347303.0,133637.0,125218.0,4780.0,1969.0,2811.0,3639.0,1779.0,1860.0,360644.0,140904.0,131863.0,5110.0,2168.0,2942.0,3931.0,1975.0,1956.0,6074.0,213666.0,219740.0,37431.0,55.0,2285.0,2340.0,2015,JAN,1.0,2015-01-01
Alameda,0.0,0.0,0.0,11722.0,11722.0,407.0,224.0,177.0,28.0,0.0,28.0,19.0,0.0,19.0,11315.0,4246.0,3640.0,384.0,0.0,384.0,222.0,0.0,222.0,11722.0,4470.0,3817.0,412.0,0.0,412.0,241.0,0.0,241.0,183.0,7069.0,7252.0,0.0,3.0,198.0,201.0,2015,JAN,1.0,2015-01-01
Alpine,5.0,5.0,0.0,17.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,7.0,3.0,2.0,2.0,0.0,2.0,2.0,0.0,21.0,7.0,3.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,14.0,14.0,1.0,0.0,0.0,0.0,2015,JAN,1.0,2015-01-01
Amador,46.0,46.0,0.0,511.0,557.0,18.0,10.0,8.0,1.0,0.0,1.0,1.0,0.0,1.0,502.0,213.0,202.0,2.0,1.0,1.0,9.0,7.0,2.0,520.0,223.0,210.0,3.0,1.0,2.0,10.0,7.0,3.0,8.0,289.0,297.0,37.0,0.0,6.0,6.0,2015,JAN,1.0,2015-01-01
Butte,480.0,482.0,-2.0,4359.0,4839.0,98.0,45.0,43.0,1.0,0.0,1.0,1.0,1.0,0.0,4109.0,1633.0,1512.0,81.0,6.0,75.0,40.0,14.0,26.0,4207.0,1678.0,1555.0,82.0,6.0,76.0,41.0,15.0,26.0,53.0,2476.0,2529.0,632.0,0.0,2.0,2.0,2015,JAN,1.0,2015-01-01
Calaveras,19.0,19.0,0.0,664.0,683.0,21.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,641.0,243.0,232.0,7.0,4.0,3.0,4.0,1.0,3.0,662.0,251.0,240.0,7.0,4.0,3.0,4.0,1.0,3.0,13.0,398.0,411.0,21.0,0.0,0.0,0.0,2015,JAN,1.0,2015-01-01
Colusa,92.0,92.0,0.0,216.0,308.0,10.0,8.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,259.0,64.0,58.0,2.0,1.0,1.0,4.0,2.0,2.0,269.0,72.0,65.0,3.0,1.0,2.0,4.0,2.0,2.0,2.0,195.0,197.0,39.0,0.0,2.0,2.0,2015,JAN,1.0,2015-01-01
Contra Costa,224.0,191.0,33.0,5520.0,5744.0,142.0,68.0,59.0,4.0,0.0,4.0,5.0,0.0,5.0,5352.0,1697.0,1574.0,106.0,0.0,106.0,17.0,0.0,17.0,5494.0,1765.0,1633.0,110.0,0.0,110.0,22.0,0.0,22.0,74.0,3655.0,3729.0,250.0,0.0,3.0,3.0,2015,JAN,1.0,2015-01-01
Del Norte,162.0,162.0,0.0,556.0,718.0,21.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,505.0,170.0,163.0,4.0,2.0,2.0,3.0,3.0,0.0,526.0,178.0,171.0,4.0,2.0,2.0,3.0,3.0,0.0,13.0,335.0,348.0,192.0,0.0,0.0,0.0,2015,JAN,1.0,2015-01-01
El Dorado,125.0,132.0,-7.0,2072.0,2197.0,52.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1951.0,778.0,747.0,18.0,3.0,15.0,13.0,9.0,4.0,2003.0,798.0,767.0,18.0,3.0,15.0,13.0,9.0,4.0,32.0,1173.0,1205.0,194.0,0.0,5.0,5.0,2015,JAN,1.0,2015-01-01
Fresno,287.0,205.0,82.0,11150.0,11437.0,182.0,81.0,80.0,1.0,0.0,1.0,0.0,0.0,0.0,11049.0,4584.0,4238.0,321.0,0.0,321.0,25.0,0.0,25.0,11231.0,4665.0,4318.0,322.0,0.0,322.0,25.0,0.0,25.0,101.0,6465.0,6566.0,206.0,0.0,66.0,66.0,2015,JAN,1.0,2015-01-01
Glenn,30.0,30.0,0.0,364.0,394.0,21.0,8.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,343.0,129.0,128.0,1.0,1.0,0.0,0.0,0.0,0.0,364.0,137.0,135.0,2.0,2.0,0.0,0.0,0.0,0.0,13.0,214.0,227.0,30.0,0.0,0.0,0.0,2015,JAN,1.0,2015-01-01
Humboldt,206.0,225.0,-19.0,3611.0,3817.0,82.0,58.0,56.0,1.0,0.0,1.0,1.0,0.0,1.0,3465.0,1232.0,1130.0,57.0,0.0,57.0,45.0,0.0,45.0,3547.0,1290.0,1186.0,58.0,0.0,58.0,46.0,0.0,46.0,24.0,2233.0,2257.0,270.0,0.0,4.0,4.0,2015,JAN,1.0,2015-01-01
Imperial,463.0,482.0,-19.0,3416.0,3879.0,158.0,65.0,63.0,2.0,1.0,1.0,0.0,0.0,0.0,3263.0,1025.0,897.0,80.0,34.0,46.0,48.0,26.0,22.0,3421.0,1090.0,960.0,82.0,35.0,47.0,48.0,26.0,22.0,93.0,2238.0,2331.0,458.0,0.0,2.0,2.0,2015,JAN,1.0,2015-01-01
Inyo,36.0,36.0,0.0,279.0,315.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,289.0,117.0,111.0,6.0,5.0,1.0,0.0,0.0,0.0,296.0,118.0,112.0,6.0,5.0,1.0,0.0,0.0,0.0,6.0,172.0,178.0,19.0,0.0,0.0,0.0,2015,JAN,1.0,2015-01-01
Kern,2723.0,2734.0,-11.0,17553.0,20276.0,745.0,449.0,419.0,19.0,8.0,11.0,11.0,9.0,2.0,16890.0,6160.0,5631.0,328.0,166.0,162.0,201.0,139.0,62.0,17635.0,6609.0,6050.0,347.0,174.0,173.0,212.0,148.0,64.0,296.0,10730.0,11026.0,2641.0,0.0,4.0,4.0,2015,JAN,1.0,2015-01-01
Kings,442.0,442.0,0.0,2654.0,3096.0,119.0,53.0,52.0,1.0,0.0,1.0,0.0,0.0,0.0,2575.0,963.0,927.0,22.0,10.0,12.0,14.0,9.0,5.0,2694.0,1016.0,979.0,23.0,10.0,13.0,14.0,9.0,5.0,66.0,1612.0,1678.0,402.0,0.0,2.0,2.0,2015,JAN,1.0,2015-01-01
Lake,139.0,140.0,-1.0,1380.0,1519.0,31.0,12.0,11.0,0.0,0.0,0.0,1.0,0.0,1.0,1355.0,578.0,547.0,19.0,3.0,16.0,12.0,2.0,10.0,1386.0,590.0,558.0,19.0,3.0,16.0,13.0,2.0,11.0,19.0,777.0,796.0,133.0,0.0,5.0,5.0,2015,JAN,1.0,2015-01-01
