county,req_exped_service_pend_prev_qtr,req_exped_service_reported_pending_end_prev_qtr,req_exped_service_adjustment,req_exped_service_rcv_this_qtr,req_exped_service_tot_this_qtr,req_exped_service_tot_pacf_disposed_this_qtr,req_exped_service_tot_disposed_pacf_entitled_to_exped_service,req_exped_service_disposed_entitled_pacf_1_to_3_days,req_exped_service_disposed_entitled_pacf_4_to_7_days,req_exped_service_pacf_4_to_7_days_client_delay,req_exped_service_pacf_4_to_7_days_county_delay,req_exped_service_disposed_entitled_pacf_over_7_days,req_exped_service_pacf_over_7_days_client_delay,req_exped_service_pacf_over_7_days_county_delay,req_exped_service_tot_nacf_disposed_this_qtr,req_exped_service_tot_disposed_nacf_entitled_to_exped_service,req_exped_service_disposed_entitled_nacf_1_to_3_days,req_exped_service_disposed_entitled_nacf_4_to_7_days,req_exped_service_nacf_4_to_7_days_client_delay,req_exped_service_nacf_4_to_7_days_county_delay,req_exped_service_disposed_entitled_nacf_over_7_days,req_exped_service_nacf_over_7_days_client_delay,req_exped_service_nacf_over_7_days_county_delay,req_exped_service_tot_disposed_this_qtr,req_exped_service_tot_disposed_entitled_to_exped_service,req_exped_service_disposed_entitled_tot_1_to_3_days,req_exped_service_disposed_entitled_tot_4_to_7_days,req_exped_service_tot_4_to_7_days_client_delay,req_exped_service_tot_4_to_7_days_county_delay,req_exped_service_disposed_entitled_tot_over_7_days,req_exped_service_tot_over_7_days_client_delay,req_exped_service_tot_over_7_days_county_delay,req_exped_service_disposed_pacf_not_entitled,req_exped_service_disposed_nacf_not_entitled,req_exped_service_disposed_tot_not_entitled,req_exped_service_disposed_pending_end_qtr,app_compliance_info_pacf_fail_complete_app_process,app_compliance_info_nacf_fail_complete_app_process,app_compliance_info_tot_hh_fail_complete_app_process,year,month,quarter,fulldate
California,30002.0,34100.0,-4098.0,340377.0,370379.0,12938.0,7093.0,6121.0,374.0,203.0,171.0,598.0,284.0,314.0,321218.0,128718.0,120678.0,4513.0,1714.0,2799.0,3527.0,1455.0,2072.0,334156.0,135811.0,126799.0,4887.0,1917.0,2970.0,4125.0,1739.0,2386.0,5845.0,192500.0,198345.0,36223.0,29.0,1780.0,1809.0,2016,JAN,1.0,2016-01-01
Alameda,0.0,0.0,0.0,12515.0,12515.0,325.0,156.0,141.0,12.0,0.0,12.0,3.0,0.0,3.0,12190.0,4341.0,3896.0,305.0,0.0,305.0,140.0,0.0,140.0,12515.0,4497.0,4037.0,317.0,0.0,317.0,143.0,0.0,143.0,169.0,7849.0,8018.0,0.0,3.0,114.0,117.0,2016,JAN,1.0,2016-01-01
Alpine,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,9.0,4.0,4.0,4.0,0.0,1.0,1.0,0.0,13.0,9.0,4.0,4.0,4.0,0.0,1.0,1.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,2016,JAN,1.0,2016-01-01
Amador,33.0,41.0,-8.0,420.0,453.0,9.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,405.0,192.0,187.0,4.0,1.0,3.0,1.0,1.0,0.0,414.0,196.0,191.0,4.0,1.0,3.0,1.0,1.0,0.0,5.0,213.0,218.0,39.0,0.0,0.0,0.0,2016,JAN,1.0,2016-01-01
Butte,484.0,490.0,-6.0,4464.0,4948.0,99.0,39.0,36.0,3.0,0.0,3.0,0.0,0.0,0.0,4240.0,1605.0,1523.0,64.0,13.0,51.0,18.0,4.0,14.0,4339.0,1644.0,1559.0,67.0,13.0,54.0,18.0,4.0,14.0,60.0,2635.0,2695.0,609.0,0.0,24.0,24.0,2016,JAN,1.0,2016-01-01
Calaveras,20.0,20.0,0.0,549.0,569.0,9.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,534.0,242.0,224.0,12.0,9.0,3.0,6.0,1.0,5.0,543.0,248.0,230.0,12.0,9.0,3.0,6.0,1.0,5.0,3.0,292.0,295.0,26.0,0.0,0.0,0.0,2016,JAN,1.0,2016-01-01
Colusa,60.0,60.0,0.0,207.0,267.0,6.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,227.0,64.0,62.0,1.0,0.0,1.0,1.0,1.0,0.0,233.0,68.0,66.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,163.0,165.0,34.0,0.0,0.0,0.0,2016,JAN,1.0,2016-01-01
Contra Costa,198.0,198.0,0.0,4658.0,4856.0,123.0,71.0,70.0,1.0,0.0,1.0,0.0,0.0,0.0,4491.0,1662.0,1626.0,27.0,0.0,27.0,9.0,0.0,9.0,4614.0,1733.0,1696.0,28.0,0.0,28.0,9.0,0.0,9.0,52.0,2829.0,2881.0,242.0,0.0,9.0,9.0,2016,JAN,1.0,2016-01-01
Del Norte,172.0,172.0,0.0,563.0,735.0,29.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,549.0,196.0,184.0,8.0,4.0,4.0,4.0,0.0,4.0,578.0,215.0,203.0,8.0,4.0,4.0,4.0,0.0,4.0,10.0,353.0,363.0,157.0,0.0,1.0,1.0,2016,JAN,1.0,2016-01-01
El Dorado,121.0,132.0,-11.0,1908.0,2029.0,50.0,29.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,1805.0,830.0,792.0,22.0,11.0,11.0,16.0,11.0,5.0,1855.0,859.0,821.0,22.0,11.0,11.0,16.0,11.0,5.0,21.0,975.0,996.0,174.0,0.0,7.0,7.0,2016,JAN,1.0,2016-01-01
Fresno,116.0,101.0,15.0,10214.0,10330.0,128.0,55.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,10080.0,4390.0,3991.0,361.0,0.0,361.0,38.0,0.0,38.0,10208.0,4445.0,4046.0,361.0,0.0,361.0,38.0,0.0,38.0,73.0,5690.0,5763.0,122.0,2.0,73.0,75.0,2016,JAN,1.0,2016-01-01
Glenn,25.0,25.0,0.0,386.0,411.0,24.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,364.0,128.0,125.0,3.0,2.0,1.0,0.0,0.0,0.0,388.0,136.0,133.0,3.0,2.0,1.0,0.0,0.0,0.0,16.0,236.0,252.0,23.0,0.0,2.0,2.0,2016,JAN,1.0,2016-01-01
Humboldt,194.0,212.0,-18.0,3327.0,3521.0,69.0,38.0,37.0,1.0,1.0,0.0,0.0,0.0,0.0,3209.0,1214.0,1172.0,31.0,7.0,24.0,11.0,3.0,8.0,3278.0,1252.0,1209.0,32.0,8.0,24.0,11.0,3.0,8.0,31.0,1995.0,2026.0,243.0,0.0,57.0,57.0,2016,JAN,1.0,2016-01-01
