county,req_exped_service_pend_prev_qtr,req_exped_service_reported_pending_end_prev_qtr,req_exped_service_adjustment,req_exped_service_rcv_this_qtr,req_exped_service_tot_this_qtr,req_exped_service_tot_pacf_disposed_this_qtr,req_exped_service_tot_disposed_pacf_entitled_to_exped_service,req_exped_service_disposed_entitled_pacf_1_to_3_days,req_exped_service_disposed_entitled_pacf_4_to_7_days,req_exped_service_pacf_4_to_7_days_client_delay,req_exped_service_pacf_4_to_7_days_county_delay,req_exped_service_disposed_entitled_pacf_over_7_days,req_exped_service_pacf_over_7_days_client_delay,req_exped_service_pacf_over_7_days_county_delay,req_exped_service_tot_nacf_disposed_this_qtr,req_exped_service_tot_disposed_nacf_entitled_to_exped_service,req_exped_service_disposed_entitled_nacf_1_to_3_days,req_exped_service_disposed_entitled_nacf_4_to_7_days,req_exped_service_nacf_4_to_7_days_client_delay,req_exped_service_nacf_4_to_7_days_county_delay,req_exped_service_disposed_entitled_nacf_over_7_days,req_exped_service_nacf_over_7_days_client_delay,req_exped_service_nacf_over_7_days_county_delay,req_exped_service_tot_disposed_this_qtr,req_exped_service_tot_disposed_entitled_to_exped_service,req_exped_service_disposed_entitled_tot_1_to_3_days,req_exped_service_disposed_entitled_tot_4_to_7_days,req_exped_service_tot_4_to_7_days_client_delay,req_exped_service_tot_4_to_7_days_county_delay,req_exped_service_disposed_entitled_tot_over_7_days,req_exped_service_tot_over_7_days_client_delay,req_exped_service_tot_over_7_days_county_delay,req_exped_service_disposed_pacf_not_entitled,req_exped_service_disposed_nacf_not_entitled,req_exped_service_disposed_tot_not_entitled,req_exped_service_disposed_pending_end_qtr,app_compliance_info_pacf_fail_complete_app_process,app_compliance_info_nacf_fail_complete_app_process,app_compliance_info_tot_hh_fail_complete_app_process,year,month,quarter,fulldate
Humboldt,388.0,410.0,-22.0,3410.0,3798.0,55.0,38.0,36.0,1.0,1.0,0.0,1.0,0.0,1.0,3531.0,1307.0,1253.0,28.0,11.0,17.0,26.0,8.0,18.0,3586.0,1345.0,1289.0,29.0,12.0,17.0,27.0,8.0,19.0,17.0,2224.0,2241.0,212.0,0.0,32.0,32.0,2015,OCT,4.0,2015-10-01
Imperial,473.0,473.0,0.0,3184.0,3657.0,147.0,63.0,57.0,5.0,4.0,1.0,1.0,0.0,1.0,3260.0,1099.0,1039.0,36.0,20.0,16.0,24.0,15.0,9.0,3407.0,1162.0,1096.0,41.0,24.0,17.0,25.0,15.0,10.0,84.0,2161.0,2245.0,250.0,0.0,4.0,4.0,2015,OCT,4.0,2015-10-01
Inyo,22.0,22.0,0.0,263.0,285.0,18.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,248.0,111.0,105.0,6.0,5.0,1.0,0.0,0.0,0.0,266.0,116.0,110.0,6.0,5.0,1.0,0.0,0.0,0.0,13.0,137.0,150.0,19.0,0.0,0.0,0.0,2015,OCT,4.0,2015-10-01
Kern,2500.0,2512.0,-12.0,16813.0,19313.0,716.0,399.0,380.0,13.0,5.0,8.0,6.0,3.0,3.0,16158.0,6346.0,6006.0,218.0,115.0,103.0,122.0,65.0,57.0,16874.0,6745.0,6386.0,231.0,120.0,111.0,128.0,68.0,60.0,317.0,9812.0,10129.0,2439.0,0.0,4.0,4.0,2015,OCT,4.0,2015-10-01
Kings,387.0,387.0,0.0,2529.0,2916.0,134.0,39.0,35.0,1.0,1.0,0.0,3.0,3.0,0.0,2453.0,966.0,930.0,13.0,8.0,5.0,23.0,14.0,9.0,2587.0,1005.0,965.0,14.0,9.0,5.0,26.0,17.0,9.0,95.0,1487.0,1582.0,329.0,0.0,3.0,3.0,2015,OCT,4.0,2015-10-01
Lake,231.0,234.0,-3.0,2231.0,2462.0,39.0,13.0,12.0,0.0,0.0,0.0,1.0,0.0,1.0,2311.0,719.0,662.0,38.0,8.0,30.0,19.0,6.0,13.0,2350.0,732.0,674.0,38.0,8.0,30.0,20.0,6.0,14.0,26.0,1592.0,1618.0,112.0,0.0,1.0,1.0,2015,OCT,4.0,2015-10-01
Lassen,94.0,95.0,-1.0,342.0,436.0,14.0,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,355.0,146.0,118.0,14.0,2.0,12.0,14.0,3.0,11.0,369.0,149.0,120.0,15.0,2.0,13.0,14.0,3.0,11.0,11.0,209.0,220.0,67.0,0.0,0.0,0.0,2015,OCT,4.0,2015-10-01
Los Angeles,6416.0,9660.0,-3244.0,80849.0,87265.0,5119.0,3261.0,2654.0,251.0,220.0,31.0,356.0,264.0,92.0,73408.0,33540.0,31274.0,1189.0,1093.0,96.0,1077.0,787.0,290.0,78527.0,36801.0,33928.0,1440.0,1313.0,127.0,1433.0,1051.0,382.0,1858.0,39868.0,41726.0,8738.0,35.0,1010.0,1045.0,2015,OCT,4.0,2015-10-01
Madera,256.0,258.0,-2.0,2378.0,2634.0,93.0,45.0,42.0,1.0,1.0,0.0,2.0,1.0,1.0,2246.0,927.0,898.0,17.0,10.0,7.0,12.0,8.0,4.0,2339.0,972.0,940.0,18.0,11.0,7.0,14.0,9.0,5.0,48.0,1319.0,1367.0,295.0,0.0,0.0,0.0,2015,OCT,4.0,2015-10-01
Marin,164.0,168.0,-4.0,1373.0,1537.0,29.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1391.0,534.0,512.0,13.0,6.0,7.0,9.0,4.0,5.0,1420.0,548.0,526.0,13.0,6.0,7.0,9.0,4.0,5.0,15.0,857.0,872.0,117.0,0.0,1.0,1.0,2015,OCT,4.0,2015-10-01
