county,req_exped_service_pend_prev_qtr,req_exped_service_reported_pending_end_prev_qtr,req_exped_service_adjustment,req_exped_service_rcv_this_qtr,req_exped_service_tot_this_qtr,req_exped_service_tot_pacf_disposed_this_qtr,req_exped_service_tot_disposed_pacf_entitled_to_exped_service,req_exped_service_disposed_entitled_pacf_1_to_3_days,req_exped_service_disposed_entitled_pacf_4_to_7_days,req_exped_service_pacf_4_to_7_days_client_delay,req_exped_service_pacf_4_to_7_days_county_delay,req_exped_service_disposed_entitled_pacf_over_7_days,req_exped_service_pacf_over_7_days_client_delay,req_exped_service_pacf_over_7_days_county_delay,req_exped_service_tot_nacf_disposed_this_qtr,req_exped_service_tot_disposed_nacf_entitled_to_exped_service,req_exped_service_disposed_entitled_nacf_1_to_3_days,req_exped_service_disposed_entitled_nacf_4_to_7_days,req_exped_service_nacf_4_to_7_days_client_delay,req_exped_service_nacf_4_to_7_days_county_delay,req_exped_service_disposed_entitled_nacf_over_7_days,req_exped_service_nacf_over_7_days_client_delay,req_exped_service_nacf_over_7_days_county_delay,req_exped_service_tot_disposed_this_qtr,req_exped_service_tot_disposed_entitled_to_exped_service,req_exped_service_disposed_entitled_tot_1_to_3_days,req_exped_service_disposed_entitled_tot_4_to_7_days,req_exped_service_tot_4_to_7_days_client_delay,req_exped_service_tot_4_to_7_days_county_delay,req_exped_service_disposed_entitled_tot_over_7_days,req_exped_service_tot_over_7_days_client_delay,req_exped_service_tot_over_7_days_county_delay,req_exped_service_disposed_pacf_not_entitled,req_exped_service_disposed_nacf_not_entitled,req_exped_service_disposed_tot_not_entitled,req_exped_service_disposed_pending_end_qtr,app_compliance_info_pacf_fail_complete_app_process,app_compliance_info_nacf_fail_complete_app_process,app_compliance_info_tot_hh_fail_complete_app_process,year,month,quarter,fulldate
Riverside,2147.0,2389.0,-242.0,37018.0,39165.0,2378.0,1101.0,1078.0,14.0,0.0,14.0,9.0,0.0,9.0,33982.0,11976.0,11259.0,245.0,0.0,245.0,472.0,0.0,472.0,36360.0,13077.0,12337.0,259.0,0.0,259.0,481.0,0.0,481.0,1277.0,22006.0,23283.0,2805.0,5.0,234.0,239.0,2013,JUL,3.0,2013-07-01
Sacramento,5707.0,5707.0,0.0,17735.0,23442.0,381.0,112.0,111.0,0.0,0.0,0.0,1.0,0.0,1.0,17212.0,4078.0,4013.0,44.0,0.0,44.0,21.0,0.0,21.0,17593.0,4190.0,4124.0,44.0,0.0,44.0,22.0,0.0,22.0,269.0,13134.0,13403.0,5849.0,0.0,31.0,31.0,2013,JUL,3.0,2013-07-01
San Benito,29.0,34.0,-5.0,766.0,795.0,31.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,698.0,208.0,202.0,4.0,0.0,4.0,2.0,0.0,2.0,729.0,220.0,214.0,4.0,0.0,4.0,2.0,0.0,2.0,19.0,490.0,509.0,66.0,0.0,0.0,0.0,2013,JUL,3.0,2013-07-01
San Bernardino,1556.0,1777.0,-221.0,43315.0,44871.0,2311.0,776.0,710.0,36.0,11.0,25.0,30.0,12.0,18.0,40831.0,16152.0,13875.0,1209.0,371.0,838.0,1068.0,361.0,707.0,43142.0,16928.0,14585.0,1245.0,382.0,863.0,1098.0,373.0,725.0,1535.0,24679.0,26214.0,1729.0,3.0,97.0,100.0,2013,JUL,3.0,2013-07-01
San Diego,304.0,13994.0,-13690.0,25846.0,26150.0,510.0,326.0,283.0,26.0,0.0,26.0,17.0,0.0,17.0,25139.0,8119.0,7412.0,519.0,0.0,519.0,188.0,0.0,188.0,25649.0,8445.0,7695.0,545.0,0.0,545.0,205.0,0.0,205.0,184.0,17020.0,17204.0,501.0,5.0,197.0,202.0,2013,JUL,3.0,2013-07-01
San Francisco,469.0,475.0,-6.0,5300.0,5769.0,188.0,164.0,156.0,2.0,0.0,2.0,6.0,0.0,6.0,5015.0,2109.0,1702.0,326.0,0.0,326.0,81.0,0.0,81.0,5203.0,2273.0,1858.0,328.0,0.0,328.0,87.0,0.0,87.0,24.0,2906.0,2930.0,566.0,0.0,3.0,3.0,2013,JUL,3.0,2013-07-01
San Joaquin,1985.0,2052.0,-67.0,6476.0,8461.0,625.0,403.0,391.0,4.0,2.0,2.0,8.0,3.0,5.0,5872.0,3182.0,2897.0,119.0,40.0,79.0,166.0,70.0,96.0,6497.0,3585.0,3288.0,123.0,42.0,81.0,174.0,73.0,101.0,222.0,2690.0,2912.0,1964.0,0.0,0.0,0.0,2013,JUL,3.0,2013-07-01
San Luis Obispo,307.0,307.0,0.0,1861.0,2168.0,50.0,35.0,30.0,2.0,0.0,2.0,3.0,0.0,3.0,1757.0,623.0,569.0,29.0,0.0,29.0,25.0,0.0,25.0,1807.0,658.0,599.0,31.0,0.0,31.0,28.0,0.0,28.0,15.0,1134.0,1149.0,361.0,0.0,14.0,14.0,2013,JUL,3.0,2013-07-01
San Mateo,2896.0,2896.0,0.0,3850.0,6746.0,54.0,39.0,30.0,6.0,0.0,6.0,3.0,0.0,3.0,3781.0,1284.0,1033.0,180.0,0.0,180.0,71.0,0.0,71.0,3835.0,1323.0,1063.0,186.0,0.0,186.0,74.0,0.0,74.0,15.0,2497.0,2512.0,2911.0,1.0,38.0,39.0,2013,JUL,3.0,2013-07-01
Santa Barbara,37.0,37.0,0.0,1282.0,1319.0,32.0,22.0,16.0,5.0,0.0,5.0,1.0,0.0,1.0,1242.0,684.0,595.0,69.0,0.0,69.0,20.0,0.0,20.0,1274.0,706.0,611.0,74.0,0.0,74.0,21.0,0.0,21.0,10.0,558.0,568.0,45.0,0.0,13.0,13.0,2013,JUL,3.0,2013-07-01
