county,req_exped_service_pend_prev_qtr,req_exped_service_reported_pending_end_prev_qtr,req_exped_service_adjustment,req_exped_service_rcv_this_qtr,req_exped_service_tot_this_qtr,req_exped_service_tot_pacf_disposed_this_qtr,req_exped_service_tot_disposed_pacf_entitled_to_exped_service,req_exped_service_disposed_entitled_pacf_1_to_3_days,req_exped_service_disposed_entitled_pacf_4_to_7_days,req_exped_service_pacf_4_to_7_days_client_delay,req_exped_service_pacf_4_to_7_days_county_delay,req_exped_service_disposed_entitled_pacf_over_7_days,req_exped_service_pacf_over_7_days_client_delay,req_exped_service_pacf_over_7_days_county_delay,req_exped_service_tot_nacf_disposed_this_qtr,req_exped_service_tot_disposed_nacf_entitled_to_exped_service,req_exped_service_disposed_entitled_nacf_1_to_3_days,req_exped_service_disposed_entitled_nacf_4_to_7_days,req_exped_service_nacf_4_to_7_days_client_delay,req_exped_service_nacf_4_to_7_days_county_delay,req_exped_service_disposed_entitled_nacf_over_7_days,req_exped_service_nacf_over_7_days_client_delay,req_exped_service_nacf_over_7_days_county_delay,req_exped_service_tot_disposed_this_qtr,req_exped_service_tot_disposed_entitled_to_exped_service,req_exped_service_disposed_entitled_tot_1_to_3_days,req_exped_service_disposed_entitled_tot_4_to_7_days,req_exped_service_tot_4_to_7_days_client_delay,req_exped_service_tot_4_to_7_days_county_delay,req_exped_service_disposed_entitled_tot_over_7_days,req_exped_service_tot_over_7_days_client_delay,req_exped_service_tot_over_7_days_county_delay,req_exped_service_disposed_pacf_not_entitled,req_exped_service_disposed_nacf_not_entitled,req_exped_service_disposed_tot_not_entitled,req_exped_service_disposed_pending_end_qtr,app_compliance_info_pacf_fail_complete_app_process,app_compliance_info_nacf_fail_complete_app_process,app_compliance_info_tot_hh_fail_complete_app_process,year,month,quarter,fulldate
San Benito,71.0,75.0,-4.0,616.0,687.0,12.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,604.0,238.0,221.0,11.0,8.0,3.0,6.0,5.0,1.0,616.0,242.0,225.0,11.0,8.0,3.0,6.0,5.0,1.0,8.0,366.0,374.0,71.0,0.0,0.0,0.0,2015,APR,2.0,2015-04-01
San Bernardino,2838.0,2883.0,-45.0,38155.0,40993.0,1313.0,649.0,599.0,27.0,16.0,11.0,23.0,16.0,7.0,36094.0,17054.0,16426.0,430.0,218.0,212.0,198.0,130.0,68.0,37407.0,17703.0,17025.0,457.0,234.0,223.0,221.0,146.0,75.0,664.0,19040.0,19704.0,3586.0,0.0,84.0,84.0,2015,APR,2.0,2015-04-01
San Diego,375.0,461.0,-86.0,23114.0,23489.0,454.0,190.0,185.0,5.0,0.0,5.0,0.0,0.0,0.0,22621.0,7643.0,7514.0,92.0,0.0,92.0,37.0,0.0,37.0,23075.0,7833.0,7699.0,97.0,0.0,97.0,37.0,0.0,37.0,264.0,14978.0,15242.0,414.0,1.0,245.0,246.0,2015,APR,2.0,2015-04-01
San Francisco,567.0,541.0,26.0,5349.0,5916.0,221.0,153.0,138.0,4.0,0.0,4.0,11.0,0.0,11.0,5053.0,2199.0,1965.0,105.0,0.0,105.0,129.0,0.0,129.0,5274.0,2352.0,2103.0,109.0,0.0,109.0,140.0,0.0,140.0,68.0,2854.0,2922.0,642.0,0.0,6.0,6.0,2015,APR,2.0,2015-04-01
San Joaquin,1173.0,1204.0,-31.0,9482.0,10655.0,415.0,218.0,202.0,8.0,7.0,1.0,8.0,5.0,3.0,8887.0,3335.0,3005.0,180.0,125.0,55.0,150.0,120.0,30.0,9302.0,3553.0,3207.0,188.0,132.0,56.0,158.0,125.0,33.0,197.0,5552.0,5749.0,1353.0,0.0,0.0,0.0,2015,APR,2.0,2015-04-01
San Luis Obispo,294.0,294.0,0.0,1103.0,1397.0,56.0,31.0,26.0,3.0,0.0,3.0,2.0,0.0,2.0,1036.0,531.0,498.0,19.0,0.0,19.0,14.0,0.0,14.0,1092.0,562.0,524.0,22.0,0.0,22.0,16.0,0.0,16.0,25.0,505.0,530.0,305.0,0.0,7.0,7.0,2015,APR,2.0,2015-04-01
San Mateo,2449.0,2449.0,0.0,4161.0,6610.0,58.0,22.0,21.0,1.0,0.0,1.0,0.0,0.0,0.0,4085.0,1071.0,985.0,58.0,0.0,58.0,28.0,0.0,28.0,4143.0,1093.0,1006.0,59.0,0.0,59.0,28.0,0.0,28.0,36.0,3014.0,3050.0,2467.0,0.0,35.0,35.0,2015,APR,2.0,2015-04-01
Santa Barbara,45.0,36.0,9.0,1461.0,1506.0,95.0,67.0,63.0,2.0,0.0,2.0,2.0,0.0,2.0,1364.0,726.0,667.0,45.0,0.0,45.0,14.0,0.0,14.0,1459.0,793.0,730.0,47.0,0.0,47.0,16.0,0.0,16.0,28.0,638.0,666.0,47.0,0.0,8.0,8.0,2015,APR,2.0,2015-04-01
Santa Clara,545.0,526.0,19.0,4593.0,5138.0,59.0,11.0,9.0,1.0,0.0,1.0,1.0,0.0,1.0,4510.0,1274.0,1241.0,26.0,6.0,20.0,7.0,2.0,5.0,4569.0,1285.0,1250.0,27.0,6.0,21.0,8.0,2.0,6.0,48.0,3236.0,3284.0,569.0,0.0,2.0,2.0,2015,APR,2.0,2015-04-01
Santa Cruz,317.0,317.0,0.0,2533.0,2850.0,37.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2504.0,463.0,449.0,9.0,9.0,0.0,5.0,5.0,0.0,2541.0,480.0,466.0,9.0,9.0,0.0,5.0,5.0,0.0,20.0,2041.0,2061.0,309.0,0.0,3.0,3.0,2015,APR,2.0,2015-04-01
