county,req_exped_service_pend_prev_qtr,req_exped_service_reported_pending_end_prev_qtr,req_exped_service_adjustment,req_exped_service_rcv_this_qtr,req_exped_service_tot_this_qtr,req_exped_service_tot_pacf_disposed_this_qtr,req_exped_service_tot_disposed_pacf_entitled_to_exped_service,req_exped_service_disposed_entitled_pacf_1_to_3_days,req_exped_service_disposed_entitled_pacf_4_to_7_days,req_exped_service_disposed_entitled_pacf_over_7_days,req_exped_service_tot_nacf_disposed_this_qtr,req_exped_service_tot_disposed_nacf_entitled_to_exped_service,req_exped_service_disposed_entitled_nacf_1_to_3_days,req_exped_service_disposed_entitled_nacf_4_to_7_days,req_exped_service_disposed_entitled_nacf_over_7_days,req_exped_service_tot_disposed_this_qtr,req_exped_service_tot_disposed_entitled_to_exped_service,req_exped_service_disposed_entitled_tot_1_to_3_days,req_exped_service_disposed_entitled_tot_4_to_7_days,req_exped_service_disposed_entitled_tot_over_7_days,req_exped_service_disposed_pacf_not_entitled,req_exped_service_disposed_nacf_not_entitled,req_exped_service_disposed_tot_not_entitled,req_exped_service_disposed_pending_end_qtr,app_compliance_info_pacf_fail_complete_app_process,app_compliance_info_nacf_fail_complete_app_process,app_compliance_info_tot_hh_fail_complete_app_process,year,month,quarter,fulldate
California,35367.0,39464.0,-4097.0,343419.0,378786.0,17034.0,8521.0,7996.0,335.0,190.0,319235.0,128603.0,121318.0,4896.0,2389.0,336269.0,137124.0,129314.0,5231.0,2579.0,8513.0,190632.0,199145.0,42517.0,49.0,2431.0,2480.0,2013,APR,2.0,2013-04-01
Alameda,0.0,0.0,0.0,9709.0,9709.0,356.0,247.0,182.0,44.0,21.0,9353.0,4619.0,4014.0,417.0,188.0,9709.0,4866.0,4196.0,461.0,209.0,109.0,4734.0,4843.0,0.0,1.0,100.0,101.0,2013,APR,2.0,2013-04-01
Alpine,0.0,0.0,0.0,28.0,28.0,2.0,2.0,2.0,0.0,0.0,24.0,18.0,17.0,1.0,0.0,26.0,20.0,19.0,1.0,0.0,0.0,6.0,6.0,2.0,0.0,0.0,0.0,2013,APR,2.0,2013-04-01
Amador,23.0,23.0,0.0,498.0,521.0,24.0,9.0,9.0,0.0,0.0,478.0,216.0,206.0,4.0,6.0,502.0,225.0,215.0,4.0,6.0,15.0,262.0,277.0,19.0,0.0,1.0,1.0,2013,APR,2.0,2013-04-01
Butte,95.0,107.0,-12.0,4060.0,4155.0,136.0,57.0,53.0,2.0,2.0,3878.0,1577.0,1504.0,56.0,17.0,4014.0,1634.0,1557.0,58.0,19.0,79.0,2301.0,2380.0,141.0,0.0,15.0,15.0,2013,APR,2.0,2013-04-01
Calaveras,8.0,8.0,0.0,529.0,537.0,18.0,7.0,6.0,0.0,1.0,496.0,239.0,235.0,2.0,2.0,514.0,246.0,241.0,2.0,3.0,11.0,257.0,268.0,23.0,0.0,0.0,0.0,2013,APR,2.0,2013-04-01
Colusa,3.0,3.0,0.0,238.0,241.0,7.0,5.0,5.0,0.0,0.0,229.0,86.0,86.0,0.0,0.0,236.0,91.0,91.0,0.0,0.0,2.0,143.0,145.0,5.0,0.0,0.0,0.0,2013,APR,2.0,2013-04-01
Contra Costa,172.0,184.0,-12.0,4907.0,5079.0,148.0,86.0,77.0,5.0,4.0,4746.0,1589.0,1492.0,83.0,14.0,4894.0,1675.0,1569.0,88.0,18.0,62.0,3157.0,3219.0,185.0,1.0,12.0,13.0,2013,APR,2.0,2013-04-01
Del Norte,83.0,83.0,0.0,460.0,543.0,34.0,25.0,25.0,0.0,0.0,419.0,248.0,241.0,5.0,2.0,453.0,273.0,266.0,5.0,2.0,9.0,171.0,180.0,90.0,0.0,0.0,0.0,2013,APR,2.0,2013-04-01
El Dorado,20.0,26.0,-6.0,1545.0,1565.0,58.0,36.0,36.0,0.0,0.0,1481.0,842.0,810.0,30.0,2.0,1539.0,878.0,846.0,30.0,2.0,22.0,639.0,661.0,26.0,0.0,5.0,5.0,2013,APR,2.0,2013-04-01
Fresno,249.0,239.0,10.0,11603.0,11852.0,183.0,103.0,92.0,5.0,6.0,11280.0,4219.0,3939.0,202.0,78.0,11463.0,4322.0,4031.0,207.0,84.0,80.0,7061.0,7141.0,389.0,1.0,82.0,83.0,2013,APR,2.0,2013-04-01
Glenn,6.0,6.0,0.0,253.0,259.0,16.0,10.0,10.0,0.0,0.0,239.0,135.0,134.0,1.0,0.0,255.0,145.0,144.0,1.0,0.0,6.0,104.0,110.0,4.0,0.0,1.0,1.0,2013,APR,2.0,2013-04-01
Humboldt,134.0,154.0,-20.0,2879.0,3013.0,120.0,57.0,57.0,0.0,0.0,2742.0,1241.0,1154.0,52.0,35.0,2862.0,1298.0,1211.0,52.0,35.0,63.0,1501.0,1564.0,151.0,0.0,7.0,7.0,2013,APR,2.0,2013-04-01
Imperial,197.0,212.0,-15.0,3414.0,3611.0,168.0,84.0,83.0,0.0,1.0,3049.0,1089.0,1077.0,6.0,6.0,3217.0,1173.0,1160.0,6.0,7.0,84.0,1960.0,2044.0,394.0,0.0,4.0,4.0,2013,APR,2.0,2013-04-01
Inyo,11.0,12.0,-1.0,319.0,330.0,25.0,6.0,6.0,0.0,0.0,288.0,128.0,125.0,1.0,2.0,313.0,134.0,131.0,1.0,2.0,19.0,160.0,179.0,17.0,0.0,1.0,1.0,2013,APR,2.0,2013-04-01
Kern,667.0,763.0,-96.0,13697.0,14364.0,1045.0,476.0,470.0,2.0,4.0,12350.0,4718.0,4473.0,140.0,105.0,13395.0,5194.0,4943.0,142.0,109.0,569.0,7632.0,8201.0,969.0,1.0,2.0,3.0,2013,APR,2.0,2013-04-01
Kings,286.0,298.0,-12.0,2084.0,2370.0,148.0,62.0,61.0,1.0,0.0,1878.0,849.0,822.0,14.0,13.0,2026.0,911.0,883.0,15.0,13.0,86.0,1029.0,1115.0,344.0,0.0,1.0,1.0,2013,APR,2.0,2013-04-01
Lake,90.0,108.0,-18.0,1177.0,1267.0,40.0,22.0,21.0,1.0,0.0,1121.0,518.0,493.0,12.0,13.0,1161.0,540.0,514.0,13.0,13.0,18.0,603.0,621.0,106.0,0.0,19.0,19.0,2013,APR,2.0,2013-04-01
Lassen,7.0,10.0,-3.0,451.0,458.0,24.0,9.0,8.0,1.0,0.0,417.0,184.0,177.0,5.0,2.0,441.0,193.0,185.0,6.0,2.0,15.0,233.0,248.0,17.0,0.0,0.0,0.0,2013,APR,2.0,2013-04-01
Los Angeles,2401.0,5590.0,-3189.0,83459.0,85860.0,4689.0,2809.0,2602.0,147.0,60.0,75728.0,31382.0,30266.0,743.0,373.0,80417.0,34191.0,32868.0,890.0,433.0,1880.0,44346.0,46226.0,5443.0,34.0,1197.0,1231.0,2013,APR,2.0,2013-04-01
Madera,34.0,36.0,-2.0,1252.0,1286.0,77.0,52.0,52.0,0.0,0.0,1166.0,760.0,745.0,8.0,7.0,1243.0,812.0,797.0,8.0,7.0,25.0,406.0,431.0,43.0,0.0,3.0,3.0,2013,APR,2.0,2013-04-01
Marin,106.0,116.0,-10.0,1394.0,1500.0,68.0,36.0,36.0,0.0,0.0,1345.0,532.0,504.0,18.0,10.0,1413.0,568.0,540.0,18.0,10.0,32.0,813.0,845.0,87.0,0.0,0.0,0.0,2013,APR,2.0,2013-04-01
Mariposa,3.0,3.0,0.0,211.0,214.0,9.0,6.0,6.0,0.0,0.0,199.0,82.0,77.0,2.0,3.0,208.0,88.0,83.0,2.0,3.0,3.0,117.0,120.0,6.0,0.0,1.0,1.0,2013,APR,2.0,2013-04-01
Mendocino,40.0,44.0,-4.0,1816.0,1856.0,92.0,53.0,53.0,0.0,0.0,1743.0,844.0,834.0,5.0,5.0,1835.0,897.0,887.0,5.0,5.0,39.0,899.0,938.0,21.0,0.0,0.0,0.0,2013,APR,2.0,2013-04-01
