January 2017 (Accessible sheet). Data table begins in Cell A5. Item descriptions are contained within input messages in Row 5.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,,
Del Norte,195.0,21.0,180.0,96.0,0.0,0.0,0.0,0.0,74.0,74.0,0.0,34.0,34.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,10.0,10.0,6.0,173.0,179.0,3.0,65.0,68.0,3.0,56.0,59.0,0.0,9.0,9.0,0.0,0.0,0.0,3.0,108.0,111.0,373.0,1958.0,2331.0,373.0,1957.0,2330.0,0.0,1.0,1.0,-2.0,211.0,209.0,8.0,0.0,0.0,88.0,0.0,0.0,8.0,88.0,96.0,-23.0,23.0,0.0,2.0,1.0,3.0,4.0,25.0,29.0,7.0,74.0,81.0,371.0,2169.0,2540.0,371.0,2167.0,2538.0,5235.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,187.0,201.0,0.0,0.0,0.0,357.0,1982.0,2339.0,22.0,107.0,129.0,22.0,0.0,0.0,104.0,0.0,0.0,22.0,104.0,126.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,,
El Dorado,568.0,124.0,535.0,336.0,0.0,8.0,8.0,0.0,181.0,181.0,0.0,76.0,76.0,0.0,105.0,105.0,0.0,4.0,4.0,0.0,18.0,18.0,12.0,523.0,535.0,6.0,232.0,238.0,6.0,228.0,234.0,0.0,2.0,2.0,0.0,2.0,2.0,6.0,291.0,297.0,500.0,5975.0,6475.0,500.0,5977.0,6477.0,0.0,-2.0,-2.0,42.0,600.0,642.0,12.0,0.0,0.0,324.0,0.0,0.0,12.0,324.0,336.0,8.0,-8.0,0.0,1.0,19.0,20.0,1.0,100.0,101.0,20.0,165.0,185.0,542.0,6575.0,7117.0,539.0,6537.0,7076.0,12544.0,2.0,34.0,3.0,28.0,31.0,13.0,0.0,0.0,10.0,10.0,41.0,628.0,669.0,0.0,2.0,2.0,501.0,5947.0,6448.0,31.0,271.0,302.0,30.0,0.0,0.0,263.0,4.0,1.0,30.0,268.0,298.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,,
Fresno,5055.0,2017.0,4375.0,3174.0,17.0,88.0,105.0,2.0,1108.0,1110.0,2.0,1105.0,1107.0,0.0,3.0,3.0,1.0,227.0,228.0,0.0,91.0,91.0,49.0,3989.0,4038.0,27.0,1786.0,1813.0,23.0,1709.0,1732.0,4.0,56.0,60.0,0.0,21.0,21.0,22.0,2203.0,2225.0,12248.0,75196.0,87444.0,11795.0,71607.0,83402.0,453.0,3589.0,4042.0,121.0,3173.0,3294.0,193.0,2.0,1.0,2917.0,36.0,25.0,196.0,2978.0,3174.0,-95.0,95.0,0.0,15.0,54.0,69.0,2.0,13.0,15.0,3.0,33.0,36.0,12369.0,78369.0,90738.0,12155.0,77490.0,89645.0,210405.0,79.0,929.0,201.0,669.0,870.0,246.0,39.0,13.0,210.0,223.0,617.0,6441.0,7058.0,0.0,0.0,0.0,11752.0,71928.0,83680.0,925.0,5106.0,6031.0,843.0,4.0,3.0,4243.0,46.0,17.0,850.0,4306.0,5156.0,74.0,1.0,0.0,782.0,15.0,3.0,75.0,800.0,875.0,3.0,7.0,10.0,,
Glenn,134.0,17.0,134.0,79.0,0.0,3.0,3.0,0.0,46.0,46.0,0.0,16.0,16.0,0.0,30.0,30.0,0.0,2.0,2.0,0.0,9.0,9.0,4.0,130.0,134.0,3.0,52.0,55.0,2.0,46.0,48.0,1.0,5.0,6.0,0.0,1.0,1.0,1.0,78.0,79.0,208.0,1196.0,1404.0,208.0,1197.0,1405.0,0.0,-1.0,-1.0,4.0,144.0,148.0,4.0,0.0,0.0,74.0,1.0,0.0,4.0,75.0,79.0,-10.0,10.0,0.0,1.0,5.0,6.0,2.0,10.0,12.0,7.0,44.0,51.0,212.0,1340.0,1552.0,211.0,1333.0,1544.0,3568.0,0.0,8.0,1.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,12.0,80.0,92.0,0.0,4.0,4.0,200.0,1260.0,1460.0,11.0,58.0,69.0,11.0,0.0,0.0,57.0,0.0,0.0,11.0,57.0,68.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,
Humboldt,1317.0,302.0,1175.0,646.0,0.0,6.0,6.0,0.0,488.0,488.0,0.0,151.0,151.0,0.0,337.0,337.0,0.0,6.0,6.0,0.0,41.0,41.0,17.0,1157.0,1174.0,14.0,506.0,520.0,12.0,492.0,504.0,1.0,13.0,14.0,1.0,1.0,2.0,3.0,651.0,654.0,840.0,10630.0,11470.0,840.0,10630.0,11470.0,0.0,0.0,0.0,25.0,1136.0,1161.0,18.0,0.0,0.0,626.0,2.0,0.0,18.0,628.0,646.0,-19.0,19.0,0.0,5.0,32.0,37.0,0.0,127.0,127.0,21.0,330.0,351.0,865.0,11766.0,12631.0,863.0,11735.0,12598.0,21085.0,8.0,26.0,2.0,26.0,28.0,6.0,1.0,0.0,5.0,5.0,44.0,1224.0,1268.0,0.0,16.0,16.0,821.0,10542.0,11363.0,51.0,366.0,417.0,50.0,1.0,0.0,363.0,2.0,0.0,51.0,365.0,416.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,
Imperial,1167.0,144.0,1026.0,734.0,2.0,13.0,15.0,2.0,261.0,263.0,2.0,146.0,148.0,0.0,115.0,115.0,0.0,6.0,6.0,0.0,29.0,29.0,32.0,994.0,1026.0,17.0,462.0,479.0,14.0,428.0,442.0,3.0,23.0,26.0,0.0,11.0,11.0,15.0,532.0,547.0,2282.0,14160.0,16442.0,2282.0,14160.0,16442.0,0.0,0.0,0.0,39.0,1182.0,1221.0,39.0,3.0,0.0,670.0,19.0,3.0,42.0,692.0,734.0,-51.0,51.0,0.0,3.0,19.0,22.0,16.0,176.0,192.0,29.0,244.0,273.0,2321.0,15342.0,17663.0,2286.0,14954.0,17240.0,42314.0,30.0,374.0,31.0,339.0,370.0,49.0,11.0,4.0,49.0,53.0,79.0,1117.0,1196.0,0.0,1.0,1.0,2242.0,14225.0,16467.0,126.0,607.0,733.0,124.0,2.0,0.0,586.0,12.0,3.0,126.0,601.0,727.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,,
Inyo,82.0,8.0,73.0,55.0,0.0,4.0,4.0,0.0,16.0,16.0,0.0,6.0,6.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,69.0,73.0,2.0,34.0,36.0,2.0,30.0,32.0,0.0,3.0,3.0,0.0,1.0,1.0,2.0,35.0,37.0,89.0,855.0,944.0,88.0,855.0,943.0,1.0,0.0,1.0,2.0,81.0,83.0,5.0,0.0,0.0,50.0,0.0,0.0,5.0,50.0,55.0,-5.0,5.0,0.0,0.0,2.0,2.0,1.0,16.0,17.0,1.0,8.0,9.0,91.0,936.0,1027.0,91.0,929.0,1020.0,1936.0,1.0,5.0,0.0,5.0,5.0,2.0,0.0,0.0,2.0,2.0,3.0,74.0,77.0,0.0,0.0,0.0,88.0,862.0,950.0,3.0,37.0,40.0,3.0,0.0,0.0,36.0,1.0,0.0,3.0,37.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Kern,6887.0,1966.0,5976.0,3921.0,10.0,69.0,79.0,3.0,1809.0,1812.0,3.0,859.0,862.0,0.0,950.0,950.0,0.0,34.0,34.0,0.0,243.0,243.0,191.0,5785.0,5976.0,128.0,2475.0,2603.0,121.0,2210.0,2331.0,5.0,186.0,191.0,2.0,79.0,81.0,63.0,3310.0,3373.0,9631.0,55206.0,64837.0,9631.0,55206.0,64837.0,0.0,0.0,0.0,500.0,5406.0,5906.0,231.0,1.0,0.0,3614.0,57.0,18.0,232.0,3689.0,3921.0,67.0,-67.0,0.0,18.0,66.0,84.0,70.0,611.0,681.0,113.0,1107.0,1220.0,10131.0,60612.0,70743.0,10065.0,59577.0,69642.0,163150.0,59.0,877.0,65.0,795.0,860.0,305.0,17.0,1.0,240.0,241.0,398.0,5256.0,5654.0,0.0,2.0,2.0,9733.0,55356.0,65089.0,515.0,2417.0,2932.0,511.0,2.0,0.0,2311.0,31.0,9.0,513.0,2351.0,2864.0,2.0,0.0,0.0,64.0,2.0,0.0,2.0,66.0,68.0,0.0,0.0,0.0,,
Kings,1087.0,151.0,971.0,733.0,0.0,7.0,7.0,0.0,197.0,197.0,0.0,115.0,115.0,0.0,82.0,82.0,0.0,1.0,1.0,0.0,41.0,41.0,51.0,920.0,971.0,35.0,448.0,483.0,30.0,422.0,452.0,5.0,16.0,21.0,0.0,10.0,10.0,16.0,472.0,488.0,1403.0,8454.0,9857.0,1403.0,8454.0,9857.0,0.0,0.0,0.0,131.0,972.0,1103.0,52.0,1.0,0.0,657.0,20.0,3.0,53.0,680.0,733.0,31.0,-31.0,0.0,6.0,19.0,25.0,9.0,136.0,145.0,32.0,168.0,200.0,1534.0,9426.0,10960.0,1511.0,9274.0,10785.0,24637.0,14.0,138.0,22.0,124.0,146.0,31.0,6.0,1.0,28.0,29.0,76.0,746.0,822.0,0.0,0.0,0.0,1458.0,8680.0,10138.0,91.0,390.0,481.0,89.0,2.0,0.0,386.0,2.0,0.0,91.0,388.0,479.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,
Lake,475.0,80.0,461.0,343.0,3.0,20.0,23.0,0.0,99.0,99.0,0.0,35.0,35.0,0.0,64.0,64.0,0.0,5.0,5.0,0.0,19.0,19.0,7.0,454.0,461.0,2.0,216.0,218.0,2.0,200.0,202.0,0.0,9.0,9.0,0.0,7.0,7.0,5.0,238.0,243.0,547.0,5439.0,5986.0,547.0,5439.0,5986.0,0.0,0.0,0.0,50.0,551.0,601.0,11.0,1.0,0.0,327.0,3.0,1.0,12.0,331.0,343.0,12.0,-12.0,0.0,3.0,9.0,12.0,4.0,26.0,30.0,19.0,197.0,216.0,597.0,5990.0,6587.0,591.0,5960.0,6551.0,12369.0,4.0,32.0,6.0,24.0,30.0,7.0,1.0,0.0,6.0,6.0,31.0,543.0,574.0,0.0,0.0,0.0,566.0,5447.0,6013.0,30.0,258.0,288.0,30.0,0.0,0.0,255.0,0.0,0.0,30.0,255.0,285.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,,
