July 2016 (Accessible sheet). Data table begins in Cell A5. Item descriptions are contained within input messages in Row 5.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,,
Del Norte,167.0,9.0,172.0,90.0,0.0,0.0,0.0,0.0,79.0,79.0,0.0,36.0,36.0,0.0,43.0,43.0,0.0,1.0,1.0,0.0,3.0,3.0,8.0,164.0,172.0,4.0,61.0,65.0,4.0,54.0,58.0,0.0,5.0,5.0,0.0,2.0,2.0,4.0,103.0,107.0,400.0,2050.0,2450.0,400.0,2050.0,2450.0,0.0,0.0,0.0,-5.0,188.0,183.0,7.0,0.0,0.0,83.0,0.0,0.0,7.0,83.0,90.0,-23.0,23.0,0.0,0.0,4.0,4.0,2.0,14.0,16.0,9.0,64.0,73.0,395.0,2238.0,2633.0,395.0,2237.0,2632.0,5344.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,204.0,228.0,0.0,0.0,0.0,371.0,2034.0,2405.0,29.0,103.0,132.0,29.0,0.0,0.0,102.0,0.0,0.0,29.0,102.0,131.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,
El Dorado,531.0,79.0,556.0,345.0,1.0,9.0,10.0,0.0,200.0,200.0,0.0,66.0,66.0,0.0,134.0,134.0,0.0,4.0,4.0,0.0,11.0,11.0,12.0,544.0,556.0,6.0,249.0,255.0,6.0,246.0,252.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,295.0,301.0,539.0,6277.0,6816.0,539.0,6278.0,6817.0,0.0,-1.0,-1.0,31.0,550.0,581.0,13.0,0.0,0.0,331.0,0.0,1.0,13.0,332.0,345.0,1.0,-1.0,0.0,2.0,19.0,21.0,2.0,44.0,46.0,13.0,156.0,169.0,570.0,6827.0,7397.0,569.0,6787.0,7356.0,13053.0,3.0,35.0,1.0,31.0,32.0,11.0,0.0,0.0,9.0,9.0,43.0,636.0,679.0,0.0,0.0,0.0,527.0,6191.0,6718.0,32.0,260.0,292.0,32.0,0.0,0.0,258.0,1.0,0.0,32.0,259.0,291.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,
Fresno,4250.0,1691.0,3966.0,2796.0,17.0,110.0,127.0,6.0,1081.0,1087.0,6.0,1077.0,1083.0,0.0,4.0,4.0,2.0,219.0,221.0,0.0,83.0,83.0,65.0,3218.0,3283.0,28.0,1344.0,1372.0,24.0,1290.0,1314.0,3.0,43.0,46.0,1.0,11.0,12.0,37.0,1874.0,1911.0,12395.0,79228.0,91623.0,12039.0,76455.0,88494.0,356.0,2773.0,3129.0,-22.0,2899.0,2877.0,192.0,3.0,0.0,2551.0,20.0,30.0,195.0,2601.0,2796.0,-234.0,234.0,0.0,9.0,18.0,27.0,4.0,13.0,17.0,4.0,33.0,37.0,12373.0,82127.0,94500.0,12176.0,81241.0,93417.0,217394.0,62.0,932.0,184.0,673.0,857.0,254.0,29.0,13.0,213.0,226.0,697.0,6902.0,7599.0,0.0,30.0,30.0,11676.0,75225.0,86901.0,1031.0,5348.0,6379.0,911.0,26.0,0.0,4381.0,39.0,15.0,937.0,4435.0,5372.0,92.0,2.0,0.0,893.0,18.0,2.0,94.0,913.0,1007.0,4.0,31.0,35.0,,
Glenn,97.0,6.0,95.0,72.0,0.0,0.0,0.0,0.0,21.0,21.0,0.0,7.0,7.0,0.0,14.0,14.0,0.0,1.0,1.0,0.0,2.0,2.0,7.0,88.0,95.0,3.0,42.0,45.0,3.0,42.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,46.0,50.0,220.0,1304.0,1524.0,220.0,1304.0,1524.0,0.0,0.0,0.0,8.0,96.0,104.0,8.0,0.0,0.0,62.0,2.0,0.0,8.0,64.0,72.0,-4.0,4.0,0.0,1.0,3.0,4.0,2.0,4.0,6.0,1.0,21.0,22.0,228.0,1400.0,1628.0,226.0,1388.0,1614.0,3805.0,0.0,14.0,2.0,12.0,14.0,0.0,0.0,0.0,0.0,0.0,6.0,125.0,131.0,0.0,0.0,0.0,222.0,1275.0,1497.0,9.0,63.0,72.0,9.0,0.0,0.0,61.0,0.0,0.0,9.0,61.0,70.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,
Humboldt,1001.0,155.0,963.0,511.0,0.0,2.0,2.0,0.0,415.0,415.0,0.0,153.0,153.0,0.0,262.0,262.0,0.0,3.0,3.0,0.0,37.0,37.0,13.0,776.0,789.0,10.0,335.0,345.0,10.0,322.0,332.0,0.0,9.0,9.0,0.0,4.0,4.0,3.0,441.0,444.0,909.0,10795.0,11704.0,909.0,10795.0,11704.0,0.0,0.0,0.0,7.0,980.0,987.0,13.0,0.0,0.0,497.0,1.0,0.0,13.0,498.0,511.0,-38.0,38.0,0.0,7.0,32.0,39.0,1.0,95.0,96.0,24.0,317.0,341.0,916.0,11775.0,12691.0,916.0,11741.0,12657.0,21453.0,8.0,24.0,0.0,27.0,27.0,7.0,2.0,0.0,7.0,7.0,37.0,1093.0,1130.0,0.0,0.0,0.0,879.0,10682.0,11561.0,62.0,401.0,463.0,62.0,0.0,0.0,398.0,0.0,0.0,62.0,398.0,460.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,,
Imperial,1159.0,113.0,1127.0,750.0,3.0,12.0,15.0,1.0,328.0,329.0,1.0,156.0,157.0,0.0,172.0,172.0,0.0,6.0,6.0,0.0,48.0,48.0,30.0,1096.0,1126.0,19.0,432.0,451.0,15.0,396.0,411.0,2.0,21.0,23.0,2.0,15.0,17.0,11.0,664.0,675.0,2225.0,14285.0,16510.0,2225.0,14286.0,16511.0,0.0,-1.0,-1.0,79.0,1066.0,1145.0,42.0,0.0,0.0,686.0,19.0,3.0,42.0,708.0,750.0,-28.0,28.0,0.0,2.0,9.0,11.0,10.0,98.0,108.0,53.0,223.0,276.0,2304.0,15351.0,17655.0,2269.0,14986.0,17255.0,42478.0,33.0,337.0,31.0,309.0,340.0,60.0,9.0,4.0,56.0,60.0,103.0,1018.0,1121.0,0.0,0.0,0.0,2201.0,14333.0,16534.0,173.0,850.0,1023.0,168.0,5.0,0.0,825.0,18.0,3.0,173.0,846.0,1019.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,,
Inyo,84.0,2.0,78.0,54.0,0.0,0.0,0.0,0.0,19.0,19.0,0.0,9.0,9.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,5.0,5.0,3.0,75.0,78.0,2.0,42.0,44.0,2.0,38.0,40.0,0.0,2.0,2.0,0.0,2.0,2.0,1.0,33.0,34.0,100.0,898.0,998.0,100.0,898.0,998.0,0.0,0.0,0.0,-3.0,87.0,84.0,3.0,0.0,0.0,51.0,0.0,0.0,3.0,51.0,54.0,-6.0,6.0,0.0,0.0,6.0,6.0,0.0,8.0,8.0,0.0,16.0,16.0,97.0,985.0,1082.0,96.0,978.0,1074.0,2083.0,1.0,7.0,0.0,7.0,7.0,1.0,0.0,1.0,0.0,1.0,4.0,77.0,81.0,0.0,0.0,0.0,93.0,908.0,1001.0,2.0,45.0,47.0,2.0,0.0,0.0,44.0,1.0,0.0,2.0,45.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Kern,5310.0,1320.0,5330.0,3399.0,3.0,65.0,68.0,1.0,1766.0,1767.0,1.0,887.0,888.0,0.0,879.0,879.0,0.0,38.0,38.0,0.0,164.0,164.0,170.0,5160.0,5330.0,108.0,2007.0,2115.0,104.0,1855.0,1959.0,4.0,119.0,123.0,0.0,33.0,33.0,62.0,3153.0,3215.0,9797.0,56416.0,66213.0,9797.0,56417.0,66214.0,0.0,-1.0,-1.0,301.0,4952.0,5253.0,215.0,0.0,0.0,3121.0,44.0,19.0,215.0,3184.0,3399.0,-135.0,135.0,0.0,11.0,81.0,92.0,59.0,419.0,478.0,151.0,1133.0,1284.0,10098.0,61368.0,71466.0,10033.0,60325.0,70358.0,164459.0,62.0,885.0,64.0,804.0,868.0,299.0,18.0,1.0,239.0,240.0,465.0,4969.0,5434.0,0.0,3.0,3.0,9633.0,56399.0,66032.0,640.0,2376.0,3016.0,633.0,4.0,0.0,2275.0,26.0,5.0,637.0,2306.0,2943.0,3.0,0.0,0.0,67.0,3.0,0.0,3.0,70.0,73.0,0.0,0.0,0.0,,
Kings,825.0,98.0,786.0,514.0,1.0,6.0,7.0,0.0,258.0,258.0,0.0,155.0,155.0,0.0,103.0,103.0,0.0,12.0,12.0,0.0,14.0,14.0,26.0,757.0,783.0,13.0,318.0,331.0,12.0,307.0,319.0,1.0,9.0,10.0,0.0,2.0,2.0,13.0,439.0,452.0,1360.0,8703.0,10063.0,1360.0,8703.0,10063.0,0.0,0.0,0.0,78.0,753.0,831.0,29.0,1.0,1.0,479.0,4.0,0.0,31.0,483.0,514.0,8.0,-8.0,0.0,4.0,18.0,22.0,7.0,99.0,106.0,28.0,161.0,189.0,1438.0,9456.0,10894.0,1420.0,9323.0,10743.0,24537.0,14.0,116.0,15.0,111.0,126.0,29.0,2.0,3.0,22.0,25.0,67.0,781.0,848.0,0.0,0.0,0.0,1371.0,8675.0,10046.0,91.0,411.0,502.0,90.0,1.0,0.0,405.0,2.0,0.0,91.0,407.0,498.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,,
Lake,413.0,35.0,394.0,293.0,2.0,10.0,12.0,1.0,91.0,92.0,1.0,33.0,34.0,0.0,58.0,58.0,0.0,2.0,2.0,0.0,9.0,9.0,11.0,383.0,394.0,10.0,199.0,209.0,8.0,189.0,197.0,2.0,6.0,8.0,0.0,4.0,4.0,1.0,184.0,185.0,572.0,5597.0,6169.0,572.0,5598.0,6170.0,0.0,-1.0,-1.0,35.0,513.0,548.0,14.0,0.0,0.0,279.0,0.0,0.0,14.0,279.0,293.0,-1.0,1.0,0.0,0.0,14.0,14.0,3.0,10.0,13.0,19.0,209.0,228.0,607.0,6110.0,6717.0,603.0,6078.0,6681.0,12478.0,2.0,27.0,4.0,23.0,27.0,11.0,0.0,0.0,9.0,9.0,30.0,523.0,553.0,0.0,0.0,0.0,577.0,5587.0,6164.0,36.0,319.0,355.0,35.0,0.0,0.0,317.0,0.0,0.0,35.0,317.0,352.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,,
