July 2016 (Accessible sheet). Data table begins in Cell A5. Item descriptions are contained within input messages in Row 5.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,,
Lassen,101.0,16.0,107.0,71.0,1.0,6.0,7.0,0.0,29.0,29.0,0.0,20.0,20.0,0.0,9.0,9.0,0.0,3.0,3.0,0.0,7.0,7.0,1.0,106.0,107.0,0.0,51.0,51.0,0.0,38.0,38.0,0.0,7.0,7.0,0.0,6.0,6.0,1.0,55.0,56.0,211.0,1234.0,1445.0,211.0,1234.0,1445.0,0.0,0.0,0.0,9.0,129.0,138.0,2.0,0.0,0.0,69.0,0.0,0.0,2.0,69.0,71.0,-7.0,7.0,0.0,0.0,5.0,5.0,3.0,12.0,15.0,11.0,36.0,47.0,220.0,1363.0,1583.0,219.0,1361.0,1580.0,3160.0,0.0,3.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,18.0,134.0,152.0,0.0,0.0,0.0,202.0,1229.0,1431.0,15.0,68.0,83.0,15.0,0.0,0.0,68.0,0.0,0.0,15.0,68.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Los Angeles,37337.0,5197.0,28803.0,21267.0,207.0,789.0,996.0,11.0,6487.0,6498.0,2.0,2318.0,2320.0,9.0,4169.0,4178.0,0.0,227.0,227.0,0.0,1038.0,1038.0,2501.0,26277.0,28778.0,1890.0,12888.0,14778.0,1357.0,10830.0,12187.0,160.0,730.0,890.0,373.0,1328.0,1701.0,611.0,13389.0,14000.0,80471.0,446398.0,526869.0,80034.0,435220.0,515254.0,437.0,11178.0,11615.0,6389.0,32031.0,38420.0,2362.0,64.0,2.0,18322.0,280.0,237.0,2428.0,18839.0,21267.0,480.0,-480.0,0.0,173.0,54.0,227.0,193.0,897.0,1090.0,3115.0,12721.0,15836.0,86860.0,478429.0,565289.0,84468.0,468846.0,553314.0,1109728.0,710.0,9654.0,2337.0,5779.0,8116.0,4478.0,475.0,55.0,3804.0,3859.0,2661.0,23064.0,25725.0,57.0,160.0,217.0,84199.0,455365.0,539564.0,3771.0,12579.0,16350.0,3643.0,107.0,3.0,12123.0,203.0,71.0,3753.0,12397.0,16150.0,18.0,0.0,0.0,173.0,9.0,0.0,18.0,182.0,200.0,0.0,0.0,0.0,,
Madera,704.0,73.0,697.0,463.0,1.0,3.0,4.0,0.0,211.0,211.0,0.0,94.0,94.0,0.0,117.0,117.0,0.0,3.0,3.0,0.0,23.0,23.0,23.0,673.0,696.0,12.0,297.0,309.0,12.0,288.0,300.0,0.0,5.0,5.0,0.0,4.0,4.0,11.0,376.0,387.0,1713.0,9444.0,11157.0,1713.0,9444.0,11157.0,0.0,0.0,0.0,4.0,735.0,739.0,25.0,0.0,0.0,434.0,2.0,2.0,25.0,438.0,463.0,-49.0,49.0,0.0,7.0,21.0,28.0,9.0,72.0,81.0,12.0,155.0,167.0,1717.0,10179.0,11896.0,1705.0,10118.0,11823.0,28730.0,1.0,64.0,11.0,53.0,64.0,10.0,2.0,1.0,8.0,9.0,71.0,705.0,776.0,0.0,0.0,0.0,1646.0,9474.0,11120.0,102.0,513.0,615.0,101.0,1.0,0.0,508.0,1.0,0.0,102.0,509.0,611.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,,
Marin,453.0,70.0,414.0,293.0,0.0,14.0,14.0,0.0,99.0,99.0,0.0,38.0,38.0,0.0,61.0,61.0,0.0,3.0,3.0,0.0,22.0,22.0,10.0,404.0,414.0,7.0,177.0,184.0,5.0,159.0,164.0,1.0,14.0,15.0,1.0,4.0,5.0,3.0,227.0,230.0,575.0,5313.0,5888.0,575.0,5313.0,5888.0,0.0,0.0,0.0,16.0,432.0,448.0,7.0,4.0,0.0,264.0,8.0,10.0,11.0,282.0,293.0,-9.0,9.0,0.0,3.0,14.0,17.0,0.0,39.0,39.0,11.0,88.0,99.0,591.0,5745.0,6336.0,550.0,5458.0,6008.0,9994.0,5.0,297.0,39.0,210.0,249.0,71.0,26.0,2.0,77.0,79.0,33.0,440.0,473.0,0.0,0.0,0.0,558.0,5305.0,5863.0,29.0,198.0,227.0,26.0,2.0,1.0,186.0,10.0,0.0,29.0,196.0,225.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,
Mariposa,65.0,9.0,45.0,21.0,0.0,0.0,0.0,0.0,19.0,19.0,0.0,3.0,3.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,5.0,5.0,1.0,44.0,45.0,1.0,16.0,17.0,1.0,15.0,16.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,28.0,28.0,111.0,938.0,1049.0,112.0,938.0,1050.0,-1.0,0.0,-1.0,3.0,43.0,46.0,1.0,0.0,0.0,20.0,0.0,0.0,1.0,20.0,21.0,-3.0,3.0,0.0,2.0,5.0,7.0,1.0,5.0,6.0,2.0,10.0,12.0,114.0,981.0,1095.0,113.0,977.0,1090.0,2006.0,1.0,2.0,1.0,2.0,3.0,2.0,0.0,0.0,2.0,2.0,6.0,57.0,63.0,0.0,0.0,0.0,108.0,924.0,1032.0,7.0,43.0,50.0,7.0,0.0,0.0,42.0,0.0,0.0,7.0,42.0,49.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,
Mendocino,424.0,45.0,411.0,320.0,2.0,17.0,19.0,0.0,83.0,83.0,0.0,36.0,36.0,0.0,47.0,47.0,0.0,2.0,2.0,0.0,8.0,8.0,16.0,392.0,408.0,10.0,209.0,219.0,10.0,207.0,217.0,0.0,2.0,2.0,0.0,0.0,0.0,6.0,183.0,189.0,581.0,5722.0,6303.0,581.0,5722.0,6303.0,0.0,0.0,0.0,29.0,460.0,489.0,17.0,0.0,0.0,301.0,1.0,1.0,17.0,303.0,320.0,-9.0,9.0,0.0,4.0,9.0,13.0,4.0,45.0,49.0,13.0,94.0,107.0,610.0,6182.0,6792.0,608.0,6133.0,6741.0,12588.0,4.0,39.0,2.0,40.0,42.0,10.0,1.0,0.0,9.0,9.0,49.0,534.0,583.0,0.0,0.0,0.0,561.0,5648.0,6209.0,28.0,176.0,204.0,28.0,0.0,0.0,170.0,1.0,0.0,28.0,171.0,199.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,,
Merced,1433.0,254.0,1261.0,736.0,4.0,17.0,21.0,0.0,398.0,398.0,0.0,132.0,132.0,0.0,266.0,266.0,0.0,18.0,18.0,0.0,127.0,127.0,60.0,1201.0,1261.0,41.0,501.0,542.0,37.0,487.0,524.0,3.0,10.0,13.0,1.0,4.0,5.0,19.0,700.0,719.0,3919.0,19312.0,23231.0,3919.0,19313.0,23232.0,0.0,-1.0,-1.0,86.0,1413.0,1499.0,62.0,1.0,0.0,669.0,2.0,2.0,63.0,673.0,736.0,-90.0,90.0,0.0,12.0,43.0,55.0,30.0,213.0,243.0,71.0,394.0,465.0,4005.0,20725.0,24730.0,3977.0,20626.0,24603.0,56703.0,6.0,116.0,28.0,84.0,112.0,11.0,5.0,0.0,15.0,15.0,200.0,1472.0,1672.0,0.0,0.0,0.0,3805.0,19253.0,23058.0,233.0,1017.0,1250.0,231.0,2.0,0.0,998.0,3.0,0.0,233.0,1001.0,1234.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,,
Modoc,39.0,2.0,37.0,26.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,4.0,4.0,0.0,7.0,7.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,36.0,37.0,0.0,18.0,18.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,18.0,19.0,65.0,428.0,493.0,65.0,428.0,493.0,0.0,0.0,0.0,9.0,33.0,42.0,2.0,0.0,0.0,24.0,0.0,0.0,2.0,24.0,26.0,6.0,-6.0,0.0,0.0,1.0,1.0,0.0,5.0,5.0,1.0,9.0,10.0,74.0,461.0,535.0,73.0,460.0,533.0,1119.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,37.0,44.0,0.0,0.0,0.0,67.0,424.0,491.0,0.0,16.0,16.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Mono,44.0,5.0,29.0,20.0,0.0,1.0,1.0,0.0,6.0,6.0,0.0,1.0,1.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,29.0,29.0,0.0,13.0,13.0,0.0,12.0,12.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,16.0,16.0,15.0,414.0,429.0,15.0,414.0,429.0,0.0,0.0,0.0,0.0,33.0,33.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,20.0,20.0,-1.0,1.0,0.0,0.0,3.0,3.0,0.0,2.0,2.0,1.0,7.0,8.0,15.0,447.0,462.0,15.0,444.0,459.0,805.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,38.0,40.0,0.0,0.0,0.0,13.0,409.0,422.0,1.0,18.0,19.0,1.0,0.0,0.0,18.0,0.0,0.0,1.0,18.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Monterey,1523.0,249.0,1537.0,913.0,0.0,8.0,8.0,1.0,548.0,549.0,1.0,376.0,377.0,0.0,172.0,172.0,0.0,4.0,4.0,0.0,75.0,75.0,31.0,1506.0,1537.0,16.0,498.0,514.0,15.0,472.0,487.0,1.0,9.0,10.0,0.0,17.0,17.0,15.0,1008.0,1023.0,2482.0,18017.0,20499.0,2482.0,18018.0,20500.0,0.0,-1.0,-1.0,-90.0,1713.0,1623.0,42.0,0.0,0.0,856.0,11.0,4.0,42.0,871.0,913.0,-219.0,219.0,0.0,4.0,30.0,34.0,17.0,133.0,150.0,66.0,460.0,526.0,2392.0,19730.0,22122.0,2374.0,19480.0,21854.0,48109.0,8.0,250.0,18.0,211.0,229.0,44.0,5.0,0.0,39.0,39.0,162.0,1944.0,2106.0,0.0,0.0,0.0,2230.0,17786.0,20016.0,211.0,666.0,877.0,210.0,0.0,0.0,646.0,9.0,1.0,210.0,656.0,866.0,1.0,0.0,0.0,10.0,0.0,0.0,1.0,10.0,11.0,0.0,0.0,0.0,,
Napa,287.0,56.0,259.0,121.0,0.0,4.0,4.0,0.0,98.0,98.0,0.0,24.0,24.0,0.0,74.0,74.0,0.0,3.0,3.0,0.0,40.0,40.0,5.0,254.0,259.0,3.0,70.0,73.0,3.0,63.0,66.0,0.0,3.0,3.0,0.0,4.0,4.0,2.0,184.0,186.0,306.0,3027.0,3333.0,306.0,3027.0,3333.0,0.0,0.0,0.0,8.0,253.0,261.0,6.0,0.0,0.0,113.0,1.0,1.0,6.0,115.0,121.0,-6.0,6.0,0.0,1.0,15.0,16.0,1.0,14.0,15.0,6.0,103.0,109.0,314.0,3280.0,3594.0,305.0,3228.0,3533.0,7298.0,2.0,54.0,9.0,42.0,51.0,9.0,4.0,0.0,10.0,10.0,22.0,334.0,356.0,0.0,0.0,0.0,292.0,2946.0,3238.0,27.0,155.0,182.0,27.0,0.0,0.0,152.0,2.0,0.0,27.0,154.0,181.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,
Nevada,317.0,56.0,325.0,219.0,0.0,14.0,14.0,0.0,89.0,89.0,0.0,47.0,47.0,0.0,42.0,42.0,0.0,10.0,10.0,0.0,17.0,17.0,3.0,322.0,325.0,3.0,150.0,153.0,1.0,125.0,126.0,1.0,7.0,8.0,1.0,18.0,19.0,0.0,172.0,172.0,274.0,3796.0,4070.0,274.0,3796.0,4070.0,0.0,0.0,0.0,-5.0,379.0,374.0,3.0,0.0,0.0,216.0,0.0,0.0,3.0,216.0,219.0,-17.0,17.0,0.0,1.0,5.0,6.0,1.0,31.0,32.0,7.0,110.0,117.0,269.0,4175.0,4444.0,269.0,4160.0,4429.0,7779.0,0.0,13.0,0.0,11.0,11.0,5.0,0.0,0.0,4.0,4.0,13.0,347.0,360.0,0.0,0.0,0.0,256.0,3828.0,4084.0,19.0,166.0,185.0,18.0,0.0,0.0,164.0,0.0,0.0,18.0,164.0,182.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,,
Orange,7641.0,1908.0,7559.0,5622.0,2.0,66.0,68.0,1.0,1688.0,1689.0,1.0,1679.0,1680.0,0.0,9.0,9.0,1.0,130.0,131.0,0.0,248.0,248.0,98.0,4846.0,4944.0,62.0,1777.0,1839.0,62.0,1777.0,1839.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,3069.0,3105.0,10717.0,105338.0,116055.0,10749.0,105698.0,116447.0,-32.0,-360.0,-392.0,297.0,7803.0,8100.0,257.0,9.0,0.0,5205.0,88.0,63.0,266.0,5356.0,5622.0,-224.0,224.0,0.0,5.0,55.0,60.0,4.0,2.0,6.0,246.0,2166.0,2412.0,11014.0,113141.0,124155.0,10786.0,109914.0,120700.0,254037.0,285.0,2940.0,223.0,2056.0,2279.0,1599.0,21.0,5.0,1171.0,1176.0,553.0,8952.0,9505.0,0.0,0.0,0.0,10461.0,104189.0,114650.0,830.0,7204.0,8034.0,801.0,17.0,0.0,5878.0,147.0,34.0,818.0,6059.0,6877.0,12.0,0.0,0.0,1107.0,24.0,14.0,12.0,1145.0,1157.0,0.0,0.0,0.0,,
Placer,579.0,219.0,584.0,291.0,0.0,8.0,8.0,1.0,276.0,277.0,1.0,69.0,70.0,0.0,207.0,207.0,0.0,13.0,13.0,0.0,16.0,16.0,2.0,296.0,298.0,0.0,142.0,142.0,0.0,133.0,133.0,0.0,6.0,6.0,0.0,3.0,3.0,2.0,154.0,156.0,687.0,8171.0,8858.0,701.0,7980.0,8681.0,-14.0,191.0,177.0,10.0,601.0,611.0,18.0,0.0,0.0,271.0,1.0,1.0,18.0,273.0,291.0,-38.0,38.0,0.0,3.0,46.0,49.0,4.0,76.0,80.0,23.0,168.0,191.0,697.0,8772.0,9469.0,687.0,8705.0,9392.0,17489.0,5.0,61.0,10.0,39.0,49.0,43.0,2.0,0.0,28.0,28.0,54.0,896.0,950.0,0.0,8.0,8.0,643.0,7876.0,8519.0,39.0,316.0,355.0,37.0,0.0,0.0,296.0,3.0,0.0,37.0,299.0,336.0,2.0,0.0,0.0,16.0,1.0,0.0,2.0,17.0,19.0,0.0,0.0,0.0,,
Plumas  a/,66.0,11.0,53.0,29.0,0.0,0.0,0.0,0.0,21.0,21.0,0.0,5.0,5.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,50.0,51.0,0.0,16.0,16.0,0.0,15.0,15.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,34.0,35.0,95.0,961.0,1056.0,95.0,961.0,1056.0,0.0,0.0,0.0,-14.0,70.0,56.0,1.0,0.0,0.0,28.0,0.0,0.0,1.0,28.0,29.0,-18.0,18.0,0.0,1.0,4.0,5.0,1.0,3.0,4.0,1.0,17.0,18.0,81.0,1031.0,1112.0,81.0,1030.0,1111.0,2021.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,97.0,107.0,0.0,0.0,0.0,71.0,934.0,1005.0,8.0,38.0,46.0,8.0,0.0,0.0,37.0,0.0,0.0,8.0,37.0,45.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,
Riverside,10353.0,2528.0,10248.0,6086.0,0.0,36.0,36.0,4.0,3831.0,3835.0,4.0,1734.0,1738.0,0.0,2097.0,2097.0,0.0,56.0,56.0,0.0,327.0,327.0,328.0,9920.0,10248.0,230.0,3935.0,4165.0,220.0,3669.0,3889.0,6.0,159.0,165.0,4.0,107.0,111.0,98.0,5985.0,6083.0,14835.0,105720.0,120555.0,14836.0,105722.0,120558.0,-1.0,-2.0,-3.0,651.0,9524.0,10175.0,362.0,3.0,0.0,5680.0,32.0,9.0,365.0,5721.0,6086.0,-216.0,216.0,0.0,24.0,191.0,215.0,94.0,1102.0,1196.0,384.0,2294.0,2678.0,15486.0,115244.0,130730.0,15364.0,114191.0,129555.0,288485.0,106.0,972.0,108.0,851.0,959.0,248.0,23.0,14.0,202.0,216.0,870.0,9361.0,10231.0,1.0,83.0,84.0,14616.0,105883.0,120499.0,1047.0,5336.0,6383.0,1040.0,6.0,0.0,5227.0,42.0,13.0,1046.0,5282.0,6328.0,1.0,0.0,0.0,53.0,1.0,0.0,1.0,54.0,55.0,0.0,0.0,0.0,,
Sacramento,7606.0,2105.0,6325.0,3748.0,2.0,35.0,37.0,6.0,2393.0,2399.0,2.0,737.0,739.0,4.0,1656.0,1660.0,0.0,75.0,75.0,0.0,178.0,178.0,278.0,5705.0,5983.0,145.0,1621.0,1766.0,143.0,1608.0,1751.0,2.0,13.0,15.0,0.0,0.0,0.0,133.0,4084.0,4217.0,13790.0,81112.0,94902.0,14007.0,80139.0,94146.0,-217.0,973.0,756.0,1188.0,8687.0,9875.0,404.0,13.0,1.0,3264.0,30.0,36.0,418.0,3330.0,3748.0,-317.0,317.0,0.0,19.0,117.0,136.0,49.0,477.0,526.0,1019.0,4446.0,5465.0,14978.0,89799.0,104777.0,14445.0,88107.0,102552.0,213197.0,128.0,2439.0,526.0,1090.0,1616.0,811.0,18.0,7.0,602.0,609.0,956.0,8835.0,9791.0,0.0,19.0,19.0,14022.0,80964.0,94986.0,1002.0,4150.0,5152.0,940.0,35.0,0.0,3832.0,76.0,9.0,975.0,3917.0,4892.0,27.0,0.0,0.0,229.0,4.0,0.0,27.0,233.0,260.0,0.0,0.0,0.0,,
San Benito,166.0,29.0,155.0,92.0,0.0,1.0,1.0,0.0,52.0,52.0,0.0,10.0,10.0,0.0,42.0,42.0,0.0,1.0,1.0,0.0,11.0,11.0,7.0,148.0,155.0,4.0,62.0,66.0,4.0,58.0,62.0,0.0,3.0,3.0,0.0,1.0,1.0,3.0,86.0,89.0,245.0,2103.0,2348.0,245.0,2103.0,2348.0,0.0,0.0,0.0,15.0,177.0,192.0,7.0,0.0,0.0,85.0,0.0,0.0,7.0,85.0,92.0,-1.0,1.0,0.0,1.0,7.0,8.0,1.0,27.0,28.0,7.0,57.0,64.0,260.0,2280.0,2540.0,257.0,2260.0,2517.0,5547.0,2.0,21.0,3.0,18.0,21.0,2.0,0.0,0.0,2.0,2.0,22.0,191.0,213.0,0.0,0.0,0.0,238.0,2089.0,2327.0,25.0,91.0,116.0,25.0,0.0,0.0,89.0,1.0,1.0,25.0,91.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
San Bernardino,12146.0,2819.0,11925.0,8429.0,7.0,39.0,46.0,7.0,3234.0,3241.0,7.0,1510.0,1517.0,0.0,1724.0,1724.0,0.0,45.0,45.0,0.0,255.0,255.0,396.0,11523.0,11919.0,261.0,5513.0,5774.0,237.0,5281.0,5518.0,18.0,134.0,152.0,6.0,98.0,104.0,135.0,6010.0,6145.0,24079.0,145471.0,169550.0,24079.0,145472.0,169551.0,0.0,-1.0,-1.0,1079.0,11517.0,12596.0,453.0,3.0,2.0,7900.0,45.0,26.0,458.0,7971.0,8429.0,-125.0,125.0,0.0,33.0,191.0,224.0,81.0,675.0,756.0,632.0,2555.0,3187.0,25158.0,156988.0,182146.0,24983.0,155684.0,180667.0,394507.0,118.0,1177.0,167.0,926.0,1093.0,439.0,62.0,8.0,378.0,386.0,1611.0,11996.0,13607.0,0.0,0.0,0.0,23547.0,144992.0,168539.0,1603.0,6461.0,8064.0,1591.0,10.0,0.0,6344.0,56.0,11.0,1601.0,6411.0,8012.0,2.0,0.0,0.0,50.0,0.0,0.0,2.0,50.0,52.0,0.0,0.0,0.0,,
San Diego,10308.0,3324.0,9994.0,5811.0,8.0,79.0,87.0,7.0,3860.0,3867.0,7.0,3853.0,3860.0,0.0,7.0,7.0,1.0,360.0,361.0,0.0,316.0,316.0,174.0,6634.0,6808.0,95.0,2244.0,2339.0,91.0,2195.0,2286.0,4.0,38.0,42.0,0.0,11.0,11.0,79.0,4390.0,4469.0,13093.0,120503.0,133596.0,13062.0,119723.0,132785.0,31.0,780.0,811.0,458.0,9184.0,9642.0,247.0,2.0,0.0,5448.0,77.0,37.0,249.0,5562.0,5811.0,-211.0,211.0,0.0,20.0,98.0,118.0,5.0,205.0,210.0,395.0,3108.0,3503.0,13551.0,129687.0,143238.0,13231.0,127168.0,140399.0,288068.0,264.0,2479.0,313.0,1741.0,2054.0,964.0,45.0,7.0,778.0,785.0,848.0,11726.0,12574.0,1.0,13.0,14.0,12703.0,117961.0,130664.0,1158.0,6239.0,7397.0,1065.0,29.0,1.0,5502.0,88.0,25.0,1095.0,5615.0,6710.0,63.0,0.0,0.0,607.0,15.0,2.0,63.0,624.0,687.0,0.0,0.0,0.0,,
San Francisco,2616.0,684.0,2203.0,1543.0,3.0,12.0,15.0,1.0,566.0,567.0,0.0,200.0,200.0,1.0,366.0,367.0,0.0,23.0,23.0,0.0,93.0,93.0,60.0,1521.0,1581.0,47.0,668.0,715.0,41.0,620.0,661.0,3.0,41.0,44.0,3.0,7.0,10.0,13.0,853.0,866.0,2239.0,30426.0,32665.0,2268.0,30037.0,32305.0,-29.0,389.0,360.0,90.0,2455.0,2545.0,57.0,0.0,0.0,1375.0,49.0,62.0,57.0,1486.0,1543.0,-56.0,56.0,0.0,7.0,36.0,43.0,8.0,215.0,223.0,74.0,662.0,736.0,2329.0,32881.0,35210.0,2190.0,31187.0,33377.0,52211.0,84.0,1230.0,133.0,830.0,963.0,1179.0,53.0,6.0,864.0,870.0,171.0,2952.0,3123.0,0.0,3.0,3.0,2158.0,29929.0,32087.0,180.0,1293.0,1473.0,162.0,15.0,0.0,1186.0,41.0,20.0,177.0,1247.0,1424.0,2.0,1.0,0.0,43.0,3.0,0.0,3.0,46.0,49.0,0.0,3.0,3.0,,
San Joaquin,2857.0,864.0,2648.0,1568.0,5.0,46.0,51.0,1.0,959.0,960.0,1.0,434.0,435.0,0.0,525.0,525.0,0.0,31.0,31.0,0.0,120.0,120.0,84.0,2557.0,2641.0,53.0,988.0,1041.0,44.0,839.0,883.0,4.0,92.0,96.0,5.0,57.0,62.0,31.0,1569.0,1600.0,7184.0,41835.0,49019.0,7184.0,41836.0,49020.0,0.0,-1.0,-1.0,198.0,2925.0,3123.0,112.0,0.0,0.0,1430.0,21.0,5.0,112.0,1456.0,1568.0,-157.0,157.0,0.0,29.0,95.0,124.0,64.0,367.0,431.0,150.0,850.0,1000.0,7382.0,44760.0,52142.0,7307.0,44131.0,51438.0,115802.0,48.0,623.0,75.0,476.0,551.0,200.0,22.0,0.0,153.0,153.0,424.0,3410.0,3834.0,0.0,0.0,0.0,6958.0,41350.0,48308.0,406.0,2077.0,2483.0,403.0,3.0,0.0,2011.0,34.0,4.0,406.0,2049.0,2455.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,28.0,28.0,0.0,0.0,0.0,,
San Luis Obispo,662.0,160.0,673.0,341.0,1.0,14.0,15.0,0.0,231.0,231.0,0.0,50.0,50.0,0.0,181.0,181.0,0.0,18.0,18.0,0.0,101.0,101.0,9.0,290.0,299.0,6.0,183.0,189.0,4.0,178.0,182.0,2.0,3.0,5.0,0.0,2.0,2.0,3.0,107.0,110.0,841.0,8373.0,9214.0,841.0,8373.0,9214.0,0.0,0.0,0.0,48.0,700.0,748.0,16.0,0.0,0.0,324.0,1.0,0.0,16.0,325.0,341.0,-27.0,27.0,0.0,1.0,16.0,17.0,6.0,106.0,112.0,52.0,226.0,278.0,889.0,9073.0,9962.0,884.0,9027.0,9911.0,18041.0,0.0,55.0,5.0,40.0,45.0,4.0,4.0,0.0,6.0,6.0,43.0,856.0,899.0,0.0,1.0,1.0,846.0,8217.0,9063.0,87.0,442.0,529.0,85.0,1.0,0.0,406.0,2.0,1.0,86.0,409.0,495.0,1.0,0.0,0.0,33.0,0.0,0.0,1.0,33.0,34.0,0.0,0.0,0.0,,
San Mateo,1292.0,231.0,1008.0,582.0,2.0,26.0,28.0,0.0,357.0,357.0,0.0,357.0,357.0,0.0,0.0,0.0,0.0,44.0,44.0,0.0,69.0,69.0,16.0,990.0,1006.0,7.0,322.0,329.0,5.0,292.0,297.0,1.0,20.0,21.0,1.0,10.0,11.0,9.0,668.0,677.0,849.0,13093.0,13942.0,869.0,13073.0,13942.0,-20.0,20.0,0.0,36.0,1127.0,1163.0,15.0,1.0,0.0,535.0,22.0,9.0,16.0,566.0,582.0,-20.0,20.0,0.0,21.0,21.0,42.0,0.0,75.0,75.0,19.0,445.0,464.0,885.0,14220.0,15105.0,853.0,13603.0,14456.0,28604.0,44.0,608.0,31.0,438.0,469.0,228.0,14.0,1.0,179.0,180.0,58.0,1488.0,1546.0,0.0,4.0,4.0,827.0,12732.0,13559.0,69.0,591.0,660.0,67.0,2.0,0.0,543.0,25.0,3.0,69.0,571.0,640.0,0.0,0.0,0.0,19.0,1.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,,
Santa Barbara,1433.0,414.0,1228.0,779.0,2.0,24.0,26.0,0.0,386.0,386.0,0.0,142.0,142.0,0.0,244.0,244.0,0.0,22.0,22.0,0.0,63.0,63.0,25.0,455.0,480.0,14.0,282.0,296.0,12.0,251.0,263.0,0.0,26.0,26.0,2.0,5.0,7.0,11.0,173.0,184.0,1875.0,14863.0,16738.0,1968.0,14689.0,16657.0,-93.0,174.0,81.0,164.0,1216.0,1380.0,59.0,0.0,0.0,711.0,4.0,5.0,59.0,720.0,779.0,9.0,-9.0,0.0,4.0,32.0,36.0,13.0,125.0,138.0,79.0,348.0,427.0,2039.0,16079.0,18118.0,2021.0,15890.0,17911.0,37638.0,18.0,138.0,18.0,126.0,144.0,0.0,80.0,0.0,63.0,63.0,117.0,1632.0,1749.0,0.0,0.0,0.0,1922.0,14447.0,16369.0,149.0,648.0,797.0,146.0,1.0,0.0,601.0,9.0,1.0,147.0,611.0,758.0,2.0,0.0,0.0,35.0,1.0,1.0,2.0,37.0,39.0,0.0,0.0,0.0,,
