December 2016 (Accessible sheet). Data table begins in Cell A5. Item descriptions are contained within input messages in Row 5.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,,
,,,,,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (Federal),PACF (Fed/State),PACF (State),NACF (Federal),NACF (Fed/State),NACF (State),PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,Federal Persons,State Persons: Single,State Persons: Families,PACF (A),NACF (B),Total (C) ,State Persons: Single,State Persons: Families,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,PACF: Federal,PACF: Fed/State,PACF: State,NACF: Federal,NACF: Fed/State,NACF: State,PACF (A),NACF (B),Total (C) ,PACF: Federal,PACF: Fed/State,PACF: State,NACF: Federal,NACF: Fed/State,NACF: State,PACF (A),NACF (B),Total (C) ,PACF (A),NACF (B),Total (C) ,,
December 2016,1. Applications received during the month,1A. Online applications received during the month,2. Applications disposed of during the month (sum of Items 2a through 2c),2A. Applications approved (Same as Item 5A/Cell 61),2A.1) Applications approved in over 30 days (CWD caused),2A.1) Applications approved in over 30 days (CWD caused),2A.1) Applications approved in over 30 days (CWD caused),2B. Applications denied (Item 2B1 plus Item 2B2),2B. Applications denied (Item 2B1 plus Item 2B2),2B. Applications denied (Item 2B1 plus Item 2B2),2B.1) Applications denied because determined ineligible,2B.1) Applications denied because determined ineligible,2B.1) Applications denied because determined ineligible,2B.2) Applications denied for procedural reasons,2B.2) Applications denied for procedural reasons,2B.2) Applications denied for procedural reasons,2B.C) Applications denied in over 30 days (CWD caused),2B.C) Applications denied in over 30 days (CWD caused),2B.C) Applications denied in over 30 days (CWD caused),2C. Applications withdrawn,2C. Applications withdrawn,2C. Applications withdrawn,"3. Of the applications disposed of during the month in Item 2, applications processed under ES (Item 3A plus Item 3B)","3. Of the applications disposed of during the month in Item 2, applications processed under ES (Item 3A plus Item 3B)","3. Of the applications disposed of during the month in Item 2, applications processed under ES (Item 3A plus Item 3B)",3A. Found entitled to ES (Sum of Items 3A1 through 3A3),3A. Found entitled to ES (Sum of Items 3A1 through 3A3),3A. Found entitled to ES (Sum of Items 3A1 through 3A3),3A.1) Benefits issued in 1-3 days,3A.1) Benefits issued in 1-3 days,3A.1) Benefits issued in 1-3 days,3A.2) Benefits issued in 4-7 days,3A.2) Benefits issued in 4-7 days,3A.2) Benefits issued in 4-7 days,3A.3) Benefits issued in over 7 days,3A.3) Benefits issued in over 7 days,3A.3) Benefits issued in over 7 days,3B. Found not entitled to ES,3B. Found not entitled to ES,3B. Found not entitled to ES,4. Cases brought forward at the beginning of the month,4. Cases brought forward at the beginning of the month,4. Cases brought forward at the beginning of the month,"4A. Item 8 from last month's report, as reported to CDSS","4A. Item 8 from last month's report, as reported to CDSS","4A. Item 8 from last month's report, as reported to CDSS","4B. Adjustment (Item 4 minus Item 4A, positive or negative number, explain in the Item 4B Adjustment Explanation)","4B. Adjustment (Item 4 minus Item 4A, positive or negative number, explain in the Item 4B Adjustment Explanation)","4B. Adjustment (Item 4 minus Item 4A, positive or negative number, explain in the Item 4B Adjustment Explanation)","5. Cases added during the month (Sum of Items 5A through 5E, positive or negative number)","5. Cases added during the month (Sum of Items 5A through 5E, positive or negative number)","5. Cases added during the month (Sum of Items 5A through 5E, positive or negative number)",5A. Applications Approved,5A. Applications Approved,5A. Applications Approved,5A. Applications Approved,5A. Applications Approved,5A. Applications Approved,5A. Applications Approved,5A. Applications Approved,5A. Applications Approved,5B. Change in assistance status from PACF or NACF,5B. Change in assistance status from PACF or NACF,5B. Change in assistance status from PACF or NACF,5C. Inter-County Transfers,5C. Inter-County Transfers,5C. Inter-County Transfers,5D. Cases with eligibility reinstated and benefits pro-rated during the month,5D. Cases with eligibility reinstated and benefits pro-rated during the month,5D. Cases with eligibility reinstated and benefits pro-rated during the month,5E. Other Approvals,5E. Other Approvals,5E. Other Approvals,6. Total cases open during the month (Certified eligible to participate during the month) (Item 4 plus Item 5; also sum of Items 6A through 6C),6. Total cases open during the month (Certified eligible to participate during the month) (Item 4 plus Item 5; also sum of Items 6A through 6C),6. Total cases open during the month (Certified eligible to participate during the month) (Item 4 plus Item 5; also sum of Items 6A through 6C),6A. Pure federal cases,6A. Pure federal cases,6A. Pure federal cases,6A.1) Federal persons in Item 6A cases plus federal persons in Item 6B cases,6B. Federal/State combined cases,6B. Federal/State combined cases,6B. Federal/State combined cases,6B. Federal/State combined cases,6B. Federal/State combined cases,6C. Pure state cases,6C. Pure state cases,6C. Pure state cases,6C. Pure state cases,6C. Pure state cases,7. Cases discontinued during the month,7. Cases discontinued during the month,7. Cases discontinued during the month,7A. Households discontinued due to recipient failure to complete application process for ongoing benefits (ES only),7A. Households discontinued due to recipient failure to complete application process for ongoing benefits (ES only),7A. Households discontinued due to recipient failure to complete application process for ongoing benefits (ES only),8. Cases brought forward at the end of the month (Item 6 minus Item 7),8. Cases brought forward at the end of the month (Item 6 minus Item 7),8. Cases brought forward at the end of the month (Item 6 minus Item 7),9. Recertifications disposed of during the month (Item 9A plus Item 9B),9. Recertifications disposed of during the month (Item 9A plus Item 9B),9. Recertifications disposed of during the month (Item 9A plus Item 9B),9A. Determined continuing eligible,9A. Determined continuing eligible,9A. Determined continuing eligible,9A. Determined continuing eligible,9A. Determined continuing eligible,9A. Determined continuing eligible,9A. Determined continuing eligible,9A. Determined continuing eligible,9A. Determined continuing eligible,9B. Determined ineligible,9B. Determined ineligible,9B. Determined ineligible,9B. Determined ineligible,9B. Determined ineligible,9B. Determined ineligible,9B. Determined ineligible,9B. Determined ineligible,9B. Determined ineligible,10. Overdue recertifications (CWD caused) during the month,10. Overdue recertifications (CWD caused) during the month,10. Overdue recertifications (CWD caused) during the month,,
County,Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6,Cell 7,Cell 8,Cell 9,Cell 10,Cell 11,Cell 12,Cell 13,Cell 14,Cell 15,Cell 16,Cell 17,Cell 18,Cell 19,Cell 20,Cell 21,Cell 22,Cell 23,Cell 24,Cell 25,Cell 26,Cell 27,Cell 28,Cell 29,Cell 30,Cell 31,Cell 32,Cell 33,Cell 34,Cell 35,Cell 36,Cell 37,Cell 38,Cell 39,Cell 40,Cell 41,Cell 42,Cell 43,Cell 44,Cell 45,Cell 46,Cell 47,Cell 48,Cell 49,Cell 50,Cell 51,Cell 52,Cell 53,Cell 54,Cell 55,Cell 56,Cell 57,Cell 58,Cell 59,Cell 60,Cell 61,Cell 62,Cell 63,Cell 64,Cell 65,Cell 66,Cell 67,Cell 68,Cell 69,Cell 70,Cell 71,Cell 72,Cell 73,Cell 74,Cell 75,Cell 76,Cell 77,Cell 78,Cell 79,Cell 80,Cell 81,Cell 82,Cell 83,Cell 84,Cell 85,Cell 86,Cell 87,Cell 88,Cell 89,Cell 90,Cell 91,Cell 92,Cell 93,Cell 94,Cell 95,Cell 96,Cell 97,Cell 98,Cell 99,Cell 100,Cell 101,Cell 102,Cell 103,Cell 104,Cell 105,Cell 106,Cell 107,Cell 108,Cell 109,Cell 110,Cell 111,Cell 112,Cell 113,Cell 114,Cell 115,Cell 116,Cell 117,Cell 118,Cell 119,Cell 120,Cell 121,Cell 122,Cell 123,,
Alameda  a/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine,6.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,8.0,8.0,0.0,4.0,4.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,4.0,1.0,78.0,79.0,1.0,78.0,79.0,0.0,0.0,0.0,-1.0,12.0,11.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,6.0,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,3.0,0.0,90.0,90.0,0.0,90.0,90.0,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,83.0,83.0,0.0,6.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Amador,125.0,30.0,125.0,80.0,0.0,1.0,1.0,0.0,37.0,37.0,0.0,18.0,18.0,0.0,19.0,19.0,0.0,0.0,0.0,0.0,8.0,8.0,2.0,123.0,125.0,1.0,56.0,57.0,1.0,54.0,55.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,67.0,68.0,126.0,1473.0,1599.0,126.0,1473.0,1599.0,0.0,0.0,0.0,19.0,125.0,144.0,6.0,0.0,0.0,71.0,3.0,0.0,6.0,74.0,80.0,7.0,-7.0,0.0,2.0,7.0,9.0,1.0,14.0,15.0,3.0,37.0,40.0,145.0,1598.0,1743.0,145.0,1593.0,1738.0,3244.0,0.0,4.0,0.0,4.0,4.0,1.0,0.0,0.0,1.0,1.0,9.0,154.0,163.0,0.0,0.0,0.0,136.0,1444.0,1580.0,13.0,96.0,109.0,13.0,0.0,0.0,94.0,0.0,0.0,13.0,94.0,107.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,
Butte,1239.0,381.0,1360.0,803.0,1.0,89.0,90.0,0.0,525.0,525.0,0.0,193.0,193.0,0.0,332.0,332.0,0.0,36.0,36.0,0.0,32.0,32.0,28.0,1331.0,1359.0,17.0,545.0,562.0,17.0,531.0,548.0,0.0,8.0,8.0,0.0,6.0,6.0,11.0,786.0,797.0,1599.0,14011.0,15610.0,1599.0,14011.0,15610.0,0.0,0.0,0.0,124.0,1309.0,1433.0,33.0,0.0,0.0,764.0,4.0,2.0,33.0,770.0,803.0,3.0,-3.0,0.0,2.0,28.0,30.0,4.0,170.0,174.0,82.0,344.0,426.0,1723.0,15320.0,17043.0,1716.0,15247.0,16963.0,31793.0,6.0,43.0,6.0,41.0,47.0,33.0,6.0,1.0,32.0,33.0,140.0,1421.0,1561.0,0.0,12.0,12.0,1583.0,13899.0,15482.0,146.0,658.0,804.0,145.0,0.0,0.0,640.0,4.0,3.0,145.0,647.0,792.0,1.0,0.0,0.0,11.0,0.0,0.0,1.0,11.0,12.0,0.0,0.0,0.0,,
Calaveras,173.0,26.0,193.0,147.0,0.0,6.0,6.0,0.0,39.0,39.0,0.0,24.0,24.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,7.0,7.0,2.0,191.0,193.0,0.0,81.0,81.0,0.0,78.0,78.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,110.0,112.0,177.0,2468.0,2645.0,177.0,2470.0,2647.0,0.0,-2.0,-2.0,10.0,240.0,250.0,2.0,0.0,0.0,143.0,2.0,0.0,2.0,145.0,147.0,3.0,-3.0,0.0,1.0,11.0,12.0,0.0,27.0,27.0,4.0,60.0,64.0,187.0,2708.0,2895.0,187.0,2692.0,2879.0,5235.0,5.0,10.0,0.0,12.0,12.0,5.0,0.0,0.0,4.0,4.0,17.0,281.0,298.0,0.0,2.0,2.0,170.0,2427.0,2597.0,9.0,121.0,130.0,9.0,0.0,0.0,119.0,0.0,0.0,9.0,119.0,128.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,
Colusa,72.0,13.0,80.0,49.0,2.0,6.0,8.0,0.0,28.0,28.0,0.0,10.0,10.0,0.0,18.0,18.0,0.0,4.0,4.0,0.0,3.0,3.0,2.0,78.0,80.0,1.0,22.0,23.0,1.0,21.0,22.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,56.0,57.0,64.0,496.0,560.0,64.0,496.0,560.0,0.0,0.0,0.0,13.0,81.0,94.0,5.0,0.0,0.0,44.0,0.0,0.0,5.0,44.0,49.0,2.0,-2.0,0.0,0.0,4.0,4.0,0.0,1.0,1.0,6.0,34.0,40.0,77.0,577.0,654.0,76.0,575.0,651.0,1522.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,6.0,56.0,62.0,0.0,0.0,0.0,71.0,521.0,592.0,6.0,30.0,36.0,6.0,0.0,0.0,29.0,0.0,0.0,6.0,29.0,35.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,
Contra Costa,1954.0,514.0,1826.0,1000.0,7.0,38.0,45.0,0.0,716.0,716.0,0.0,158.0,158.0,0.0,558.0,558.0,0.0,56.0,56.0,0.0,110.0,110.0,27.0,827.0,854.0,12.0,447.0,459.0,10.0,432.0,442.0,2.0,8.0,10.0,0.0,7.0,7.0,15.0,380.0,395.0,3755.0,26131.0,29886.0,3730.0,25915.0,29645.0,25.0,216.0,241.0,204.0,2371.0,2575.0,88.0,5.0,0.0,887.0,12.0,8.0,93.0,907.0,1000.0,-65.0,65.0,0.0,15.0,80.0,95.0,10.0,20.0,30.0,151.0,1299.0,1450.0,3959.0,28502.0,32461.0,3859.0,27978.0,31837.0,65347.0,41.0,677.0,99.0,385.0,484.0,174.0,13.0,1.0,139.0,140.0,202.0,3371.0,3573.0,0.0,0.0,0.0,3757.0,25131.0,28888.0,313.0,1378.0,1691.0,303.0,6.0,0.0,1320.0,15.0,4.0,309.0,1339.0,1648.0,4.0,0.0,0.0,36.0,3.0,0.0,4.0,39.0,43.0,0.0,2.0,2.0,,
