October 2017 (Accessible sheet). Data table begins in Cell A5. Item descriptions are contained within input messages in Row 5.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,,
Del Norte,170.0,11.0,177.0,106.0,0.0,0.0,0.0,0.0,64.0,64.0,0.0,30.0,30.0,0.0,34.0,34.0,0.0,0.0,0.0,0.0,7.0,7.0,6.0,171.0,177.0,4.0,82.0,86.0,4.0,78.0,82.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,89.0,91.0,331.0,2074.0,2405.0,331.0,2074.0,2405.0,0.0,0.0,0.0,28.0,211.0,239.0,7.0,0.0,0.0,99.0,0.0,0.0,7.0,99.0,106.0,0.0,0.0,0.0,2.0,9.0,11.0,1.0,21.0,22.0,18.0,82.0,100.0,359.0,2285.0,2644.0,359.0,2284.0,2643.0,5327.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,198.0,214.0,0.0,0.0,0.0,343.0,2087.0,2430.0,26.0,100.0,126.0,26.0,0.0,0.0,99.0,0.0,0.0,26.0,99.0,125.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,
El Dorado,641.0,117.0,588.0,354.0,0.0,8.0,8.0,0.0,221.0,221.0,0.0,52.0,52.0,0.0,169.0,169.0,0.0,6.0,6.0,0.0,13.0,13.0,17.0,571.0,588.0,12.0,259.0,271.0,12.0,255.0,267.0,0.0,3.0,3.0,0.0,1.0,1.0,5.0,312.0,317.0,476.0,5757.0,6233.0,476.0,5759.0,6235.0,0.0,-2.0,-2.0,29.0,559.0,588.0,16.0,0.0,0.0,336.0,2.0,0.0,16.0,338.0,354.0,-5.0,5.0,0.0,4.0,10.0,14.0,1.0,76.0,77.0,13.0,130.0,143.0,505.0,6316.0,6821.0,503.0,6283.0,6786.0,11890.0,3.0,33.0,2.0,27.0,29.0,6.0,0.0,0.0,6.0,6.0,29.0,704.0,733.0,0.0,6.0,6.0,476.0,5612.0,6088.0,30.0,196.0,226.0,29.0,0.0,0.0,193.0,1.0,0.0,29.0,194.0,223.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,,
Fresno,5741.0,2330.0,5220.0,3651.0,8.0,121.0,129.0,3.0,1458.0,1461.0,3.0,1456.0,1459.0,0.0,2.0,2.0,2.0,227.0,229.0,0.0,108.0,108.0,62.0,4094.0,4156.0,31.0,1894.0,1925.0,31.0,1798.0,1829.0,0.0,79.0,79.0,0.0,17.0,17.0,31.0,2200.0,2231.0,11102.0,73822.0,84924.0,10615.0,70604.0,81219.0,487.0,3218.0,3705.0,256.0,3551.0,3807.0,233.0,3.0,3.0,3342.0,36.0,34.0,239.0,3412.0,3651.0,-13.0,13.0,0.0,23.0,71.0,94.0,2.0,10.0,12.0,5.0,45.0,50.0,11358.0,77373.0,88731.0,11179.0,76511.0,87690.0,203452.0,75.0,869.0,165.0,635.0,800.0,266.0,37.0,14.0,227.0,241.0,688.0,6556.0,7244.0,0.0,0.0,0.0,10670.0,70817.0,81487.0,965.0,5252.0,6217.0,828.0,13.0,0.0,4171.0,46.0,12.0,841.0,4229.0,5070.0,122.0,2.0,0.0,1012.0,10.0,1.0,124.0,1023.0,1147.0,2.0,4.0,6.0,,
Glenn,106.0,13.0,111.0,70.0,0.0,1.0,1.0,0.0,34.0,34.0,0.0,14.0,14.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,7.0,7.0,5.0,106.0,111.0,2.0,37.0,39.0,2.0,37.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,69.0,72.0,170.0,1219.0,1389.0,170.0,1219.0,1389.0,0.0,0.0,0.0,29.0,100.0,129.0,5.0,0.0,0.0,65.0,0.0,0.0,5.0,65.0,70.0,13.0,-13.0,0.0,5.0,6.0,11.0,1.0,11.0,12.0,5.0,31.0,36.0,199.0,1319.0,1518.0,198.0,1313.0,1511.0,3471.0,0.0,7.0,1.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,9.0,117.0,126.0,0.0,1.0,1.0,190.0,1202.0,1392.0,9.0,48.0,57.0,9.0,0.0,0.0,48.0,0.0,0.0,9.0,48.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Humboldt,1325.0,316.0,1319.0,644.0,1.0,27.0,28.0,0.0,624.0,624.0,0.0,134.0,134.0,0.0,490.0,490.0,0.0,15.0,15.0,0.0,51.0,51.0,11.0,1308.0,1319.0,6.0,440.0,446.0,5.0,427.0,432.0,0.0,7.0,7.0,1.0,6.0,7.0,5.0,868.0,873.0,798.0,10211.0,11009.0,798.0,10211.0,11009.0,0.0,0.0,0.0,22.0,1134.0,1156.0,16.0,0.0,0.0,628.0,0.0,0.0,16.0,628.0,644.0,-22.0,22.0,0.0,5.0,34.0,39.0,1.0,134.0,135.0,22.0,316.0,338.0,820.0,11345.0,12165.0,820.0,11308.0,12128.0,20350.0,9.0,29.0,0.0,33.0,33.0,5.0,0.0,0.0,4.0,4.0,45.0,1055.0,1100.0,0.0,15.0,15.0,775.0,10290.0,11065.0,36.0,372.0,408.0,35.0,0.0,0.0,367.0,1.0,1.0,35.0,369.0,404.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,,
Imperial,1136.0,135.0,1164.0,752.0,1.0,13.0,14.0,0.0,346.0,346.0,0.0,134.0,134.0,0.0,212.0,212.0,0.0,7.0,7.0,0.0,66.0,66.0,27.0,1135.0,1162.0,11.0,448.0,459.0,11.0,427.0,438.0,0.0,14.0,14.0,0.0,7.0,7.0,16.0,687.0,703.0,2153.0,14244.0,16397.0,2153.0,14244.0,16397.0,0.0,0.0,0.0,108.0,1138.0,1246.0,35.0,2.0,0.0,683.0,26.0,6.0,37.0,715.0,752.0,14.0,-14.0,0.0,4.0,21.0,25.0,12.0,183.0,195.0,41.0,233.0,274.0,2261.0,15382.0,17643.0,2236.0,15030.0,17266.0,42167.0,21.0,326.0,25.0,296.0,321.0,59.0,1.0,0.0,56.0,56.0,85.0,1052.0,1137.0,0.0,5.0,5.0,2176.0,14330.0,16506.0,121.0,537.0,658.0,117.0,3.0,0.0,520.0,13.0,0.0,120.0,533.0,653.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,4.0,5.0,0.0,0.0,0.0,,
Inyo,67.0,5.0,49.0,41.0,0.0,1.0,1.0,0.0,6.0,6.0,0.0,2.0,2.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,48.0,49.0,0.0,18.0,18.0,0.0,17.0,17.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,30.0,31.0,75.0,863.0,938.0,75.0,863.0,938.0,0.0,0.0,0.0,6.0,62.0,68.0,2.0,0.0,0.0,39.0,0.0,0.0,2.0,39.0,41.0,1.0,-1.0,0.0,0.0,2.0,2.0,2.0,12.0,14.0,1.0,10.0,11.0,81.0,925.0,1006.0,81.0,918.0,999.0,1924.0,0.0,5.0,0.0,5.0,5.0,2.0,0.0,0.0,2.0,2.0,7.0,87.0,94.0,0.0,0.0,0.0,74.0,838.0,912.0,1.0,18.0,19.0,1.0,0.0,0.0,18.0,0.0,0.0,1.0,18.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Kern,5846.0,1568.0,5769.0,3643.0,3.0,39.0,42.0,2.0,1863.0,1865.0,2.0,505.0,507.0,0.0,1358.0,1358.0,1.0,30.0,31.0,0.0,261.0,261.0,191.0,5577.0,5768.0,116.0,2300.0,2416.0,112.0,2158.0,2270.0,3.0,84.0,87.0,1.0,58.0,59.0,75.0,3277.0,3352.0,9100.0,54735.0,63835.0,9100.0,54736.0,63836.0,0.0,-1.0,-1.0,330.0,5317.0,5647.0,242.0,2.0,0.0,3339.0,47.0,13.0,244.0,3399.0,3643.0,-118.0,118.0,0.0,33.0,125.0,158.0,37.0,703.0,740.0,134.0,972.0,1106.0,9430.0,60052.0,69482.0,9375.0,59145.0,68520.0,158456.0,50.0,736.0,53.0,667.0,720.0,311.0,11.0,2.0,240.0,242.0,418.0,5268.0,5686.0,0.0,21.0,21.0,9012.0,54784.0,63796.0,597.0,2337.0,2934.0,588.0,8.0,0.0,2221.0,32.0,2.0,596.0,2255.0,2851.0,1.0,0.0,0.0,82.0,0.0,0.0,1.0,82.0,83.0,0.0,0.0,0.0,,
Kings,926.0,189.0,909.0,560.0,0.0,3.0,3.0,0.0,312.0,312.0,0.0,125.0,125.0,0.0,187.0,187.0,0.0,1.0,1.0,0.0,37.0,37.0,30.0,878.0,908.0,25.0,368.0,393.0,22.0,345.0,367.0,0.0,14.0,14.0,3.0,9.0,12.0,5.0,510.0,515.0,1355.0,8435.0,9790.0,1355.0,8435.0,9790.0,0.0,0.0,0.0,76.0,850.0,926.0,38.0,0.0,0.0,512.0,8.0,2.0,38.0,522.0,560.0,-10.0,10.0,0.0,12.0,25.0,37.0,13.0,121.0,134.0,23.0,172.0,195.0,1431.0,9285.0,10716.0,1417.0,9148.0,10565.0,23638.0,17.0,117.0,14.0,109.0,123.0,34.0,1.0,0.0,28.0,28.0,66.0,830.0,896.0,0.0,0.0,0.0,1365.0,8455.0,9820.0,87.0,311.0,398.0,86.0,1.0,0.0,302.0,1.0,2.0,87.0,305.0,392.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,,
Lake,441.0,60.0,400.0,270.0,0.0,23.0,23.0,1.0,98.0,99.0,1.0,33.0,34.0,0.0,65.0,65.0,1.0,3.0,4.0,0.0,31.0,31.0,9.0,379.0,388.0,5.0,156.0,161.0,3.0,134.0,137.0,0.0,9.0,9.0,2.0,13.0,15.0,4.0,223.0,227.0,510.0,5462.0,5972.0,510.0,5462.0,5972.0,0.0,0.0,0.0,10.0,427.0,437.0,9.0,0.0,0.0,260.0,1.0,0.0,9.0,261.0,270.0,-25.0,25.0,0.0,5.0,15.0,20.0,3.0,51.0,54.0,18.0,75.0,93.0,520.0,5889.0,6409.0,515.0,5867.0,6382.0,11724.0,3.0,24.0,5.0,20.0,25.0,4.0,0.0,0.0,2.0,2.0,42.0,603.0,645.0,0.0,0.0,0.0,478.0,5286.0,5764.0,35.0,203.0,238.0,35.0,0.0,0.0,197.0,1.0,0.0,35.0,198.0,233.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,,
