December 2017 (Accessible sheet). Data table begins in Cell A5. Item descriptions are contained within input messages in Row 5.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,PART A.  ,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,Part B,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART C,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,PART D,,
Del Norte,133.0,14.0,144.0,102.0,1.0,0.0,1.0,0.0,41.0,41.0,0.0,20.0,20.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,140.0,144.0,3.0,68.0,71.0,2.0,64.0,66.0,1.0,3.0,4.0,0.0,1.0,1.0,1.0,72.0,73.0,355.0,2024.0,2379.0,355.0,2024.0,2379.0,0.0,0.0,0.0,10.0,235.0,245.0,6.0,0.0,0.0,96.0,0.0,0.0,6.0,96.0,102.0,-7.0,7.0,0.0,0.0,6.0,6.0,0.0,27.0,27.0,11.0,99.0,110.0,365.0,2259.0,2624.0,365.0,2258.0,2623.0,5269.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,190.0,214.0,0.0,0.0,0.0,341.0,2069.0,2410.0,21.0,94.0,115.0,21.0,0.0,0.0,92.0,0.0,0.0,21.0,92.0,113.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,
El Dorado,541.0,104.0,547.0,334.0,0.0,6.0,6.0,0.0,196.0,196.0,0.0,45.0,45.0,0.0,151.0,151.0,0.0,4.0,4.0,0.0,17.0,17.0,10.0,536.0,546.0,8.0,241.0,249.0,8.0,238.0,246.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,295.0,297.0,471.0,5609.0,6080.0,471.0,5609.0,6080.0,0.0,0.0,0.0,18.0,592.0,610.0,14.0,0.0,0.0,320.0,0.0,0.0,14.0,320.0,334.0,-16.0,16.0,0.0,4.0,19.0,23.0,7.0,88.0,95.0,9.0,149.0,158.0,489.0,6201.0,6690.0,487.0,6168.0,6655.0,11609.0,3.0,28.0,2.0,24.0,26.0,10.0,0.0,0.0,9.0,9.0,31.0,611.0,642.0,0.0,3.0,3.0,458.0,5590.0,6048.0,26.0,192.0,218.0,26.0,0.0,0.0,186.0,0.0,0.0,26.0,186.0,212.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,,
Fresno,5102.0,1924.0,5527.0,3789.0,22.0,223.0,245.0,4.0,1654.0,1658.0,4.0,1649.0,1653.0,0.0,5.0,5.0,1.0,322.0,323.0,0.0,80.0,80.0,58.0,3674.0,3732.0,28.0,1742.0,1770.0,26.0,1645.0,1671.0,2.0,72.0,74.0,0.0,25.0,25.0,30.0,1932.0,1962.0,11245.0,74543.0,85788.0,10689.0,71116.0,81805.0,556.0,3427.0,3983.0,202.0,3729.0,3931.0,234.0,2.0,1.0,3481.0,39.0,32.0,237.0,3552.0,3789.0,-54.0,54.0,0.0,15.0,79.0,94.0,3.0,12.0,15.0,1.0,32.0,33.0,11447.0,78272.0,89719.0,11269.0,77394.0,88663.0,205084.0,65.0,893.0,165.0,647.0,812.0,271.0,32.0,13.0,231.0,244.0,786.0,7590.0,8376.0,0.0,0.0,0.0,10661.0,70682.0,81343.0,903.0,5479.0,6382.0,745.0,10.0,1.0,4289.0,52.0,17.0,756.0,4358.0,5114.0,145.0,2.0,0.0,1106.0,15.0,0.0,147.0,1121.0,1268.0,8.0,71.0,79.0,,
Glenn,108.0,13.0,103.0,68.0,0.0,3.0,3.0,0.0,35.0,35.0,0.0,10.0,10.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,102.0,103.0,0.0,46.0,46.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,56.0,57.0,190.0,1198.0,1388.0,190.0,1198.0,1388.0,0.0,0.0,0.0,9.0,113.0,122.0,1.0,0.0,0.0,67.0,0.0,0.0,1.0,67.0,68.0,2.0,-2.0,0.0,0.0,12.0,12.0,1.0,12.0,13.0,5.0,24.0,29.0,199.0,1311.0,1510.0,198.0,1304.0,1502.0,3470.0,0.0,8.0,1.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,10.0,118.0,128.0,0.0,0.0,0.0,189.0,1193.0,1382.0,16.0,54.0,70.0,15.0,0.0,0.0,53.0,0.0,0.0,15.0,53.0,68.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,,
Humboldt,1000.0,187.0,1142.0,587.0,1.0,24.0,25.0,0.0,518.0,518.0,0.0,112.0,112.0,0.0,406.0,406.0,0.0,10.0,10.0,0.0,37.0,37.0,15.0,1127.0,1142.0,9.0,403.0,412.0,7.0,391.0,398.0,0.0,9.0,9.0,2.0,3.0,5.0,6.0,724.0,730.0,774.0,10398.0,11172.0,774.0,10398.0,11172.0,0.0,0.0,0.0,28.0,1046.0,1074.0,15.0,0.0,0.0,570.0,1.0,1.0,15.0,572.0,587.0,-6.0,6.0,0.0,2.0,31.0,33.0,0.0,134.0,134.0,17.0,303.0,320.0,802.0,11444.0,12246.0,801.0,11407.0,12208.0,20326.0,9.0,31.0,1.0,32.0,33.0,5.0,0.0,0.0,5.0,5.0,45.0,1211.0,1256.0,0.0,27.0,27.0,757.0,10233.0,10990.0,44.0,392.0,436.0,44.0,0.0,0.0,386.0,2.0,0.0,44.0,388.0,432.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,,
Imperial,863.0,117.0,869.0,588.0,0.0,7.0,7.0,0.0,234.0,234.0,0.0,85.0,85.0,0.0,149.0,149.0,0.0,7.0,7.0,0.0,47.0,47.0,25.0,844.0,869.0,11.0,342.0,353.0,11.0,315.0,326.0,0.0,17.0,17.0,0.0,10.0,10.0,14.0,502.0,516.0,2186.0,14160.0,16346.0,2186.0,14161.0,16347.0,0.0,-1.0,-1.0,68.0,1000.0,1068.0,30.0,0.0,0.0,540.0,12.0,6.0,30.0,558.0,588.0,1.0,-1.0,0.0,5.0,20.0,25.0,6.0,197.0,203.0,26.0,226.0,252.0,2254.0,15160.0,17414.0,2229.0,14820.0,17049.0,41478.0,21.0,306.0,25.0,277.0,302.0,66.0,1.0,0.0,63.0,63.0,86.0,1302.0,1388.0,0.0,0.0,0.0,2168.0,13858.0,16026.0,124.0,551.0,675.0,122.0,1.0,0.0,536.0,10.0,1.0,123.0,547.0,670.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,4.0,5.0,0.0,0.0,0.0,,
Inyo,80.0,3.0,73.0,55.0,0.0,0.0,0.0,1.0,14.0,15.0,1.0,9.0,10.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,70.0,73.0,1.0,33.0,34.0,1.0,28.0,29.0,0.0,1.0,1.0,0.0,4.0,4.0,2.0,37.0,39.0,75.0,842.0,917.0,75.0,842.0,917.0,0.0,0.0,0.0,6.0,83.0,89.0,2.0,0.0,0.0,52.0,1.0,0.0,2.0,53.0,55.0,2.0,-2.0,0.0,1.0,3.0,4.0,0.0,10.0,10.0,1.0,19.0,20.0,81.0,925.0,1006.0,80.0,920.0,1000.0,1929.0,1.0,3.0,1.0,3.0,4.0,2.0,0.0,0.0,2.0,2.0,6.0,69.0,75.0,0.0,0.0,0.0,75.0,856.0,931.0,3.0,27.0,30.0,3.0,0.0,0.0,27.0,0.0,0.0,3.0,27.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Kern,4762.0,1332.0,5269.0,3415.0,3.0,48.0,51.0,0.0,1671.0,1671.0,0.0,467.0,467.0,0.0,1204.0,1204.0,0.0,19.0,19.0,0.0,183.0,183.0,145.0,5123.0,5268.0,95.0,2094.0,2189.0,92.0,1958.0,2050.0,2.0,85.0,87.0,1.0,51.0,52.0,50.0,3029.0,3079.0,9044.0,54929.0,63973.0,9044.0,54930.0,63974.0,0.0,-1.0,-1.0,424.0,4846.0,5270.0,211.0,2.0,0.0,3128.0,60.0,14.0,213.0,3202.0,3415.0,-11.0,11.0,0.0,23.0,137.0,160.0,58.0,564.0,622.0,141.0,932.0,1073.0,9468.0,59775.0,69243.0,9418.0,58837.0,68255.0,158259.0,59.0,746.0,48.0,692.0,740.0,315.0,10.0,2.0,246.0,248.0,483.0,6240.0,6723.0,1.0,19.0,20.0,8985.0,53535.0,62520.0,507.0,2063.0,2570.0,500.0,2.0,0.0,1926.0,29.0,1.0,502.0,1956.0,2458.0,5.0,0.0,0.0,104.0,3.0,0.0,5.0,107.0,112.0,0.0,0.0,0.0,,
Kings,706.0,109.0,744.0,502.0,0.0,0.0,0.0,0.0,210.0,210.0,0.0,88.0,88.0,0.0,122.0,122.0,0.0,1.0,1.0,0.0,32.0,32.0,25.0,718.0,743.0,16.0,307.0,323.0,15.0,295.0,310.0,0.0,9.0,9.0,1.0,3.0,4.0,9.0,411.0,420.0,1379.0,8569.0,9948.0,1379.0,8569.0,9948.0,0.0,0.0,0.0,88.0,765.0,853.0,31.0,0.0,0.0,460.0,8.0,3.0,31.0,471.0,502.0,14.0,-14.0,0.0,9.0,17.0,26.0,13.0,132.0,145.0,21.0,159.0,180.0,1467.0,9334.0,10801.0,1455.0,9175.0,10630.0,23864.0,16.0,129.0,12.0,125.0,137.0,40.0,1.0,0.0,34.0,34.0,87.0,932.0,1019.0,0.0,2.0,2.0,1380.0,8402.0,9782.0,81.0,316.0,397.0,79.0,2.0,0.0,307.0,3.0,1.0,81.0,311.0,392.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,,
Lake,363.0,51.0,401.0,272.0,3.0,32.0,35.0,0.0,104.0,104.0,0.0,26.0,26.0,0.0,78.0,78.0,0.0,8.0,8.0,0.0,25.0,25.0,6.0,395.0,401.0,1.0,170.0,171.0,1.0,155.0,156.0,0.0,9.0,9.0,0.0,6.0,6.0,5.0,225.0,230.0,470.0,5233.0,5703.0,470.0,5233.0,5703.0,0.0,0.0,0.0,54.0,482.0,536.0,10.0,0.0,0.0,258.0,3.0,1.0,10.0,262.0,272.0,14.0,-14.0,0.0,3.0,22.0,25.0,3.0,42.0,45.0,24.0,170.0,194.0,524.0,5715.0,6239.0,520.0,5688.0,6208.0,11749.0,3.0,27.0,4.0,24.0,28.0,4.0,0.0,0.0,3.0,3.0,49.0,517.0,566.0,0.0,0.0,0.0,475.0,5198.0,5673.0,24.0,257.0,281.0,24.0,0.0,0.0,255.0,0.0,0.0,24.0,255.0,279.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,
