February 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PART A.  ,,,,,,PART A.  ,,,,,,PART A.  ,,,,,,PART A.  ,,,,Part B,,Part B,,,,,,Part B,,,,,,Part B,,,,PART C,,PART C,,,,,,PART C,,,,,,PART C,,,,,,PART C,,,,,,,,PART C,,,,,,,,PART C,,,PART C,,,,,,,,PART C,,,,,,,,PART C,,,,PART D,,,,PART D,,,,,,,,PART D,,,PART D,,,,,,,,PART D,
Lake,395.0,59.0,399.0,285.0,0.0,9.0,9.0,0.0,101.0,101.0,0.0,40.0,40.0,0.0,61.0,61.0,0.0,2.0,2.0,0.0,13.0,13.0,7.0,392.0,399.0,4.0,193.0,197.0,4.0,179.0,183.0,0.0,8.0,8.0,0.0,6.0,6.0,3.0,199.0,202.0,566.0,5447.0,6013.0,566.0,5447.0,6013.0,0.0,0.0,0.0,26.0,522.0,548.0,6.0,1.0,0.0,277.0,1.0,0.0,7.0,278.0,285.0,-2.0,2.0,0.0,0.0,12.0,12.0,3.0,26.0,29.0,18.0,204.0,222.0,592.0,5969.0,6561.0,585.0,5939.0,6524.0,12273.0,5.0,33.0,7.0,25.0,32.0,6.0,1.0,0.0,5.0,5.0,41.0,527.0,568.0,0.0,0.0,0.0,551.0,5442.0,5993.0,47.0,302.0,349.0,46.0,1.0,0.0,298.0,1.0,0.0,47.0,299.0,346.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,
Lassen,79.0,4.0,84.0,62.0,1.0,3.0,4.0,0.0,21.0,21.0,0.0,14.0,14.0,0.0,7.0,7.0,0.0,1.0,1.0,0.0,1.0,1.0,5.0,79.0,84.0,1.0,43.0,44.0,1.0,36.0,37.0,0.0,4.0,4.0,0.0,3.0,3.0,4.0,36.0,40.0,215.0,1242.0,1457.0,215.0,1242.0,1457.0,0.0,0.0,0.0,31.0,110.0,141.0,8.0,0.0,0.0,53.0,1.0,0.0,8.0,54.0,62.0,9.0,-9.0,0.0,2.0,1.0,3.0,3.0,34.0,37.0,9.0,30.0,39.0,246.0,1352.0,1598.0,246.0,1349.0,1595.0,3123.0,0.0,4.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,21.0,163.0,184.0,0.0,0.0,0.0,225.0,1189.0,1414.0,12.0,50.0,62.0,12.0,0.0,0.0,50.0,0.0,0.0,12.0,50.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Los Angeles,29023.0,5497.0,33430.0,25508.0,71.0,355.0,426.0,16.0,6735.0,6751.0,9.0,2257.0,2266.0,7.0,4478.0,4485.0,1.0,120.0,121.0,0.0,1171.0,1171.0,2004.0,29242.0,31246.0,1325.0,14802.0,16127.0,1041.0,13354.0,14395.0,79.0,561.0,640.0,205.0,887.0,1092.0,679.0,14440.0,15119.0,83220.0,422576.0,505796.0,84915.0,438195.0,523110.0,-1695.0,-15619.0,-17314.0,3996.0,39980.0,43976.0,2230.0,40.0,4.0,22791.0,247.0,196.0,2274.0,23234.0,25508.0,-1637.0,1637.0,0.0,39.0,167.0,206.0,289.0,1985.0,2274.0,3031.0,12957.0,15988.0,87216.0,462556.0,549772.0,84709.0,453764.0,538473.0,1092025.0,631.0,9227.0,2254.0,5456.0,7710.0,4029.0,545.0,253.0,3336.0,3589.0,3586.0,25364.0,28950.0,104.0,308.0,412.0,83630.0,437192.0,520822.0,4838.0,15226.0,20064.0,4670.0,144.0,3.0,14740.0,263.0,78.0,4817.0,15081.0,19898.0,21.0,0.0,0.0,139.0,6.0,0.0,21.0,145.0,166.0,0.0,0.0,0.0,
Madera,586.0,84.0,652.0,428.0,0.0,10.0,10.0,0.0,199.0,199.0,0.0,85.0,85.0,0.0,114.0,114.0,0.0,3.0,3.0,0.0,25.0,25.0,17.0,635.0,652.0,8.0,257.0,265.0,6.0,245.0,251.0,1.0,5.0,6.0,1.0,7.0,8.0,9.0,378.0,387.0,1720.0,9496.0,11216.0,1720.0,9496.0,11216.0,0.0,0.0,0.0,102.0,622.0,724.0,20.0,0.0,0.0,406.0,2.0,0.0,20.0,408.0,428.0,42.0,-42.0,0.0,7.0,17.0,24.0,7.0,121.0,128.0,26.0,118.0,144.0,1822.0,10118.0,11940.0,1806.0,10048.0,11854.0,28922.0,2.0,77.0,15.0,61.0,76.0,9.0,9.0,1.0,9.0,10.0,94.0,729.0,823.0,0.0,0.0,0.0,1728.0,9389.0,11117.0,85.0,448.0,533.0,84.0,1.0,0.0,441.0,1.0,1.0,85.0,443.0,528.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,
Marin,402.0,98.0,409.0,271.0,0.0,6.0,6.0,0.0,120.0,120.0,0.0,59.0,59.0,0.0,61.0,61.0,0.0,1.0,1.0,0.0,18.0,18.0,10.0,398.0,408.0,6.0,181.0,187.0,5.0,172.0,177.0,1.0,6.0,7.0,0.0,3.0,3.0,4.0,217.0,221.0,549.0,5128.0,5677.0,549.0,5128.0,5677.0,0.0,0.0,0.0,21.0,453.0,474.0,12.0,0.0,0.0,252.0,2.0,5.0,12.0,259.0,271.0,-12.0,12.0,0.0,2.0,7.0,9.0,2.0,51.0,53.0,17.0,124.0,141.0,570.0,5581.0,6151.0,535.0,5283.0,5818.0,9803.0,7.0,310.0,32.0,233.0,265.0,66.0,11.0,3.0,65.0,68.0,30.0,611.0,641.0,0.0,0.0,0.0,540.0,4970.0,5510.0,31.0,187.0,218.0,28.0,3.0,0.0,172.0,9.0,3.0,31.0,184.0,215.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,
Mariposa,79.0,15.0,83.0,49.0,0.0,3.0,3.0,0.0,30.0,30.0,0.0,11.0,11.0,0.0,19.0,19.0,0.0,1.0,1.0,0.0,4.0,4.0,0.0,83.0,83.0,0.0,36.0,36.0,0.0,12.0,12.0,0.0,19.0,19.0,0.0,5.0,5.0,0.0,47.0,47.0,88.0,834.0,922.0,88.0,834.0,922.0,0.0,0.0,0.0,7.0,88.0,95.0,0.0,0.0,0.0,48.0,1.0,0.0,0.0,49.0,49.0,3.0,-3.0,0.0,1.0,4.0,5.0,0.0,10.0,10.0,3.0,28.0,31.0,95.0,922.0,1017.0,94.0,918.0,1012.0,1846.0,1.0,3.0,1.0,3.0,4.0,1.0,0.0,0.0,1.0,1.0,5.0,83.0,88.0,0.0,4.0,4.0,90.0,839.0,929.0,6.0,43.0,49.0,6.0,0.0,0.0,42.0,0.0,1.0,6.0,43.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Mendocino,403.0,42.0,417.0,334.0,1.0,29.0,30.0,0.0,78.0,78.0,0.0,25.0,25.0,0.0,53.0,53.0,0.0,5.0,5.0,0.0,5.0,5.0,14.0,403.0,417.0,11.0,234.0,245.0,11.0,222.0,233.0,0.0,4.0,4.0,0.0,8.0,8.0,3.0,169.0,172.0,534.0,5213.0,5747.0,534.0,5213.0,5747.0,0.0,0.0,0.0,43.0,555.0,598.0,17.0,0.0,0.0,315.0,1.0,1.0,17.0,317.0,334.0,8.0,-8.0,0.0,4.0,7.0,11.0,4.0,87.0,91.0,10.0,152.0,162.0,577.0,5768.0,6345.0,568.0,5723.0,6291.0,11875.0,2.0,45.0,8.0,35.0,43.0,12.0,1.0,1.0,10.0,11.0,50.0,570.0,620.0,0.0,0.0,0.0,527.0,5198.0,5725.0,27.0,201.0,228.0,26.0,1.0,0.0,195.0,4.0,1.0,27.0,200.0,227.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,
Merced,1340.0,210.0,1523.0,920.0,7.0,54.0,61.0,1.0,495.0,496.0,1.0,210.0,211.0,0.0,285.0,285.0,1.0,23.0,24.0,0.0,107.0,107.0,36.0,1487.0,1523.0,23.0,567.0,590.0,23.0,544.0,567.0,0.0,17.0,17.0,0.0,6.0,6.0,13.0,920.0,933.0,3580.0,18811.0,22391.0,3580.0,18811.0,22391.0,0.0,0.0,0.0,99.0,1603.0,1702.0,46.0,1.0,0.0,868.0,3.0,2.0,47.0,873.0,920.0,-45.0,45.0,0.0,5.0,48.0,53.0,24.0,205.0,229.0,68.0,432.0,500.0,3679.0,20414.0,24093.0,3663.0,20317.0,23980.0,55763.0,3.0,108.0,15.0,85.0,100.0,12.0,2.0,1.0,12.0,13.0,149.0,1554.0,1703.0,0.0,25.0,25.0,3530.0,18860.0,22390.0,184.0,847.0,1031.0,183.0,0.0,0.0,830.0,4.0,0.0,183.0,834.0,1017.0,1.0,0.0,0.0,13.0,0.0,0.0,1.0,13.0,14.0,0.0,0.0,0.0,
Modoc,31.0,4.0,31.0,25.0,0.0,1.0,1.0,0.0,5.0,5.0,0.0,3.0,3.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,31.0,31.0,0.0,12.0,12.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,72.0,437.0,509.0,72.0,437.0,509.0,0.0,0.0,0.0,6.0,37.0,43.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,25.0,25.0,4.0,-4.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,12.0,14.0,78.0,474.0,552.0,77.0,473.0,550.0,1175.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,8.0,38.0,46.0,0.0,0.0,0.0,70.0,436.0,506.0,1.0,17.0,18.0,1.0,0.0,0.0,17.0,0.0,0.0,1.0,17.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Mono,22.0,5.0,26.0,15.0,0.0,1.0,1.0,0.0,8.0,8.0,0.0,3.0,3.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,26.0,26.0,0.0,11.0,11.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,15.0,15.0,10.0,418.0,428.0,10.0,418.0,428.0,0.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,3.0,3.0,0.0,8.0,8.0,10.0,448.0,458.0,10.0,445.0,455.0,748.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,56.0,58.0,0.0,0.0,0.0,8.0,392.0,400.0,0.0,10.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Monterey,1585.0,348.0,1936.0,1273.0,1.0,15.0,16.0,0.0,582.0,582.0,0.0,343.0,343.0,0.0,239.0,239.0,0.0,6.0,6.0,0.0,81.0,81.0,25.0,1911.0,1936.0,14.0,618.0,632.0,14.0,594.0,608.0,0.0,11.0,11.0,0.0,13.0,13.0,11.0,1293.0,1304.0,2725.0,18783.0,21508.0,2725.0,18783.0,21508.0,0.0,0.0,0.0,520.0,1581.0,2101.0,43.0,0.0,0.0,1217.0,13.0,0.0,43.0,1230.0,1273.0,413.0,-413.0,0.0,4.0,24.0,28.0,20.0,144.0,164.0,40.0,596.0,636.0,3245.0,20364.0,23609.0,3218.0,20075.0,23293.0,52366.0,13.0,309.0,26.0,262.0,288.0,30.0,8.0,1.0,27.0,28.0,123.0,1508.0,1631.0,0.0,4.0,4.0,3122.0,18856.0,21978.0,127.0,780.0,907.0,124.0,3.0,0.0,757.0,8.0,0.0,127.0,765.0,892.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,
Napa,279.0,76.0,268.0,133.0,0.0,8.0,8.0,0.0,102.0,102.0,0.0,32.0,32.0,0.0,70.0,70.0,0.0,1.0,1.0,0.0,33.0,33.0,3.0,265.0,268.0,1.0,87.0,88.0,1.0,82.0,83.0,0.0,3.0,3.0,0.0,2.0,2.0,2.0,178.0,180.0,294.0,2808.0,3102.0,294.0,2808.0,3102.0,0.0,0.0,0.0,19.0,253.0,272.0,7.0,0.0,0.0,121.0,5.0,0.0,7.0,126.0,133.0,2.0,-2.0,0.0,1.0,8.0,9.0,3.0,18.0,21.0,6.0,103.0,109.0,313.0,3061.0,3374.0,304.0,3011.0,3315.0,6784.0,3.0,56.0,9.0,45.0,54.0,5.0,0.0,0.0,5.0,5.0,16.0,243.0,259.0,0.0,0.0,0.0,297.0,2818.0,3115.0,20.0,156.0,176.0,20.0,0.0,0.0,151.0,2.0,2.0,20.0,155.0,175.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,
Nevada,375.0,125.0,353.0,215.0,1.0,32.0,33.0,0.0,127.0,127.0,0.0,45.0,45.0,0.0,82.0,82.0,0.0,7.0,7.0,0.0,11.0,11.0,3.0,350.0,353.0,2.0,157.0,159.0,2.0,128.0,130.0,0.0,6.0,6.0,0.0,23.0,23.0,1.0,193.0,194.0,232.0,3617.0,3849.0,232.0,3618.0,3850.0,0.0,-1.0,-1.0,13.0,340.0,353.0,3.0,0.0,0.0,208.0,3.0,1.0,3.0,212.0,215.0,2.0,-2.0,0.0,1.0,9.0,10.0,0.0,48.0,48.0,7.0,73.0,80.0,245.0,3957.0,4202.0,244.0,3944.0,4188.0,7314.0,2.0,12.0,1.0,12.0,13.0,1.0,0.0,0.0,1.0,1.0,17.0,410.0,427.0,0.0,4.0,4.0,228.0,3547.0,3775.0,11.0,146.0,157.0,11.0,0.0,0.0,142.0,0.0,0.0,11.0,142.0,153.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,
Orange,6186.0,1550.0,6170.0,4249.0,0.0,42.0,42.0,0.0,1662.0,1662.0,0.0,756.0,756.0,0.0,906.0,906.0,0.0,4.0,4.0,0.0,259.0,259.0,75.0,4545.0,4620.0,39.0,1711.0,1750.0,39.0,1703.0,1742.0,0.0,5.0,5.0,0.0,3.0,3.0,36.0,2834.0,2870.0,9725.0,100600.0,110325.0,9826.0,100439.0,110265.0,-101.0,161.0,60.0,478.0,8542.0,9020.0,190.0,8.0,0.0,3929.0,67.0,55.0,198.0,4051.0,4249.0,-84.0,84.0,0.0,10.0,91.0,101.0,58.0,910.0,968.0,296.0,3406.0,3702.0,10203.0,109142.0,119345.0,9998.0,105977.0,115975.0,243939.0,279.0,2957.0,202.0,2041.0,2243.0,1557.0,13.0,3.0,1124.0,1127.0,539.0,10473.0,11012.0,0.0,0.0,0.0,9664.0,98669.0,108333.0,610.0,6093.0,6703.0,585.0,13.0,0.0,4635.0,95.0,33.0,598.0,4763.0,5361.0,12.0,0.0,0.0,1276.0,40.0,14.0,12.0,1330.0,1342.0,4.0,79.0,83.0,
Placer,594.0,244.0,565.0,275.0,0.0,0.0,0.0,0.0,261.0,261.0,0.0,66.0,66.0,0.0,195.0,195.0,0.0,17.0,17.0,0.0,29.0,29.0,5.0,352.0,357.0,3.0,171.0,174.0,3.0,165.0,168.0,0.0,5.0,5.0,0.0,1.0,1.0,2.0,181.0,183.0,648.0,7575.0,8223.0,637.0,7342.0,7979.0,11.0,233.0,244.0,39.0,575.0,614.0,14.0,1.0,0.0,257.0,0.0,3.0,15.0,260.0,275.0,-1.0,1.0,0.0,3.0,40.0,43.0,4.0,82.0,86.0,18.0,192.0,210.0,687.0,8150.0,8837.0,677.0,8076.0,8753.0,16251.0,5.0,63.0,8.0,40.0,48.0,50.0,7.0,2.0,34.0,36.0,53.0,915.0,968.0,0.0,0.0,0.0,634.0,7235.0,7869.0,35.0,302.0,337.0,35.0,0.0,0.0,299.0,1.0,0.0,35.0,300.0,335.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,
Plumas,103.0,18.0,93.0,56.0,0.0,4.0,4.0,0.0,34.0,34.0,0.0,8.0,8.0,0.0,26.0,26.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,93.0,93.0,0.0,31.0,31.0,0.0,28.0,28.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,62.0,62.0,82.0,974.0,1056.0,82.0,974.0,1056.0,0.0,0.0,0.0,7.0,108.0,115.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,56.0,56.0,4.0,-4.0,0.0,1.0,1.0,2.0,1.0,26.0,27.0,1.0,29.0,30.0,89.0,1082.0,1171.0,89.0,1081.0,1170.0,2109.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,113.0,117.0,0.0,0.0,0.0,85.0,969.0,1054.0,4.0,39.0,43.0,4.0,0.0,0.0,39.0,0.0,0.0,4.0,39.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Riverside,8800.0,2396.0,9456.0,5620.0,1.0,30.0,31.0,5.0,3501.0,3506.0,5.0,1408.0,1413.0,0.0,2093.0,2093.0,0.0,17.0,17.0,0.0,330.0,330.0,228.0,9228.0,9456.0,168.0,3895.0,4063.0,158.0,3687.0,3845.0,3.0,117.0,120.0,7.0,91.0,98.0,60.0,5333.0,5393.0,14240.0,101567.0,115807.0,14240.0,101567.0,115807.0,0.0,0.0,0.0,648.0,9182.0,9830.0,270.0,1.0,0.0,5289.0,42.0,18.0,271.0,5349.0,5620.0,-45.0,45.0,0.0,24.0,153.0,177.0,121.0,1616.0,1737.0,277.0,2019.0,2296.0,14888.0,110749.0,125637.0,14773.0,109751.0,124524.0,276697.0,115.0,926.0,107.0,811.0,918.0,223.0,31.0,8.0,187.0,195.0,774.0,10251.0,11025.0,1.0,97.0,98.0,14114.0,100498.0,114612.0,943.0,4591.0,5534.0,931.0,10.0,0.0,4507.0,31.0,5.0,941.0,4543.0,5484.0,2.0,0.0,0.0,47.0,1.0,0.0,2.0,48.0,50.0,0.0,0.0,0.0,
Sacramento,6831.0,1943.0,6085.0,3735.0,5.0,30.0,35.0,0.0,2184.0,2184.0,0.0,661.0,661.0,0.0,1523.0,1523.0,0.0,97.0,97.0,0.0,166.0,166.0,248.0,5837.0,6085.0,109.0,1555.0,1664.0,108.0,1545.0,1653.0,1.0,7.0,8.0,0.0,3.0,3.0,139.0,4282.0,4421.0,13544.0,78118.0,91662.0,13413.0,77430.0,90843.0,131.0,688.0,819.0,770.0,7266.0,8036.0,397.0,20.0,0.0,3245.0,40.0,33.0,417.0,3318.0,3735.0,-205.0,205.0,0.0,8.0,91.0,99.0,50.0,576.0,626.0,500.0,3076.0,3576.0,14314.0,85384.0,99698.0,13707.0,83426.0,97133.0,208535.0,134.0,2671.0,598.0,1385.0,1983.0,769.0,27.0,9.0,573.0,582.0,957.0,8100.0,9057.0,0.0,19.0,19.0,13357.0,77284.0,90641.0,842.0,4194.0,5036.0,784.0,27.0,0.0,3837.0,71.0,12.0,811.0,3920.0,4731.0,30.0,1.0,0.0,266.0,7.0,1.0,31.0,274.0,305.0,4.0,20.0,24.0,
San Benito,137.0,29.0,199.0,121.0,0.0,9.0,9.0,0.0,66.0,66.0,0.0,20.0,20.0,0.0,46.0,46.0,0.0,3.0,3.0,0.0,12.0,12.0,6.0,193.0,199.0,3.0,58.0,61.0,3.0,53.0,56.0,0.0,0.0,0.0,0.0,5.0,5.0,3.0,135.0,138.0,250.0,1877.0,2127.0,250.0,1877.0,2127.0,0.0,0.0,0.0,11.0,242.0,253.0,8.0,0.0,0.0,112.0,1.0,0.0,8.0,113.0,121.0,-4.0,4.0,0.0,2.0,6.0,8.0,0.0,22.0,22.0,5.0,97.0,102.0,261.0,2119.0,2380.0,260.0,2098.0,2358.0,5339.0,3.0,20.0,1.0,20.0,21.0,1.0,0.0,0.0,1.0,1.0,7.0,166.0,173.0,0.0,0.0,0.0,254.0,1953.0,2207.0,10.0,130.0,140.0,10.0,0.0,0.0,125.0,2.0,0.0,10.0,127.0,137.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,
San Bernardino,10864.0,2961.0,11250.0,7944.0,7.0,48.0,55.0,2.0,3037.0,3039.0,2.0,1290.0,1292.0,0.0,1747.0,1747.0,0.0,33.0,33.0,0.0,267.0,267.0,313.0,10934.0,11247.0,207.0,5181.0,5388.0,193.0,4917.0,5110.0,6.0,170.0,176.0,8.0,94.0,102.0,106.0,5753.0,5859.0,22696.0,135647.0,158343.0,22696.0,135649.0,158345.0,0.0,-2.0,-2.0,1279.0,11835.0,13114.0,381.0,4.0,0.0,7489.0,49.0,21.0,385.0,7559.0,7944.0,96.0,-96.0,0.0,35.0,152.0,187.0,105.0,1237.0,1342.0,658.0,2983.0,3641.0,23975.0,147482.0,171457.0,23819.0,146203.0,170022.0,372863.0,113.0,1164.0,149.0,930.0,1079.0,425.0,54.0,7.0,349.0,356.0,1761.0,13621.0,15382.0,0.0,27.0,27.0,22214.0,133861.0,156075.0,1309.0,5565.0,6874.0,1297.0,12.0,0.0,5467.0,31.0,15.0,1309.0,5513.0,6822.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,52.0,52.0,0.0,0.0,0.0,
San Diego,10114.0,3534.0,10605.0,5765.0,3.0,135.0,138.0,10.0,4423.0,4433.0,10.0,4414.0,4424.0,0.0,9.0,9.0,0.0,672.0,672.0,0.0,407.0,407.0,133.0,6334.0,6467.0,57.0,2225.0,2282.0,54.0,2162.0,2216.0,3.0,35.0,38.0,0.0,28.0,28.0,76.0,4109.0,4185.0,11919.0,113202.0,125121.0,11881.0,112216.0,124097.0,38.0,986.0,1024.0,653.0,10026.0,10679.0,234.0,5.0,0.0,5406.0,77.0,43.0,239.0,5526.0,5765.0,-64.0,64.0,0.0,17.0,124.0,141.0,9.0,272.0,281.0,452.0,4040.0,4492.0,12572.0,123228.0,135800.0,12262.0,120778.0,133040.0,274974.0,265.0,2468.0,305.0,1716.0,2021.0,904.0,37.0,5.0,734.0,739.0,974.0,12308.0,13282.0,2.0,18.0,20.0,11598.0,110920.0,122518.0,833.0,5659.0,6492.0,753.0,15.0,1.0,4910.0,88.0,27.0,769.0,5025.0,5794.0,62.0,2.0,0.0,618.0,14.0,2.0,64.0,634.0,698.0,0.0,0.0,0.0,
San Francisco,2595.0,843.0,2373.0,1495.0,4.0,32.0,36.0,2.0,757.0,759.0,0.0,203.0,203.0,2.0,554.0,556.0,0.0,48.0,48.0,0.0,119.0,119.0,47.0,1558.0,1605.0,25.0,662.0,687.0,20.0,629.0,649.0,2.0,26.0,28.0,3.0,7.0,10.0,22.0,896.0,918.0,2018.0,29187.0,31205.0,2009.0,29017.0,31026.0,9.0,170.0,179.0,127.0,2537.0,2664.0,54.0,2.0,0.0,1372.0,25.0,42.0,56.0,1439.0,1495.0,-26.0,26.0,0.0,4.0,32.0,36.0,13.0,225.0,238.0,80.0,815.0,895.0,2145.0,31724.0,33869.0,2018.0,30019.0,32037.0,50118.0,101.0,1164.0,120.0,797.0,917.0,1221.0,51.0,7.0,908.0,915.0,183.0,2842.0,3025.0,0.0,0.0,0.0,1962.0,28882.0,30844.0,139.0,1232.0,1371.0,125.0,13.0,1.0,1149.0,40.0,13.0,139.0,1202.0,1341.0,0.0,0.0,0.0,26.0,2.0,2.0,0.0,30.0,30.0,0.0,2.0,2.0,
San Joaquin,2952.0,992.0,3146.0,2063.0,6.0,34.0,40.0,2.0,924.0,926.0,2.0,432.0,434.0,0.0,492.0,492.0,0.0,11.0,11.0,0.0,157.0,157.0,112.0,3027.0,3139.0,70.0,1284.0,1354.0,63.0,1186.0,1249.0,6.0,56.0,62.0,1.0,42.0,43.0,42.0,1743.0,1785.0,6495.0,39676.0,46171.0,6495.0,39678.0,46173.0,0.0,-2.0,-2.0,391.0,3443.0,3834.0,145.0,4.0,0.0,1880.0,23.0,11.0,149.0,1914.0,2063.0,2.0,-2.0,0.0,23.0,88.0,111.0,59.0,518.0,577.0,158.0,925.0,1083.0,6886.0,43119.0,50005.0,6824.0,42523.0,49347.0,110950.0,44.0,568.0,61.0,436.0,497.0,203.0,18.0,1.0,160.0,161.0,366.0,3605.0,3971.0,0.0,1.0,1.0,6520.0,39514.0,46034.0,380.0,2223.0,2603.0,374.0,6.0,0.0,2157.0,24.0,8.0,380.0,2189.0,2569.0,0.0,0.0,0.0,32.0,2.0,0.0,0.0,34.0,34.0,0.0,0.0,0.0,
San Luis Obispo,635.0,138.0,653.0,383.0,0.0,5.0,5.0,0.0,171.0,171.0,0.0,41.0,41.0,0.0,130.0,130.0,0.0,6.0,6.0,0.0,99.0,99.0,10.0,336.0,346.0,6.0,229.0,235.0,6.0,226.0,232.0,0.0,2.0,2.0,0.0,1.0,1.0,4.0,107.0,111.0,823.0,8038.0,8861.0,823.0,8038.0,8861.0,0.0,0.0,0.0,66.0,690.0,756.0,22.0,0.0,0.0,359.0,2.0,0.0,22.0,361.0,383.0,-19.0,19.0,0.0,1.0,5.0,6.0,6.0,113.0,119.0,56.0,192.0,248.0,889.0,8728.0,9617.0,883.0,8685.0,9568.0,17244.0,0.0,52.0,6.0,37.0,43.0,5.0,2.0,0.0,6.0,6.0,49.0,848.0,897.0,0.0,0.0,0.0,840.0,7880.0,8720.0,63.0,392.0,455.0,61.0,1.0,0.0,353.0,1.0,0.0,62.0,354.0,416.0,1.0,0.0,0.0,38.0,0.0,0.0,1.0,38.0,39.0,0.0,0.0,0.0,
San Mateo,1194.0,225.0,1045.0,548.0,1.0,8.0,9.0,0.0,396.0,396.0,0.0,396.0,396.0,0.0,0.0,0.0,0.0,22.0,22.0,0.0,101.0,101.0,16.0,919.0,935.0,7.0,322.0,329.0,5.0,292.0,297.0,1.0,20.0,21.0,1.0,10.0,11.0,9.0,597.0,606.0,720.0,12190.0,12910.0,735.0,12239.0,12974.0,-15.0,-49.0,-64.0,35.0,1212.0,1247.0,10.0,1.0,0.0,515.0,19.0,3.0,11.0,537.0,548.0,-17.0,17.0,0.0,20.0,21.0,41.0,0.0,186.0,186.0,21.0,451.0,472.0,755.0,13402.0,14157.0,730.0,12850.0,13580.0,26727.0,34.0,521.0,25.0,402.0,427.0,186.0,10.0,0.0,150.0,150.0,53.0,1289.0,1342.0,0.0,0.0,0.0,702.0,12113.0,12815.0,55.0,636.0,691.0,52.0,1.0,0.0,591.0,24.0,5.0,53.0,620.0,673.0,2.0,0.0,0.0,15.0,1.0,0.0,2.0,16.0,18.0,0.0,0.0,0.0,
Santa Barbara,1223.0,432.0,1484.0,1002.0,3.0,48.0,51.0,1.0,405.0,406.0,0.0,142.0,142.0,1.0,263.0,264.0,0.0,39.0,39.0,0.0,76.0,76.0,22.0,436.0,458.0,14.0,272.0,286.0,13.0,248.0,261.0,1.0,15.0,16.0,0.0,9.0,9.0,8.0,164.0,172.0,2325.0,14963.0,17288.0,2252.0,15058.0,17310.0,73.0,-95.0,-22.0,174.0,1508.0,1682.0,67.0,0.0,0.0,928.0,6.0,1.0,67.0,935.0,1002.0,33.0,-33.0,0.0,1.0,19.0,20.0,11.0,146.0,157.0,62.0,441.0,503.0,2499.0,16471.0,18970.0,2479.0,16280.0,18759.0,39682.0,21.0,138.0,20.0,130.0,150.0,0.0,75.0,0.0,61.0,61.0,156.0,1530.0,1686.0,0.0,0.0,0.0,2343.0,14941.0,17284.0,146.0,786.0,932.0,139.0,2.0,0.0,754.0,7.0,2.0,141.0,763.0,904.0,5.0,0.0,0.0,22.0,1.0,0.0,5.0,23.0,28.0,0.0,0.0,0.0,
