February 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PART A.  ,,,,,,PART A.  ,,,,,,PART A.  ,,,,,,PART A.  ,,,,Part B,,Part B,,,,,,Part B,,,,,,Part B,,,,PART C,,PART C,,,,,,PART C,,,,,,PART C,,,,,,PART C,,,,,,,,PART C,,,,,,,,PART C,,,PART C,,,,,,,,PART C,,,,,,,,PART C,,,,PART D,,,,PART D,,,,,,,,PART D,,,PART D,,,,,,,,PART D,
Contra Costa  a/  ,2053.0,492.0,1921.0,1071.0,3.0,28.0,31.0,2.0,742.0,744.0,0.0,159.0,159.0,2.0,583.0,585.0,0.0,78.0,78.0,0.0,106.0,106.0,39.0,905.0,944.0,26.0,466.0,492.0,23.0,457.0,480.0,3.0,8.0,11.0,0.0,1.0,1.0,13.0,439.0,452.0,3739.0,25227.0,28966.0,3699.0,24936.0,28635.0,40.0,291.0,331.0,175.0,2556.0,2731.0,86.0,3.0,0.0,953.0,21.0,8.0,89.0,982.0,1071.0,-101.0,101.0,0.0,14.0,65.0,79.0,8.0,42.0,50.0,165.0,1366.0,1531.0,3914.0,27783.0,31697.0,3805.0,27269.0,31074.0,63776.0,38.0,644.0,108.0,381.0,489.0,160.0,20.0,1.0,133.0,134.0,212.0,2917.0,3129.0,0.0,0.0,0.0,3702.0,24866.0,28568.0,293.0,1320.0,1613.0,284.0,7.0,0.0,1242.0,23.0,5.0,291.0,1270.0,1561.0,2.0,0.0,0.0,46.0,3.0,1.0,2.0,50.0,52.0,0.0,1.0,1.0,
Del Norte,173.0,7.0,182.0,106.0,0.0,1.0,1.0,0.0,69.0,69.0,0.0,31.0,31.0,0.0,38.0,38.0,0.0,0.0,0.0,0.0,7.0,7.0,6.0,176.0,182.0,2.0,79.0,81.0,2.0,71.0,73.0,0.0,4.0,4.0,0.0,4.0,4.0,4.0,97.0,101.0,357.0,1982.0,2339.0,357.0,1982.0,2339.0,0.0,0.0,0.0,21.0,217.0,238.0,11.0,0.0,0.0,95.0,0.0,0.0,11.0,95.0,106.0,-3.0,3.0,0.0,0.0,7.0,7.0,2.0,33.0,35.0,11.0,79.0,90.0,378.0,2199.0,2577.0,377.0,2198.0,2575.0,5280.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,26.0,208.0,234.0,0.0,0.0,0.0,352.0,1991.0,2343.0,18.0,104.0,122.0,18.0,0.0,0.0,104.0,0.0,0.0,18.0,104.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
El Dorado,511.0,103.0,538.0,329.0,0.0,3.0,3.0,0.0,195.0,195.0,0.0,79.0,79.0,0.0,116.0,116.0,0.0,0.0,0.0,0.0,14.0,14.0,11.0,527.0,538.0,7.0,232.0,239.0,7.0,229.0,236.0,0.0,2.0,2.0,0.0,1.0,1.0,4.0,295.0,299.0,501.0,5947.0,6448.0,501.0,5947.0,6448.0,0.0,0.0,0.0,29.0,592.0,621.0,12.0,0.0,0.0,316.0,1.0,0.0,12.0,317.0,329.0,1.0,-1.0,0.0,0.0,21.0,21.0,1.0,61.0,62.0,15.0,194.0,209.0,530.0,6539.0,7069.0,529.0,6499.0,7028.0,12527.0,2.0,36.0,1.0,30.0,31.0,13.0,0.0,0.0,10.0,10.0,43.0,629.0,672.0,0.0,0.0,0.0,487.0,5910.0,6397.0,33.0,316.0,349.0,33.0,0.0,0.0,306.0,1.0,2.0,33.0,309.0,342.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,
Fresno,3787.0,1528.0,4130.0,2937.0,29.0,100.0,129.0,2.0,1107.0,1109.0,2.0,1106.0,1108.0,0.0,1.0,1.0,0.0,265.0,265.0,0.0,84.0,84.0,56.0,3159.0,3215.0,22.0,1372.0,1394.0,21.0,1320.0,1341.0,1.0,37.0,38.0,0.0,15.0,15.0,34.0,1787.0,1821.0,12180.0,75531.0,87711.0,11752.0,71928.0,83680.0,428.0,3603.0,4031.0,141.0,2897.0,3038.0,228.0,4.0,2.0,2643.0,31.0,29.0,234.0,2703.0,2937.0,-102.0,102.0,0.0,7.0,60.0,67.0,1.0,10.0,11.0,1.0,22.0,23.0,12321.0,78428.0,90749.0,12108.0,77533.0,89641.0,209731.0,82.0,935.0,196.0,679.0,875.0,259.0,35.0,17.0,216.0,233.0,683.0,6390.0,7073.0,0.0,0.0,0.0,11638.0,72038.0,83676.0,903.0,5023.0,5926.0,807.0,15.0,1.0,4082.0,49.0,3.0,823.0,4134.0,4957.0,80.0,0.0,0.0,880.0,9.0,0.0,80.0,889.0,969.0,5.0,29.0,34.0,
Glenn,115.0,15.0,111.0,69.0,0.0,2.0,2.0,0.0,36.0,36.0,0.0,11.0,11.0,0.0,25.0,25.0,0.0,1.0,1.0,0.0,6.0,6.0,5.0,106.0,111.0,4.0,50.0,54.0,3.0,50.0,53.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,56.0,57.0,200.0,1260.0,1460.0,200.0,1260.0,1460.0,0.0,0.0,0.0,17.0,101.0,118.0,5.0,0.0,0.0,63.0,1.0,0.0,5.0,64.0,69.0,6.0,-6.0,0.0,1.0,3.0,4.0,2.0,11.0,13.0,3.0,29.0,32.0,217.0,1361.0,1578.0,216.0,1353.0,1569.0,3637.0,0.0,8.0,1.0,7.0,8.0,0.0,1.0,0.0,1.0,1.0,13.0,115.0,128.0,0.0,2.0,2.0,204.0,1246.0,1450.0,14.0,68.0,82.0,14.0,0.0,0.0,66.0,1.0,0.0,14.0,67.0,81.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,
Humboldt,949.0,194.0,1087.0,597.0,2.0,7.0,9.0,0.0,454.0,454.0,0.0,183.0,183.0,0.0,271.0,271.0,0.0,6.0,6.0,0.0,36.0,36.0,17.0,1070.0,1087.0,10.0,400.0,410.0,10.0,392.0,402.0,0.0,5.0,5.0,0.0,3.0,3.0,7.0,670.0,677.0,821.0,10542.0,11363.0,821.0,10542.0,11363.0,0.0,0.0,0.0,46.0,1146.0,1192.0,16.0,0.0,0.0,579.0,2.0,0.0,16.0,581.0,597.0,3.0,-3.0,0.0,3.0,17.0,20.0,1.0,125.0,126.0,23.0,426.0,449.0,867.0,11688.0,12555.0,865.0,11657.0,12522.0,21022.0,8.0,27.0,2.0,27.0,29.0,4.0,1.0,0.0,4.0,4.0,54.0,1238.0,1292.0,0.0,21.0,21.0,813.0,10450.0,11263.0,50.0,445.0,495.0,48.0,0.0,0.0,441.0,1.0,0.0,48.0,442.0,490.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,3.0,5.0,0.0,0.0,0.0,
Imperial,905.0,106.0,945.0,622.0,1.0,11.0,12.0,2.0,287.0,289.0,2.0,143.0,145.0,0.0,144.0,144.0,0.0,2.0,2.0,0.0,34.0,34.0,20.0,923.0,943.0,8.0,357.0,365.0,7.0,333.0,340.0,1.0,14.0,15.0,0.0,10.0,10.0,12.0,566.0,578.0,2242.0,14224.0,16466.0,2242.0,14225.0,16467.0,0.0,-1.0,-1.0,60.0,1000.0,1060.0,24.0,1.0,0.0,578.0,14.0,5.0,25.0,597.0,622.0,-7.0,7.0,0.0,0.0,12.0,12.0,13.0,156.0,169.0,29.0,228.0,257.0,2302.0,15224.0,17526.0,2267.0,14840.0,17107.0,42006.0,34.0,354.0,31.0,335.0,366.0,52.0,6.0,4.0,49.0,53.0,88.0,1181.0,1269.0,0.0,1.0,1.0,2214.0,14043.0,16257.0,151.0,668.0,819.0,149.0,1.0,1.0,641.0,12.0,2.0,151.0,655.0,806.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0,
Inyo,65.0,6.0,72.0,56.0,0.0,0.0,0.0,0.0,15.0,15.0,0.0,4.0,4.0,0.0,11.0,11.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,69.0,72.0,1.0,27.0,28.0,1.0,25.0,26.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,42.0,44.0,88.0,862.0,950.0,88.0,862.0,950.0,0.0,0.0,0.0,5.0,69.0,74.0,3.0,0.0,0.0,53.0,0.0,0.0,3.0,53.0,56.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,10.0,10.0,1.0,6.0,7.0,93.0,931.0,1024.0,93.0,925.0,1018.0,1925.0,1.0,4.0,0.0,4.0,4.0,2.0,0.0,0.0,2.0,2.0,13.0,75.0,88.0,0.0,0.0,0.0,80.0,856.0,936.0,5.0,28.0,33.0,5.0,0.0,0.0,28.0,0.0,0.0,5.0,28.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Kern,4852.0,1282.0,5699.0,3671.0,3.0,72.0,75.0,0.0,1805.0,1805.0,0.0,867.0,867.0,0.0,938.0,938.0,0.0,39.0,39.0,0.0,223.0,223.0,162.0,5536.0,5698.0,93.0,2090.0,2183.0,87.0,1900.0,1987.0,3.0,129.0,132.0,3.0,61.0,64.0,69.0,3446.0,3515.0,9733.0,55353.0,65086.0,9733.0,55356.0,65089.0,0.0,-3.0,-3.0,479.0,5085.0,5564.0,207.0,3.0,0.0,3368.0,70.0,23.0,210.0,3461.0,3671.0,77.0,-77.0,0.0,13.0,60.0,73.0,57.0,640.0,697.0,122.0,1001.0,1123.0,10212.0,60438.0,70650.0,10148.0,59394.0,69542.0,163046.0,62.0,881.0,64.0,803.0,867.0,304.0,19.0,0.0,241.0,241.0,465.0,5257.0,5722.0,0.0,7.0,7.0,9747.0,55181.0,64928.0,520.0,2226.0,2746.0,515.0,4.0,0.0,2113.0,34.0,2.0,519.0,2149.0,2668.0,1.0,0.0,0.0,76.0,1.0,0.0,1.0,77.0,78.0,0.0,0.0,0.0,
Kings,726.0,122.0,793.0,527.0,0.0,4.0,4.0,2.0,238.0,240.0,2.0,140.0,142.0,0.0,98.0,98.0,0.0,1.0,1.0,0.0,26.0,26.0,23.0,768.0,791.0,14.0,299.0,313.0,13.0,279.0,292.0,0.0,13.0,13.0,1.0,7.0,8.0,9.0,469.0,478.0,1458.0,8679.0,10137.0,1458.0,8680.0,10138.0,0.0,-1.0,-1.0,105.0,738.0,843.0,25.0,1.0,0.0,489.0,11.0,1.0,26.0,501.0,527.0,36.0,-36.0,0.0,4.0,16.0,20.0,14.0,96.0,110.0,25.0,161.0,186.0,1563.0,9417.0,10980.0,1540.0,9259.0,10799.0,24777.0,14.0,145.0,22.0,130.0,152.0,29.0,10.0,1.0,28.0,29.0,81.0,774.0,855.0,0.0,1.0,1.0,1482.0,8643.0,10125.0,89.0,396.0,485.0,88.0,1.0,0.0,379.0,9.0,0.0,89.0,388.0,477.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,
