The Sort & Filter Function allows for filtering data ,,,,,,,,,,,,,,,,,,,,
Data Sources:,,,,DFA 256,DFA 256,DFA 256,DFA 256,MEDS (July data access),MEDS (July data access),MEDS (July data access),MEDS (July data access),CDPH & MEDS; March data access,CDPH & MEDS; March data access,CA Dept. of Finance annual projection,CA Dept. of Finance annual projection,CA Dept. of Finance annual projection,US Census Bureau ACS annual estimate,State Data Exchange annual projection,"EDD, Labor Market Info annual estimate","US Census Bureau ACS Estimates, DFA 256, MEDS"
,,,,,,,,,,,,,,,,,,,,
County,Consortium,Calendar_Year,SFY,CF_Households_SFY_Avg,CF_Households_CY_Avg,CF_Persons_SFY_Avg,CF_Persons_CY_Avg,Elderly_CF_July,Children_CF_July,Child_Only_HHs_CF_July_CY,ESL_CF_July_CY,WIC_0-4_CF_Reachable,Percent_CF_0-4_in_WIC,Total_Pop_CY,Total_Elderly_60_plus_CY,Total_Children_under_18_CY,Total_ESL_over_5_CY,Total_SSI_Recipients_CY,Unemployment_Pct_CY,CF_Eligibles_CY
33 Riverside,C-IV,2012,2012/13,113238.75,108747.0833,274719.25,267193.4167,8379,143506,18716,62978,0,0,2253317,388894,610090,178052,54970,0.122,482427.2752
34 Sacramento,CalWIN,2012,2012/13,93053.83333,90288.83333,208569.1667,204383.75,5103,102959,11758,46984,0,0,1445230,246325,360996,97511,60330,0.106,310461.5672
35 San Benito,C-IV,2012,2012/13,2663.583333,2627.666667,6252.166667,6167.416667,216,3314,502,1849,0,0,56333,8855,15464,6386,897,0.139,8551.018117
36 San Bernardino,C-IV,2012,2012/13,156048.0833,150229.6667,368160.75,358854.8333,10026,187444,22712,67830,0,0,2077560,292854,585442,172415,65325,0.12,474490.9036
37 San Diego,CalWIN,2012,2012/13,116470.75,111643,254245.8333,247227.4167,11289,125548,19228,88054,0,0,3174446,545262,745003,228674,74992,0.089,564164.4746
38 San Francisco,CalWIN,2012,2012/13,32451.41667,32800.41667,50672.66667,50980.91667,4864,19583,5068,19407,0,0,832605,166284,111955,105810,37817,0.073,121505.8722
39 San Joaquin,C-IV,2012,2012/13,45116.33333,43422.25,110415.75,107506.75,2587,60071,7727,23960,0,0,700414,109853,198439,64140,26908,0.152,138592.4051
40 San Luis Obispo,CalWIN,2012,2012/13,9010.583333,8959.75,17595.75,17536.75,882,8140,1285,3116,0,0,272608,64135,49952,9420,4420,0.081,43666.93102
41 San Mateo,CalWIN,2012,2012/13,13893.41667,13399.33333,28692.08333,27877.5,1886,16040,3538,11878,0,0,740568,148953,160010,60960,11180,0.067,72926.38657
42 Santa Barbara,CalWIN,2012,2012/13,14486.25,14190.75,32711.16667,32135.91667,866,20351,5628,13341,0,0,430287,78892,97191,45401,8597,0.08,76854.9231
