The Sort & Filter Function allows for filtering data ,,,,,,,,,,,,,,,,,,,,
Data Sources:,,,,DFA 256,DFA 256,DFA 256,DFA 256,MEDS (July data access),MEDS (July data access),MEDS (July data access),MEDS (July data access),CDPH & MEDS; March data access,CDPH & MEDS; March data access,CA Dept. of Finance annual projection,CA Dept. of Finance annual projection,CA Dept. of Finance annual projection,US Census Bureau ACS annual estimate,State Data Exchange annual projection,"EDD, Labor Market Info annual estimate","US Census Bureau ACS Estimates, DFA 256, MEDS"
,,,,,,,,,,,,,,,,,,,,
County,Consortium,Calendar_Year,SFY,CF_Households_SFY_Avg,CF_Households_CY_Avg,CF_Persons_SFY_Avg,CF_Persons_CY_Avg,Elderly_CF_July,Children_CF_July,Child_Only_HHs_CF_July_CY,ESL_CF_July_CY,WIC_0-4_CF_Reachable,Percent_CF_0-4_in_WIC,Total_Pop_CY,Total_Elderly_60_plus_CY,Total_Children_under_18_CY,Total_ESL_over_5_CY,Total_SSI_Recipients_CY,Unemployment_Pct_CY,CF_Eligibles_CY
21 Marin,C-IV,2014,2014/15,6347.416667,6176.666667,10486.25,10307.66667,1119,4831,1282,3804,0,0,261033,71692,52956,11871,3034,0.043,22695.63187
22 Mariposa,C-IV,2014,2014/15,1066.666667,1026.916667,2047.75,2016.75,172,711,31,52,0,0,18127,6151,2984,199,454,0.088,3171.7656
23 Mendocino,C-IV,2014,2014/15,7211.166667,7421.75,13385.33333,13782.75,941,5681,618,1931,0,0,88523,23550,19209,4690,3145,0.069,19834.10262
24 Merced,C-IV,2014,2014/15,24703.66667,24109.58333,58014.66667,57188.08333,1886,31258,3796,15688,0,0,267714,39044,79731,33521,10825,0.128,74498.9489
25 Modoc,C-IV,2014,2014/15,471.5,462.25,1021.916667,1005.083333,40,438,31,62,0,0,9564,3011,1868,353,421,0.105,2247.367847
26 Mono,C-IV,2014,2014/15,500.1666667,526.8333333,833,856,49,334,70,218,0,0,13924,2537,2892,1069,100,0.072,1714.07704
27 Monterey,C-IV,2014,2014/15,22531.5,22112.25,50650,50079.41667,2212,30054,6638,22043,0,0,429797,74649,112780,74856,8488,0.091,76819.0947
28 Napa,C-IV,2014,2014/15,3564.166667,3503.333333,7387.833333,7300.75,433,4040,798,2923,0,0,140646,32606,30516,11600,2118,0.056,13996.58318
29 Nevada,C-IV,2014,2014/15,4224.166667,4164.333333,7702.166667,7722.666667,640,2868,165,284,0,0,98354,32223,17032,1472,1796,0.066,12648.7451
30 Orange,CalWIN,2014,2014/15,119900.9167,116779.4167,260159.3333,258603,17616,135615,28117,114889,0,0,3137744,580776,730630,325313,68202,0.055,443857.4896
31 Placer,CalWIN,2014,2014/15,9357.166667,9218.166667,18460.58333,18534.83333,1416,7411,658,1954,0,0,368211,89717,80369,6222,5087,0.063,41238.66704
32 Plumas,C-IV,2014,2014/15,1042.583333,969.8333333,1982,1895.333333,116,707,37,22,0,0,19692,6932,3284,202,651,0.117,3602.333137
33 Riverside,C-IV,2014,2014/15,126782.3333,124200.0833,292595,290271.9167,13821,148026,16149,66204,0,0,2305796,419886,603376,172588,57657,0.082,455320.1841
34 Sacramento,CalWIN,2014,2014/15,103629.25,101078.0833,219619.3333,217509.3333,9056,101011,9400,47736,0,0,1473817,264209,360017,94516,62271,0.073,295178.3949
35 San Benito,C-IV,2014,2014/15,2726.583333,2714.083333,6136,6198.166667,292,3209,436,1802,0,0,57166,9780,15000,5516,899,0.093,8761.708297
36 San Bernardino,C-IV,2014,2014/15,177045.3333,172181.3333,398285.8333,391793.8333,17508,192219,19813,71384,0,0,2111913,317699,580241,164799,68029,0.081,458342.861
37 San Diego,CalWIN,2014,2014/15,139222.5,134214.0833,288651.1667,283887.0833,19191,131324,15532,97970,0,0,3248547,589848,765993,228246,76554,0.064,548765.9531
38 San Francisco,CalWIN,2014,2014/15,33331.91667,32890.25,52301.58333,52291.83333,6615,18721,3966,20630,0,0,853732,177396,118492,103652,37503,0.044,100797.7919
39 San Joaquin,C-IV,2014,2014/15,51867.08333,50059.83333,120247.0833,117660.5833,4706,61837,6809,24307,0,0,717238,117817,198115,65961,27296,0.106,155948.4021
40 San Luis Obispo,CalWIN,2014,2014/15,9756.083333,9575.583333,18213.25,18107.16667,1399,8025,1102,3371,0,0,276075,70143,50276,10622,4290,0.056,45982.30134
41 San Mateo,CalWIN,2014,2014/15,16112.33333,16010.33333,32033.91667,32223.75,3450,16879,3907,14235,0,0,756371,160063,160673,55943,10783,0.042,63838.64428
42 Santa Barbara,CalWIN,2014,2014/15,16605.25,15991.83333,36271.91667,35297.08333,1559,20526,4029,13524,0,0,440129,83614,99407,43550,8393,0.061,83642.14016
43 Santa Clara,CalWIN,2014,2014/15,55466.91667,54882.16667,112788.75,113253.5,9510,55723,10556,49052,0,0,1890929,334303,439382,174224,43472,0.052,173716.0703
44 Santa Cruz,CalWIN,2014,2014/15,13049.16667,12501.25,24814.41667,24074.83333,1797,11576,2244,8530,0,0,271689,55572,57295,23557,5038,0.087,47670.41209
45 Shasta,C-IV,2014,2014/15,12905,12564.75,24906.66667,24531.75,1221,9992,609,465,0,0,179251,46492,38313,2491,9289,0.097,29544.13269
46 Sierra,C-IV,2014,2014/15,171.1666667,167.0833333,312.3333333,300.5,41,86,3,8,0,0,3161,1178,480,89,89,0.1,535.0838027
47 Siskiyou,C-IV,2014,2014/15,3230.416667,3190.5,6993.583333,6946.75,413,2825,141,181,0,0,44606,14051,8882,717,2431,0.113,11466.60728
48 Solano,CalWIN,2014,2014/15,22476.91667,22134.5,43630.41667,43408.5,2457,19919,2272,6844,0,0,425430,84440,100040,18343,11752,0.075,56428.94271
49 Sonoma,CalWIN,2014,2014/15,19796.66667,19297.66667,35718.83333,35227,2986,16974,3249,10517,0,0,497908,120571,101026,25983,8488,0.056,69970.76088
50 Stanislaus,C-IV,2014,2014/15,42907,42554.25,92178.83333,92205.41667,3835,45160,5238,18095,0,0,531720,89493,144174,48829,20165,0.112,115984.8933
51 Sutter,C-IV,2014,2014/15,5630.333333,5575.25,13058.33333,12977.91667,491,6535,648,2388,0,0,97101,18516,25359,8544,3793,0.127,16038.08874
52 Tehama,C-IV,2014,2014/15,4812.583333,4862.083333,10550.41667,10781.16667,492,5146,422,1283,0,0,63845,15194,15479,2345,3106,0.097,14124.95178
53 Trinity,C-IV,2014,2014/15,1005.166667,964.1666667,1829.166667,1787.416667,117,623,42,10,0,0,13613,4741,2249,49,656,0.099,3023.154681
54 Tulare,CalWIN,2014,2014/15,52032.16667,50866,127255.9167,126110.0833,4856,65842,7798,39618,0,0,459831,68978,144183,63244,17865,0.132,139566.3474
55 Tuolumne,C-IV,2014,2014/15,3042.666667,2997.416667,5503.083333,5502.25,409,2013,115,76,0,0,54683,17898,9070,628,1639,0.087,9986.62194
56 Ventura,CalWIN,2014,2014/15,36287.83333,35063.33333,75812.66667,74195.16667,4822,37317,6549,26091,0,0,847885,162970,203510,75693,14875,0.067,114149.9346
57 Yolo,CalWIN,2014,2014/15,9609.25,8934,19675.91667,18623.91667,1075,8448,867,5033,0,0,209834,33974,46905,11918,5314,0.077,50238.24506
58 Yuba,C-IV,2014,2014/15,6082.25,5976.583333,13414,13313.25,435,6332,501,1526,0,0,74975,12253,21478,4010,3734,0.112,17375.6149
00 Statewide,n/a,2015,2015/16,2130304.833,2130806.583,4433022.583,4469489.333,304341,2720376,352831,1628446,0,0,39059809,7399216,9204564,3780285,1187073,0.062,6409430.18
01 Alameda,CalWIN,2015,2015/16,61751.25,61906,119341.0833,120817.0833,12022,71736,10229,48924,0,0,1619679,304508,344053,136922,47331,0.047,189599.3825
02 Alpine,C-IV,2015,2015/16,96.41666667,100.5,160.4166667,167.6666667,21,66,1,0,0,0,1157,373,217,13,39,0.079,251.7623537
03 Amador,C-IV,2015,2015/16,1780.75,1782.083333,3400,3396.583333,329,1619,67,126,0,0,37314,12900,5814,411,688,0.066,4641.21527
04 Butte,C-IV,2015,2015/16,16917.08333,16561.08333,32249.08333,31978.16667,2080,15753,925,3048,0,0,224363,54238,45626,5020,10733,0.072,53294.93569
05 Calaveras,C-IV,2015,2015/16,2841.666667,2903,5285.333333,5433,625,2295,84,154,0,0,44899,16053,7567,331,1057,0.065,6513.438166
06 Colusa,C-IV,2015,2015/16,617.4166667,663.5833333,1407,1548,118,1267,170,773,0,0,22271,4316,6137,2864,561,0.153,3891.279398
07 Contra Costa,CalWIN,2015,2015/16,35370.25,35594,70785.83333,71780.41667,5175,45190,6102,20122,0,0,1116882,237699,252327,74992,24238,0.05,129091.9151
08 Del Norte,C-IV,2015,2015/16,2598.333333,2519.25,5317.916667,5193.5,288,2603,144,288,0,0,27119,6419,5776,654,1797,0.086,5724.014903
09 El Dorado,C-IV,2015,2015/16,7261.5,7301.583333,12981.83333,13136.75,1276,6328,442,1067,0,0,183140,49149,37127,3365,2871,0.057,20083.83888
10 Fresno,CalWIN,2015,2015/16,97643.41667,97860.5,226395.6667,228248.5833,9438,144746,14341,71864,0,0,979357,158226,279388,107436,41165,0.102,261386.4515
11 Glenn,C-IV,2015,2015/16,1533.833333,1510,3600.166667,3606.833333,183,2401,229,935,0,0,28960,6024,7599,2525,1106,0.087,6488.522581
12 Humboldt,C-IV,2015,2015/16,12409.33333,12047.75,21302.41667,20982.66667,1512,9450,686,1123,0,0,135090,31797,27497,2396,5488,0.056,31850.8618
13 Imperial,C-IV,2015,2015/16,17514.16667,17257.83333,43394.58333,43185,2905,24612,905,27755,0,0,185328,30862,53999,33949,10128,0.24,47595.45283
14 Inyo,C-IV,2015,2015/16,1068.666667,1055.666667,2092.5,2081.166667,201,1141,96,346,0,0,18640,5554,3865,495,394,0.058,2591.643473
15 Kern,C-IV,2015,2015/16,70219.16667,67625,163677.0833,158932,7145,105010,10689,47266,0,0,883327,132102,254777,87761,31341,0.102,207468.1105
16 Kings,C-IV,2015,2015/16,10848.75,10638.25,24894,24667.5,1081,15587,1418,7275,0,0,149702,20873,45340,13818,4579,0.105,35958.11237
17 Lake,C-IV,2015,2015/16,6622.5,6331.833333,12694,12322.83333,1022,5927,393,1156,0,0,65180,18831,13497,2109,3675,0.077,14762.32464
18 Lassen,C-IV,2015,2015/16,1547.25,1544,3168.583333,3188.916667,199,1730,99,94,0,0,30969,6731,5429,650,883,0.073,3734.384459
19 Los Angeles,LRS,2015,2015/16,575806.5,585270.4167,1150858.417,1177606.25,76022,726193,118786,520243,0,0,10185487,1846906,2319368,1352159,386663,0.067,1776819.902
20 Madera,C-IV,2015,2015/16,12175.25,12093.16667,29777.5,29757.5,1081,20470,3011,11990,0,0,154956,28618,42496,20134,4530,0.105,32412.66998
21 Marin,C-IV,2015,2015/16,6379,6439.833333,10517.83333,10586,1471,5967,1459,4835,0,0,262105,73899,52796,11168,2913,0.035,23708.45691
22 Mariposa,C-IV,2015,2015/16,1119.916667,1109,2095.166667,2104.5,233,952,30,49,0,0,18088,6333,2918,233,451,0.072,3054.690515
23 Mendocino,C-IV,2015,2015/16,6964.916667,7059.916667,13059.33333,13191.75,1117,6905,637,2266,0,0,88429,24106,19113,4327,3087,0.059,19173.64808
24 Merced,C-IV,2015,2015/16,25082.25,25129.16667,57981.83333,58408.25,2467,37709,4262,19191,0,0,269729,40359,79613,36937,10774,0.114,79373.22486
25 Modoc,C-IV,2015,2015/16,478.1666667,461,1027.25,1000,58,605,42,61,0,0,9507,3069,1828,308,419,0.088,2017.086816
26 Mono,C-IV,2015,2015/16,460.0833333,496.8333333,799.75,832,72,463,78,290,0,0,13818,2647,2862,1021,99,0.061,1202.93535
27 Monterey,C-IV,2015,2015/16,23317,23102.83333,51916.66667,51644.83333,2984,40553,8572,31763,0,0,436242,77866,113520,80174,8376,0.081,67987.33264
28 Napa,C-IV,2015,2015/16,3631.666667,3632,7474.416667,7501.5,562,5159,924,3742,0,0,141546,33624,30174,11332,2093,0.046,19657.15655
29 Nevada,C-IV,2015,2015/16,4321.583333,4271,7759.916667,7736.583333,813,3576,182,364,0,0,98190,33078,16697,1252,1806,0.055,18076.10285
30 Orange,CalWIN,2015,2015/16,124134.75,122873.5,257279.6667,256994.9167,22825,165520,31211,137793,0,0,3161218,604466,728580,331979,68296,0.045,420793.17
31 Placer,CalWIN,2015,2015/16,9371.416667,9394.083333,17996.5,18227.41667,1857,9829,766,2411,0,0,370738,92963,78707,9998,5127,0.05,38477.51608
32 Plumas,C-IV,2015,2015/16,1139.166667,1094.666667,2124.75,2050.25,160,961,51,53,0,0,19586,7101,3236,197,656,0.104,3447.572362
33 Riverside,C-IV,2015,2015/16,130333.5833,129097.25,293524,294433.1667,18121,184930,17346,81846,0,0,2329256,437865,599727,190180,58059,0.067,423742.1906
34 Sacramento,CalWIN,2015,2015/16,104378.5,104581.0833,218282.5,219942.75,11837,123044,10029,57891,0,0,1489952,274958,360331,93427,62730,0.06,264162.8527
35 San Benito,C-IV,2015,2015/16,2669.75,2722.5,5917.75,6089.333333,367,4065,505,2281,0,0,57584,10257,14800,5268,900,0.076,7772.211442
36 San Bernardino,C-IV,2015,2015/16,180992.0833,180278.8333,398783.5833,401294.3333,22887,234835,20761,85947,0,0,2129851,332066,579387,168647,68072,0.065,433056.8032
37 San Diego,CalWIN,2015,2015/16,143570.75,142648,290731.0833,291172.5,25885,168267,17078,123936,0,0,3275084,613778,772594,231525,76341,0.052,508224.4348
38 San Francisco,CalWIN,2015,2015/16,34645.16667,33996.75,52732.16667,52042.25,8552,23126,4486,26371,0,0,863108,183363,121514,100767,37327,0.036,102650.8736
39 San Joaquin,C-IV,2015,2015/16,52846.75,52985,119722.6667,121333.5833,6110,74545,7330,28986,0,0,727547,123054,198377,63826,27357,0.089,131235.1699
40 San Luis Obispo,CalWIN,2015,2015/16,10103.91667,10032.16667,18587.16667,18597.83333,1754,10311,1255,4211,0,0,276844,73091,49981,10271,4209,0.046,45501.52763
41 San Mateo,CalWIN,2015,2015/16,15864.66667,16187.83333,30890.58333,31802.58333,4279,21195,4575,17806,0,0,764379,166867,161548,58320,10434,0.034,71863.83903
42 Santa Barbara,CalWIN,2015,2015/16,18243.08333,17377.33333,38409,37310.08333,2179,28148,5590,19398,0,0,444900,86387,100349,48492,8191,0.053,73516.85469
43 Santa Clara,CalWIN,2015,2015/16,54386.91667,55268.5,107604.0833,110775.1667,11866,67584,12117,59122,0,0,1915102,350400,442255,176469,42694,0.042,160882.0304
44 Santa Cruz,CalWIN,2015,2015/16,14508.25,13855.33333,26766.58333,26006.41667,2375,15311,2811,12072,0,0,274697,58383,57881,21297,4931,0.075,44874.51651
45 Shasta,C-IV,2015,2015/16,13005.08333,13013.5,24845.83333,25061.83333,1685,12683,647,628,0,0,178777,47459,37929,2477,9252,0.078,36163.91709
46 Sierra,C-IV,2015,2015/16,162.6666667,171.5,290.75,312.5,40,131,1,12,0,0,3147,1199,469,36,85,0.09,517.509346
47 Siskiyou,C-IV,2015,2015/16,3289.666667,3276.583333,6998.166667,7053.083333,529,3571,150,270,0,0,44500,14392,8777,661,2389,0.094,11426.95975
48 Solano,CalWIN,2015,2015/16,22981.08333,22903.91667,43641.5,43943.41667,3120,25381,2573,8830,0,0,429267,88191,100373,21251,11654,0.061,65104.99139
49 Sonoma,CalWIN,2015,2015/16,19731.16667,20042.25,35204.91667,35963.66667,3870,21537,3738,13316,0,0,501182,125873,99911,29579,8388,0.045,58010.09098
50 Stanislaus,C-IV,2015,2015/16,42910.66667,43234.75,90703.33333,92177.91667,4942,54880,5611,21837,0,0,538372,93026,144320,48625,19884,0.095,105439.6471
51 Sutter,C-IV,2015,2015/16,5781.916667,5693.5,13303.58333,13172.41667,644,8067,726,2921,0,0,97618,19092,25208,8773,3793,0.108,22251.18589
52 Tehama,C-IV,2015,2015/16,4728.916667,4770.833333,10325.58333,10420.58333,616,6292,480,1615,0,0,63970,15536,15464,2169,3068,0.08,14981.79991
53 Trinity,C-IV,2015,2015/16,1027.166667,1020.25,1815.083333,1832.25,148,825,39,9,0,0,13562,4842,2195,100,643,0.078,3244.675017
54 Tulare,CalWIN,2015,2015/16,53185.16667,52963.91667,124702.9167,124775.9167,6133,78672,8381,48197,0,0,463291,71023,144018,58345,17848,0.117,136612.7115
55 Tuolumne,C-IV,2015,2015/16,3180.25,3134.833333,5597.25,5586.166667,556,2564,106,103,0,0,54525,18311,8920,577,1615,0.071,9026.375023
56 Ventura,CalWIN,2015,2015/16,37734.58333,37382.66667,76003,75753.33333,6422,49069,7926,34694,0,0,852013,170129,201282,85361,14875,0.057,91148.77156
57 Yolo,CalWIN,2015,2015/16,10701.33333,10287.66667,21190.41667,20737.08333,1498,11457,1015,6991,0,0,212686,35269,47469,13104,5260,0.064,40868.09693
58 Yuba,C-IV,2015,2015/16,6318.333333,6250.5,13632.58333,13590.75,584,7563,524,1789,0,0,75579,12715,21542,3808,3710,0.092,18760.69123
00 Statewide,n/a,2016,2016/17,2032818.417,2088174.667,4214482.333,4330996.75,343349,2688057,336878,1609601,0,0,39354432,7672542,9197902,3750777,1171642,0.054,0
01 Alameda,CalWIN,2016,2016/17,58689.75,60502.16667,112034.75,116103.25,13243,68415,9533,48483,4039,0.647727979,1637712,316180,345421,142005,46141,0.042,0
02 Alpine,C-IV,2016,2016/17,86.66666667,91.91666667,144.6666667,150.5,18,67,3,0,4,0.111111111,1148,378,208,11,34,0.065,0
03 Amador,C-IV,2016,2016/17,1711.333333,1759.833333,3183.25,3335.5,374,1639,54,130,80,0.620772947,37191,12901,5644,570,677,0.059,0
04 Butte,C-IV,2016,2016/17,16772.66667,16974.5,31444.33333,32064.75,2370,15905,888,2971,748,0.629648116,225125,55290,45620,7445,10550,0.065,0
05 Calaveras,C-IV,2016,2016/17,2821.25,2812.083333,5134.25,5186.833333,720,2314,82,147,84,0.606060606,44791,16474,7363,277,1015,0.056,0
06 Colusa,C-IV,2016,2016/17,665.8333333,627.3333333,1536.25,1427.666667,132,1084,130,566,48,0.711297071,22408,4434,6116,2893,552,0.155,0
07 Contra Costa,CalWIN,2016,2016/17,32340.33333,34039.75,64666.41667,67936.58333,5886,43955,5847,19983,3229,0.538284619,1129894,247789,251595,74586,23841,0.044,0
08 Del Norte,C-IV,2016,2016/17,2563.166667,2606,5254.916667,5317.583333,355,2683,125,260,136,0.696551724,27040,6661,5824,537,1779,0.075,0
09 El Dorado,C-IV,2016,2016/17,7007.916667,7174.833333,12457.5,12772.75,1464,6217,397,1057,258,0.568442347,184180,51087,36645,3406,2862,0.051,0
10 Fresno,CalWIN,2016,2016/17,91347.25,95024.75,212200.8333,220324,10633,145582,13898,70303,5748,0.761550075,989183,163512,279928,112485,41294,0.094,0
11 Glenn,C-IV,2016,2016/17,1533.5,1554.5,3538.916667,3615.333333,229,2493,231,941,117,0.750793651,29073,6207,7528,2761,1081,0.082,0
12 Humboldt,C-IV,2016,2016/17,12353.5,12516.66667,20848.41667,21216.16667,1718,9409,619,1130,426,0.589486356,136086,32838,27690,2230,5383,0.049,0
13 Imperial,C-IV,2016,2016/17,17421.75,17507.91667,42310.75,42812,3426,25125,853,28442,812,0.634608872,187157,32050,54372,34100,9999,0.235,0
14 Inyo,C-IV,2016,2016/17,1032.333333,1056.333333,1971.75,2046.583333,226,1130,81,302,61,0.721649485,18649,5699,3867,451,382,0.052,0
15 Kern,C-IV,2016,2016/17,69871.83333,70632.75,162375.6667,164239.6667,8828,111127,10601,48847,6086,0.741666667,888994,136623,254735,83111,30848,0.103,0
16 Kings,C-IV,2016,2016/17,10714.58333,10819.5,24345.66667,24655.83333,1265,15975,1417,7531,877,0.719566289,149407,21381,45432,13525,4567,0.1,0
17 Lake,C-IV,2016,2016/17,6501.5,6611.25,12208.66667,12482.5,1616,6704,412,1534,313,0.670349908,65128,19175,13526,2348,3660,0.066,0
18 Lassen,C-IV,2016,2016/17,1583.666667,1568.833333,3131.416667,3149.333333,208,1728,95,90,90,0.635983264,30645,6887,5308,633,881,0.069,0
19 Los Angeles,LRS,2016,2016/17,542574.3333,558722.8333,1092802.417,1118309.083,83903,694580,110447,501112,51194,0.747201878,10229245,1915495,2304521,1343973,381016,0.052,0
20 Madera,C-IV,2016,2016/17,11762.41667,12017.75,28845.58333,29255.33333,1266,21003,3012,12151,975,0.737387942,155693,29376,42383,19819,4480,0.092,0
21 Marin,C-IV,2016,2016/17,6101,6245.916667,10072.91667,10304.16667,1617,5988,1424,5020,295,0.578982155,263257,76036,52612,10590,2796,0.032,0
22 Mariposa,C-IV,2016,2016/17,1030.666667,1089.5,1884.666667,2013.166667,264,919,33,45,42,0.669724771,18055,6483,2887,193,427,0.069,0
23 Mendocino,C-IV,2016,2016/17,6421.416667,6708.5,12131.5,12644.16667,1200,6840,615,2211,333,0.567476002,88995,24819,19104,4384,3066,0.052,0
24 Merced,C-IV,2016,2016/17,23908.58333,24516.83333,55344.75,56659.75,2834,37617,4155,18944,1760,0.723367169,272610,41701,79762,32600,10667,0.105,0
25 Modoc,C-IV,2016,2016/17,538,515.9166667,1131.75,1084.833333,66,634,44,67,15,0.602649007,9469,3096,1807,256,404,0.078,0
26 Mono,C-IV,2016,2016/17,443.0833333,452.6666667,751.9166667,794.0833333,73,473,81,280,15,0.537037037,13785,2795,2848,1013,101,0.053,0
27 Monterey,C-IV,2016,2016/17,21906.41667,22712.91667,48492.41667,50326.25,3572,41820,8711,33355,1244,0.713618214,441129,80555,114101,82997,8101,0.076,0
28 Napa,C-IV,2016,2016/17,3379.416667,3546.75,6858.833333,7274.25,681,5116,874,3772,201,0.656349206,142269,34640,29835,11745,2034,0.043,0
29 Nevada,C-IV,2016,2016/17,4248.75,4346.5,7391.833333,7660.5,949,3604,173,346,169,0.489749431,98552,33995,16434,1305,1824,0.047,0
30 Orange,CalWIN,2016,2016/17,120043.0833,123182.3333,245247.8333,253145.1667,25449,164718,29757,136779,7350,0.681085847,3181371,627423,726521,309974,67977,0.04,0
31 Placer,CalWIN,2016,2016/17,9029.166667,9286.25,16874.08333,17625.58333,2056,9509,749,2462,487,0.54584121,376092,96940,78000,5842,5095,0.044,0
32 Plumas,C-IV,2016,2016/17,1144.416667,1159.833333,2084.333333,2132.166667,191,1033,60,67,49,0.624521073,19494,7235,3171,170,663,0.096,0
33 Riverside,C-IV,2016,2016/17,125860.75,129010.1667,279293.0833,287642.75,20641,185979,16626,81348,10479,0.639698181,2360727,456965,598756,189787,58100,0.061,0
34 Sacramento,CalWIN,2016,2016/17,100083,102439.3333,209677.25,214057.3333,13463,122095,9476,58041,5851,0.614490903,1506677,284940,361388,94153,62524,0.054,0
35 San Benito,C-IV,2016,2016/17,2373.083333,2543.833333,5275,5619.833333,436,3865,447,2246,386,0.738947368,58014,10729,14569,5252,880,0.068,0
36 San Bernardino,C-IV,2016,2016/17,172631.1667,178494.75,377181.25,390589.9167,25789,237181,20320,85034,11109,0.66028086,2147933,346063,579219,167271,67508,0.057,0
37 San Diego,CalWIN,2016,2016/17,137827.4167,142005.8333,278085.5833,286487.1667,29540,166939,16369,124572,11913,0.649918312,3300891,637060,780130,238465,75424,0.047,0
38 San Francisco,CalWIN,2016,2016/17,34434.08333,34845.54545,52010.83333,52812.45455,10278,23185,4465,28237,1229,0.580031949,871185,188417,124486,99674,36427,0.033,0
39 San Joaquin,C-IV,2016,2016/17,49992.58333,51666.83333,111805.5,116203.6667,6936,73983,7153,28277,3337,0.669147353,738873,127720,199204,60196,26870,0.081,0
40 San Luis Obispo,CalWIN,2016,2016/17,9729.083333,9958.083333,17514.91667,18140.75,1919,10198,1224,4160,401,0.573255814,278917,75907,49961,10287,4063,0.043,0
41 San Mateo,CalWIN,2016,2016/17,14337.5,15147.83333,27750.16667,29408.75,4604,20402,4287,17183,904,0.640888523,768122,171899,161747,54522,9952,0.03,0
42 Santa Barbara,CalWIN,2016,2016/17,18613.91667,18572.91667,38428.66667,38650.16667,2714,29036,5739,20539,1474,0.699749687,448353,89021,100705,51832,8004,0.05,0
43 Santa Clara,CalWIN,2016,2016/17,50077.5,52729.66667,98101.33333,103617.3333,12624,62659,11199,55825,3295,0.594197975,1930215,364511,442750,167482,41718,0.038,0
44 Santa Cruz,CalWIN,2016,2016/17,14568.66667,14643,26423,26729.75,2827,15699,2854,12690,863,0.661349693,276249,60888,57974,20762,4764,0.069,0
45 Shasta,C-IV,2016,2016/17,12696.16667,12943.41667,23809.83333,24407.33333,1906,12561,608,627,727,0.677409262,178208,48189,37658,1963,9165,0.069,0
46 Sierra,C-IV,2016,2016/17,162.75,160.5,276.9166667,277.3333333,52,93,3,10,12,0.588235294,3140,1228,465,35,85,0.076,0
47 Siskiyou,C-IV,2016,2016/17,3134.416667,3213.166667,6575.666667,6773.333333,608,3533,156,284,155,0.636554622,44372,14672,8676,755,2380,0.085,0
48 Solano,CalWIN,2016,2016/17,21624.08333,22398.16667,40785.75,42352.66667,3576,24939,2490,8928,1035,0.5419684,434102,92321,100398,22558,11385,0.055,0
49 Sonoma,CalWIN,2016,2016/17,17933.25,18932.16667,31785.58333,33626.58333,4239,20809,3587,13176,744,0.595316352,503953,130857,98968,26781,8201,0.04,0
50 Stanislaus,C-IV,2016,2016/17,40674,41901.91667,85291.25,88015.08333,5541,54419,5526,21493,2341,0.586291686,545008,96403,145017,53504,19620,0.085,0
51 Sutter,C-IV,2016,2016/17,5623.833333,5727.25,12883.91667,13128.75,726,8179,688,2890,287,0.645255474,98191,19553,25175,9121,3760,0.096,0
52 Tehama,C-IV,2016,2016/17,4396.666667,4567.666667,9532.583333,9930.583333,700,6121,459,1557,270,0.613484646,64098,15747,15435,2385,2998,0.071,0
53 Trinity,C-IV,2016,2016/17,988.6666667,1007.833333,1727.916667,1757.416667,183,763,38,18,33,0.645833333,13482,4929,2167,105,629,0.071,0
54 Tulare,CalWIN,2016,2016/17,51694,52435.5,120271.1667,122466.75,6886,78665,8206,48568,2338,0.641883399,468235,73460,144339,66725,17540,0.11,0
55 Tuolumne,C-IV,2016,2016/17,3019.666667,3138.666667,5270.666667,5451.833333,699,2582,115,114,104,0.674121406,54282,18652,8734,483,1552,0.062,0
56 Ventura,CalWIN,2016,2016/17,36512,37376.41667,73100.33333,75010.5,7206,49344,7911,35629,1582,0.6245,854383,176546,199303,82290,14767,0.052,0
57 Yolo,CalWIN,2016,2016/17,10257.91667,10645.16667,19913.33333,20842.75,1737,11612,1014,7002,480,0.602506091,216866,36568,48381,12693,5184,0.058,0
58 Yuba,C-IV,2016,2016/17,6022.666667,6187.416667,13007.58333,13331.66667,687,7810,517,1825,323,0.670113754,76129,13142,21489,3461,3704,0.085,0
00 Statewide,n/a,2017,2017/18,0,1991597.083,0,4111003.333,370322,2537628,264199,1514564,0,0,39693627,7958547,9203689,0,1154343,0,0
01 Alameda,CalWIN,2017,2017/18,0,57278.25,0,108256.25,14234,62680,7858,45559,0,0,1655752,328261,346873,0,45115,0,0
02 Alpine,C-IV,2017,2017/18,0,80.58333333,0,140.8333333,19,60,1,0,0,0,1143,398,198,0,36,0,0
03 Amador,C-IV,2017,2017/18,0,1660.833333,0,3038,384,1479,20,117,0,0,37267,13105,5607,0,672,0,0
04 Butte,C-IV,2017,2017/18,0,16659.5,0,30940.5,2568,15018,381,2775,0,0,226478,56416,45689,0,10378,0,0
05 Calaveras,C-IV,2017,2017/18,0,2797.25,0,5036.166667,749,2162,17,139,0,0,44818,16898,7251,0,988,0,0
06 Colusa,C-IV,2017,2017/18,0,687.25,0,1553.25,150,1162,71,627,0,0,22612,4594,6120,0,564,0,0
07 Contra Costa,CalWIN,2017,2017/18,0,31521.16667,0,62952.08333,6149,40757,2500,18260,0,0,1143494,258293,251140,0,23320,0,0
08 Del Norte,C-IV,2017,2017/18,0,2569.583333,0,5253.166667,388,2645,50,236,0,0,27063,6800,5811,0,1715,0,0
